Transaction ID;Transaction Date;Denominated Currency;Cost;Client ID;Sales ID
0;03/03/2019;CAD;393113;146;53
1;06/26/2018;EUR;856570;61;85
2;09/12/2017;NOK;4048092;151;51
3;03/19/2019;EUR;684930;26;40
4;11/03/2019;CHF;638286;62;88
5;06/27/2017;DKK;2139092;3;56
6;02/17/2017;JPY;45554486;63;65
7;04/27/2017;NZD;1133456;54;15
8;02/24/2019;GBP;317947;37;77
9;11/16/2017;SEK;1549739;48;16
10;12/06/2019;GBP;114502;44;31
11;03/23/2017;DKK;767681;3;78
12;04/23/2017;NZD;797078;119;21
13;12/10/2017;CHF;336284;65;14
14;03/21/2017;NOK;3799349;64;86
15;11/30/2019;DKK;5981531;64;37
16;01/06/2019;AUD;102183;33;71
17;10/28/2019;AUD;1405976;90;47
18;10/30/2018;DKK;5011842;52;90
19;05/20/2019;AUD;189267;140;36
20;03/07/2017;NZD;632244;139;90
21;06/30/2017;NZD;61480;152;49
22;08/30/2017;AUD;1198466;56;6
23;07/09/2017;JPY;34505737;154;81
24;03/27/2018;CAD;988490;26;23
25;12/15/2018;EUR;75701;138;48
26;10/25/2017;EUR;74582;71;92
27;04/20/2018;EUR;398052;5;38
28;03/19/2018;SEK;6276568;14;64
29;12/25/2017;JPY;39065207;63;50
30;12/28/2018;GBP;389822;104;25
31;07/10/2019;EUR;489104;110;31
32;10/23/2019;DKK;3640353;154;91
33;09/13/2017;NZD;650269;30;59
34;11/29/2019;AUD;1070383;4;6
35;06/12/2017;AUD;622283;177;56
36;04/16/2018;JPY;90738576;68;30
37;12/19/2018;NOK;6918790;179;64
38;12/30/2017;GBP;20599;148;29
39;03/21/2017;GBP;123526;153;63
40;02/21/2017;NOK;7732462;76;46
41;08/22/2017;SEK;5560380;4;67
42;04/30/2017;NOK;8361887;131;74
43;02/18/2018;JPY;45499055;127;16
44;10/16/2017;SEK;7431176;96;85
45;10/25/2018;SEK;3526629;13;95
46;12/16/2017;AUD;1342343;72;96
47;06/08/2018;AUD;1161743;92;19
48;07/12/2018;AUD;437534;2;96
49;05/14/2017;CAD;629119;16;58
50;07/31/2018;GBP;515595;6;2
51;07/01/2018;AUD;1000384;104;35
52;11/06/2017;NOK;662815;174;85
53;01/20/2018;GBP;544323;90;99
54;05/30/2018;NOK;3610701;156;64
55;03/09/2018;CHF;708326;96;49
56;07/30/2017;EUR;429329;78;14
57;09/10/2017;GBP;584343;127;44
58;10/24/2017;SEK;7174017;149;93
59;08/18/2019;NOK;219721;149;48
60;03/14/2018;CHF;296761;126;52
61;02/28/2017;DKK;5380633;8;33
62;11/14/2017;GBP;347055;155;67
63;11/02/2019;AUD;93388;26;14
64;11/18/2018;DKK;5265639;179;56
65;01/31/2018;NZD;554831;121;31
66;09/21/2019;SEK;2218182;45;52
67;03/26/2018;NOK;7620395;135;49
68;11/11/2019;GBP;179346;20;77
69;02/23/2019;AUD;151623;32;43
70;09/02/2017;NZD;393742;2;1
