"John Henson",5000,MIL,PF,WAS,36.216,14.084,25.15
"Matthew Dellavedova",4200,MIL,PG,WAS,22.5735,7.7265,15.15
"Thon Maker",3700,MIL,C,WAS,24.4264,7.7136,16.07
"Tony Snell",3600,MIL,SG,WAS,21.141,8.019,14.58
"Eric Bledsoe",7200,MIL,PG,WAS,48.357,23.283,35.82
"Giannis Antetokounmpo",11000,MIL,SF,WAS,54.694,40.426,47.56
"Khris Middleton",7200,MIL,SG,WAS,43.0787,21.7013,32.39
"Malcolm Brogdon",4900,MIL,SG,WAS,31.3236,16.1364,23.73
"DeAndre Liggins",3500,MIL,SG,WAS,11.9884,1.9516,6.97
"John Wall",9200,WAS,PG,MIL,57.35,34.41,45.88
"Mike Scott",3500,WAS,PF,MIL,19.7506,5.4094,12.58
"Jodie Meeks",3500,WAS,SG,MIL,9.6612,1.9788,5.82
"Ian Mahinmi",3500,WAS,C,MIL,18.444,4.756,11.6
"Markieff Morris",4900,WAS,PF,MIL,31.2294,11.5506,21.39
"Kelly Oubre",4100,WAS,SF,MIL,16.8554,6.8846,11.87
"Bradley Beal",8600,WAS,SG,MIL,50.9916,26.2684,38.63
"Otto Porter",6700,WAS,SF,MIL,40.7682,16.6518,28.71
"Marcin Gortat",4600,WAS,C,MIL,33.8604,14.8596,24.36
"Boban Marjanovic",4700,DET,C,HOU,,,15.94
"Tarik Black",3500,HOU,PF,DET,24.66,2.74,13.7
"Clint Capela",7400,HOU,C,DET,46.865,25.235,36.05
"Chris Paul",10100,HOU,PG,DET,68.3008,38.4192,53.36
"Briante Weber",3500,HOU,PG,DET,13.7735,3.1265,8.45
"P.J. Tucker",3800,HOU,SF,DET,19.3688,7.9112,13.64
"Ryan Anderson",4700,HOU,PF,DET,26.0428,10.6372,18.34
"Shelvin Mack",3600,ORL,PG,CLE,7.6806,2.3594,5.02
"Eric Gordon",8000,HOU,SG,DET,44.0368,20.7232,32.38
"Trevor Ariza",5500,HOU,SF,DET,27.469,14.791,21.13
"Gerald Green",5700,HOU,SF,DET,36.0995,10.4805,23.29
"Avery Bradley",5700,DET,SG,HOU,36.7377,16.1223,26.43
"Reggie Bullock",4700,DET,SF,HOU,34.5774,6.3426,20.46
"Eric Moreland",3500,DET,PF,HOU,37.3296,5.0904,21.21
"Dwight Buycks",3600,DET,PG,HOU,20.16,8.64,14.4
"Luke Kennard",3900,DET,SG,HOU,19.8536,4.0664,11.96
"Ish Smith",6000,DET,PG,HOU,42.4289,19.5111,30.97
"Tobias Harris",6300,DET,PF,HOU,37.973,20.447,29.21
"Anthony Tolliver",3700,DET,PF,HOU,23.405,7.595,15.5
"Tomas Satoransky ",3500,WAS,PG,MIL,23.2323,5.6277,14.43
"Anthony Davis",11200,NOP,PF,MIN,62.7843,34.5557,48.67
"Gary Harris",6800,DEN,SG,SAC,37.297,20.083,28.69
"Torrey Craig",3500,DEN,SF,SAC,11.052,1.228,6.14
"Willie Cauley-Stein",6900,SAC,C,DEN,44.842,19.218,32.03
"Trey Lyles",6400,DEN,PF,SAC,41.0434,9.3166,25.18
"Malik Beasley",3600,DEN,SG,SAC,15.2768,2.0832,8.68
"Wilson Chandler",5500,DEN,SF,SAC,29.7726,11.8674,20.82
"Jamal Murray",7000,DEN,PG,SAC,44.0744,15.4856,29.78
"Mason Plumlee",5300,DEN,C,SAC,26.5574,9.8226,18.19
"Bogdan Bogdanovic",4600,SAC,SG,DEN,28.3635,13.6565,21.01
"De'Aaron Fox",4800,SAC,PG,DEN,36.864,14.336,25.6
"Georgios Papagiannis",3500,SAC,C,DEN,16.9717,4.6483,10.81
"Malachi Richardson",3500,SAC,SG,DEN,8.7904,1.9296,5.36
"Vince Carter",3500,SAC,SF,DEN,15.318,1.702,8.51
"Justin Jackson",3500,SAC,SF,DEN,14.1588,3.3212,8.74
"Kosta Koufos",3500,SAC,C,DEN,28.3509,8.7091,18.53
"Buddy Hield",4400,SAC,SG,DEN,31.515,10.505,21.01
"Skal Labissiere",4200,SAC,PF,DEN,34.9565,11.3435,23.15
"Garrett Temple",4200,SAC,SG,DEN,29.6208,11.5192,20.57
"Will Barton",6300,DEN,SG,SAC,46.2672,21.7728,34.02
"Nikola Jokic",9700,DEN,C,SAC,53.067,26.733,39.9
"Ian Clark",3500,NOP,PG,MIN,8.6673,1.3527,5.01
"Darius Miller",3500,NOP,SF,MIN,20.987,6.093,13.54
"Rajon Rondo",5800,NOP,PG,MIN,45.8889,14.8911,30.39
"Dante Cunningham",3500,NOP,SF,MIN,18.57,6.19,12.38
"Jameer Nelson",3500,NOP,PG,MIN,17.0442,5.2358,11.14
"DeMarcus Cousins",11200,NOP,C,MIN,60.2516,36.9284,48.59
"Jrue Holiday",7000,NOP,SG,MIN,44.54,23.46,34
"E'Twaun Moore",4400,NOP,SF,MIN,28.4648,13.3952,20.93
"Jimmy Butler",9800,MIN,SF,NOP,57.897,34.003,45.95
"Karl-Anthony Towns",9000,MIN,C,NOP,60.2817,33.1783,46.73
"Nemanja Bjelica",3500,MIN,SF,NOP,14.2625,3.2375,8.75
"Aaron Brooks",3500,MIN,PG,NOP,14.2556,3.9044,9.08
"Gorgui Dieng",3700,MIN,PF,NOP,25.3968,7.1632,16.28
"Tyus Jones",5600,MIN,PG,NOP,40.4272,5.5128,22.97
"Jamal Crawford",3700,MIN,SG,NOP,23.5764,8.2836,15.93
"Andrew Wiggins",5700,MIN,SG,NOP,35.4879,19.5321,27.51
"Taj Gibson",5800,MIN,PF,NOP,35.3358,17.4042,26.37
"D.J. Augustin",3500,ORL,PG,CLE,25.1316,7.0884,16.11
"Elfrid Payton",8000,ORL,PG,CLE,49.896,21.384,35.64
"Aron Baynes",3700,BOS,C,BKN,32.3232,11.3568,21.84
"Marcus Morris",3900,BOS,PF,BKN,27.4969,14.4831,20.99
"Daniel Theis",3500,BOS,PF,BKN,30.4775,6.0225,18.25
"Terry Rozier",5000,BOS,PG,BKN,31.6656,12.3144,21.99
"Jayson Tatum",5800,BOS,PF,BKN,37.3458,18.3942,27.87
"C.J. Williams",3700,LAC,SG,GSW,28.92,9.64,19.28
"Jaylen Brown",6100,BOS,SF,BKN,33.9657,18.6943,26.33
"Marcus Smart",5700,BOS,SG,BKN,29.393,14.807,22.1
"Kyrie Irving",8700,BOS,PG,BKN,51.6307,33.7093,42.67
"DeMarre Carroll",5100,BKN,SF,BOS,36.801,17.719,27.26
"Joe Harris",3700,BKN,SF,BOS,24.7696,11.3904,18.08
"Tyler Zeller",3500,BKN,C,BOS,14.523,6.077,10.3
"Jahlil Okafor",3500,BKN,C,BOS,15.588,1.732,8.66
"Quincy Acy",3500,BKN,PF,BOS,20.424,7.176,13.8
"Jarrett Allen",4100,BKN,C,BOS,24.5808,9.5592,17.07
"Allen Crabbe",5300,BKN,SF,BOS,32.0688,15.0912,23.58
"Rondae Hollis-Jefferson",7200,BKN,PF,BOS,44.2136,20.8064,32.51
"Spencer Dinwiddie",6600,BKN,PG,BOS,45.1792,21.2608,33.22
"Jawun Evans",4400,LAC,PG,GSW,26.8541,4.9259,15.89
"Sindarius Thornwell",3500,LAC,PG,GSW,13.6113,1.7687,7.69
"David West",3800,GSW,PF,LAC,18.8404,9.2796,14.06
"Patrick McCaw",3500,GSW,SG,LAC,23.832,2.648,13.24
"Jordan Bell",4700,GSW,PF,LAC,22.473,4.767,13.62
"Nick Young",3500,GSW,SG,LAC,13.8904,1.6296,7.76
"Shaun Livingston",3500,GSW,PG,LAC,17.8296,5.6304,11.73
"Draymond Green",8500,GSW,PF,LAC,52.8771,29.1029,40.99
"Andre Iguodala",4300,GSW,SF,LAC,29.403,14.157,21.78
"Zaza Pachulia",3600,GSW,C,LAC,17.1797,5.8803,11.53
"Omri Casspi",3800,GSW,SF,LAC,23.068,6.132,14.6
"Kevon Looney",3600,GSW,PF,LAC,15.048,1.672,8.36
"Sam Dekker",3500,LAC,SF,GSW,21.472,5.368,13.42
"Wesley Johnson",3700,LAC,SF,GSW,36.48,12.16,24.32
"Montrezl Harrell",3500,LAC,PF,GSW,21.3932,5.6868,13.54
"Lou Williams",7900,LAC,SG,GSW,51.4458,30.2142,40.83
"DeAndre Jordan",7900,LAC,C,GSW,45.7188,28.0212,36.87
"Stephen Curry",10000,GSW,PG,LAC,63.378,37.222,50.3
"Blake Griffin",9100,LAC,PF,GSW,52.8875,31.7325,42.31
"Nik Stauskas",3500,BKN,SG,BOS,20.88,2.32,11.6
"Shane Larkin",3500,BOS,PG,BKN,4.428,0.492,2.46
"Dwyane Wade",5000,CLE,SG,ORL,34.2078,13.9722,24.09
"Jeff Green",4700,CLE,PF,ORL,27.5352,9.4248,18.48
"Kyle Korver",3600,CLE,SG,ORL,19.662,7.458,13.56
"J.R. Smith",3900,CLE,SG,ORL,21.7074,8.6526,15.18
"Kevin Love",7700,CLE,C,ORL,45.656,24.584,35.12
"Joseph Young",3500,IND,PG,CHI,24.732,2.748,13.74
"LeBron James",11700,CLE,SF,ORL,72.5208,45.3992,58.96
"Jae Crowder",4200,CLE,PF,ORL,23.7096,8.3304,16.02
"Jose Calderon",3500,CLE,PG,ORL,18.4272,2.5128,10.47
"Tristan Thompson",3900,CLE,C,ORL,21.0192,6.8208,13.92
"Mario Hezonja",4000,ORL,SF,CLE,38.628,4.292,21.46
"Marreese Speights",3800,ORL,C,CLE,23.5221,5.6979,14.61
"Wesley Iwundu",3500,ORL,SF,CLE,19.5736,3.1864,11.38
"Arron Afflalo",3500,ORL,SG,CLE,11.754,1.306,6.53
"Bismack Biyombo",6200,ORL,C,CLE,41.2,10.3,25.75
"Isaiah Thomas",6200,CLE,PG,ORL,,,19.58
"Aaron Gordon",7900,ORL,PF,CLE,49.2592,23.1808,36.22
