name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
Garrett Temple,3600,SAC,SG,OKC,23.6495,6.56931,8.9705,2.49181,16.31,4.53056
Skal Labissiere,4400,SAC,PF,OKC,27.935,6.34886,9.065,2.06023,18.5,4.20455
Kosta Koufos,4000,SAC,C,OKC,25.4408,6.3602,7.5992,1.8998,16.52,4.13
Vince Carter,4100,SAC,SF,OKC,14.31,3.49024,1.59,0.387805,7.95,1.93902
Paul George,8300,OKC,SF,SAC,47.203,5.68711,25.417,3.06229,36.31,4.37470
Zach Randolph,4900,SAC,PF,OKC,34.3617,7.01259,14.3783,2.93435,24.37,4.97347
Buddy Hield,4300,SAC,SG,OKC,27.898,6.48791,9.802,2.27953,18.85,4.38372
Willie Cauley-Stein,6300,SAC,C,OKC,43.4844,6.90229,18.1956,2.88819,30.84,4.89524
Corey Brewer,3500,LAL,SF,MEM,15.48,4.42286,1.72,0.491429,8.6,2.45714
Bogdan Bogdanovic,5400,SAC,SG,OKC,31.222,5.78185,15.378,2.84778,23.3,4.31481
De'Aaron Fox,6300,SAC,PG,OKC,36.1674,5.74086,14.7726,2.34486,25.47,4.04286
George Hill,4600,SAC,PG,OKC,26.2224,5.70052,10.1976,2.21687,18.21,3.95870
Russell Westbrook,12200,OKC,PG,SAC,65.2239,5.34622,44.3961,3.63902,54.81,4.49262
Alex Abrines,3500,OKC,SG,SAC,10.3191,2.94831,1.3409,0.383114,5.83,1.66571
Klay Thompson,6700,GSW,SG,CLE,37.9947,5.67085,23.7853,3.55004,30.89,4.61045
Kevin Durant,10700,GSW,SF,CLE,54.5462,5.09778,34.8738,3.25923,44.71,4.17850
Draymond Green,8200,GSW,PF,CLE,49.1648,5.99571,27.6552,3.37259,38.41,4.68415
Andre Iguodala,3700,GSW,SF,CLE,21.6,5.83784,10.4,2.81081,16,4.32432
Zaza Pachulia,3500,GSW,C,CLE,18.4252,5.26434,6.8148,1.94709,12.62,3.60571
Steven Adams,7000,OKC,C,SAC,39.455,5.63643,21.245,3.035,30.35,4.33571
Carmelo Anthony,6500,OKC,PF,SAC,36.449,5.60754,20.951,3.22323,28.7,4.41538
Raymond Felton,3600,OKC,PG,SAC,20.5296,5.70267,8.5904,2.38622,14.56,4.04444
Jerami Grant,3500,OKC,PF,SAC,19.796,5.656,8.484,2.424,14.14,4.04
Patrick Patterson,3600,OKC,PF,SAC,15.0857,4.19047,3.6543,1.01508,9.37,2.60278
Terrance Ferguson,3500,OKC,SG,SAC,23.364,6.67543,2.596,0.741714,12.98,3.70857
Josh Huestis,3500,OKC,SF,SAC,21.7434,6.2124,4.2966,1.2276,13.02,3.72
JaMychal Green,5100,MEM,PF,LAL,34.0483,6.67614,13.5717,2.66112,23.81,4.66863
Jarell Martin,3500,MEM,PF,LAL,27.6176,7.89074,6.0624,1.73211,16.84,4.81143
Zach LaVine,4300,CHI,SG,MIA,0,0,0,0,17.62,4.09767
Nikola Mirotic,6200,CHI,PF,MIA,34.4112,5.55019,16.9488,2.73368,25.68,4.14194
Kentavious Caldwell-Pope,5100,LAL,SG,MEM,33.4894,6.56655,16.8706,3.30796,25.18,4.93725
Brook Lopez,4400,LAL,C,MEM,27.8888,6.33836,11.3912,2.58891,19.64,4.46364
Kyle Kuzma,5100,LAL,PF,MEM,40.6962,7.97965,18.2838,3.58506,29.49,5.78235
David Nwaba,3900,CHI,SF,MIA,24.7401,6.34362,8.9199,2.28715,16.83,4.31538
Lauri Markkanen,6600,CHI,PF,MIA,33.3919,5.05938,17.5881,2.66486,25.49,3.86212
Robin Lopez,4500,CHI,C,MIA,27.5484,6.12187,14.1916,3.15369,20.87,4.63778
Jerian Grant,3500,CHI,PG,MIA,16.4724,4.7064,5.7876,1.6536,11.13,3.18
Denzel Valentine,4900,CHI,SF,MIA,22.3767,4.56667,9.3633,1.91088,15.87,3.23878
Kris Dunn,8000,CHI,PG,MIA,48.4432,6.0554,22.2768,2.7846,35.36,4.42
Bobby Portis,4200,CHI,PF,MIA,24.2353,5.77031,11.1447,2.6535,17.69,4.21190
Jordan Clarkson,4000,LAL,SG,MEM,50.568,12.642,18.232,4.558,34.4,8.6
Julius Randle,6700,LAL,C,MEM,41.1996,6.14919,18.0804,2.69857,29.64,4.42388
Wayne Selden,3500,MEM,SG,LAL,5.22,1.49143,0.58,0.165714,2.9,0.828571
Mario Chalmers,3900,MEM,PG,LAL,25.86,6.63077,8.62,2.21026,17.24,4.42051
Andrew Harrison,4300,MEM,PG,LAL,36.3736,8.45898,11.4864,2.67126,23.93,5.56512
Ben McLemore,3500,MEM,SG,LAL,7.2,2.05714,1.8,0.514286,4.5,1.28571
Deyonta Davis ,3500,MEM,C,LAL,20.0772,5.73634,3.6828,1.05223,11.88,3.39429
Dillon Brooks,3500,MEM,SF,LAL,21.8526,6.2436,6.5274,1.86497,14.19,4.05429
Tyreke Evans,8500,MEM,SG,LAL,52.3776,6.16207,26.9824,3.1744,39.68,4.66824
Tyler Ennis,3700,LAL,PG,MEM,41.994,11.3497,4.666,1.26108,23.33,6.30541
Josh Hart,3500,LAL,SG,MEM,31.9531,9.12946,4.9869,1.42483,18.47,5.27714
Larry Nance,4400,LAL,PF,MEM,23.282,5.29136,9.978,2.26773,16.63,3.77955
Marc Gasol,8400,MEM,C,LAL,52.475,6.24702,31.485,3.74821,41.98,4.99762
James Ennis,3500,MEM,SF,LAL,26.3568,7.53051,8.3232,2.37806,17.34,4.95429
Shaun Livingston,3500,GSW,PG,CLE,14.775,4.22143,4.925,1.40714,9.85,2.81429
Nick Young,3500,GSW,SG,CLE,12.7971,3.65631,1.6629,0.475114,7.23,2.06571
Trevor Ariza,5500,HOU,SF,LAC,33.4705,6.08555,17.6295,3.20536,25.55,4.64545
Eric Gordon,7600,HOU,SG,LAC,49.8576,6.56021,23.4624,3.08716,36.66,4.82368
Ryan Anderson,4500,HOU,PF,LAC,29.2149,6.4922,11.6451,2.5878,20.43,4.54
P.J. Tucker,3700,HOU,SF,LAC,17.5827,4.75208,7.3573,1.98846,12.47,3.37027
Clint Capela,7800,HOU,C,LAC,47.5752,6.09938,26.1848,3.35703,36.88,4.72821
Joe Johnson,4300,UTA,SF,IND,28.7518,6.68647,8.5882,1.99726,18.67,4.34186
Royce O'Neale,3700,UTA,SF,IND,24.066,6.50432,2.674,0.722703,13.37,3.61351
Donovan Mitchell,7400,UTA,SG,IND,49.848,6.73622,24.552,3.31784,37.2,5.02703
Derrick Favors,6300,UTA,PF,IND,45.9117,7.28757,20.1483,3.19814,33.03,5.24286
Ekpe Udoh,4800,UTA,C,IND,24.7508,5.15642,4.0292,0.839417,14.39,2.99792
Alec Burks,3500,UTA,SG,IND,8.466,2.41886,1.734,0.495429,5.1,1.45714
Jonas Jerebko,3500,UTA,PF,IND,19.1268,5.4648,4.6332,1.32377,11.88,3.39429
Luc Richard Mbah a Moute,3500,HOU,PF,LAC,17.6592,5.04549,4.9808,1.42309,11.32,3.23429
Tarik Black,3600,HOU,PF,LAC,21.186,5.885,2.354,0.653889,11.77,3.26944
Willie Reed,4300,LAC,C,HOU,6.6468,1.54577,0.9932,0.230977,3.82,0.888372
Montrezl Harrell,5400,LAC,PF,HOU,22.928,4.24593,5.732,1.06148,14.33,2.65370
Jawun Evans,4300,LAC,PG,HOU,27.251,6.33744,4.809,1.11837,16.03,3.72791
Milos Teodosic,4800,LAC,PG,HOU,28.9038,6.02162,14.2362,2.96588,21.57,4.49375
Tyrone Wallace,4200,LAC,SG,HOU,30.8028,7.334,15.5172,3.69457,23.16,5.51429
Wesley Johnson,3900,LAC,SF,HOU,23.3632,5.99056,7.9968,2.05046,15.68,4.02051
Sam Dekker,3800,LAC,SF,HOU,16.8858,4.44363,4.3542,1.14584,10.62,2.79474
Gerald Green,4600,HOU,SF,LAC,32.3785,7.03880,12.2815,2.66989,22.33,4.85435
Chris Paul,10800,HOU,PG,LAC,64.768,5.99704,36.432,3.37333,50.6,4.68519
Blake Griffin,8600,LAC,PF,HOU,51.0942,5.94119,31.9858,3.71928,41.54,4.83023
DeAndre Jordan,8800,LAC,C,HOU,46.1906,5.24893,24.3294,2.76470,35.26,4.00682
Lou Williams,9100,LAC,SG,HOU,51.0188,5.60646,23.4612,2.57815,37.24,4.09231
