name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,,,
DeMarcus Cousins,11200,NOP,C,BOS,63.9231,5.70742,40.0169,3.57294,51.97,4.64018,35.48609756,37.16410256,59000
Anthony Davis,11000,NOP,PF,BOS,66.43,6.03909,35.77,3.25182,51.1,4.64545,32.94816667,,
Damian Lillard,9300,POR,PG,PHO,51.545,5.54247,32.955,3.54355,42.25,4.54301,34.01785714,,
Kyrie Irving,8200,BOS,PG,NOP,49.08,5.98537,32.72,3.99024,40.9,4.9878,,,
Jimmy Butler,9400,MIN,SF,ORL,55.251,5.87777,32.449,3.45202,43.85,4.66489,37.16410256,,
Karl-Anthony Towns,9500,MIN,C,ORL,56.2176,5.91764,31.6224,3.32867,43.92,4.62316,25.645,,
Nikola Jokic,9700,DEN,C,DAL,58.6929,6.05081,29.5671,3.04815,44.13,4.54948,15.76730769,,
Devin Booker,7800,PHO,SG,POR,49.764,6.38,25.636,3.28667,37.7,4.83333,,,
Al Horford,7100,BOS,C,NOP,41.5524,5.85245,25.4676,3.58699,33.51,4.71972,,,
C.J. McCollum,8200,POR,SG,PHO,42.3864,5.16907,24.8936,3.0358,33.64,4.10244,19.71882353,,
Harrison Barnes,6800,DAL,SF,DEN,37.761,5.55309,23.639,3.47632,30.7,4.51471,,,
Dennis Smith Jr.,6500,DAL,PG,DEN,47.57,7.31846,23.43,3.60462,35.5,5.46154,,,
Jrue Holiday,7500,NOP,SG,BOS,41.028,5.4704,22.092,2.9456,31.56,4.208,22.69333333,,
Aaron Gordon,7500,ORL,PF,MIN,45.832,6.11093,21.568,2.87573,33.7,4.49333,22.2676,,
Gary Harris,6500,DEN,SG,DAL,39.1386,6.02132,21.5414,3.31406,30.34,4.66769,,,
Jeff Teague,6900,MIN,PG,ORL,40.4448,5.86157,20.8352,3.01959,30.64,4.44058,,,
Andrew Wiggins,6500,MIN,SG,ORL,35.8272,5.51188,20.1528,3.10043,27.99,4.30615,,,
Elfrid Payton,7200,ORL,PG,MIN,45.934,6.37972,19.686,2.73417,32.81,4.55694,,,
Will Barton,6500,DEN,SG,DAL,41.9083,6.44743,19.2717,2.96488,30.59,4.70615,,,
Jusuf Nurkic,7000,POR,C,PHO,43.4,6.2,18.6,2.65714,31,4.42857,,,
Jayson Tatum,5600,BOS,PF,NOP,36.5284,6.52293,17.9916,3.21279,27.26,4.86786,,,
