name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,59100,19.09125
Giannis Antetokounmpo,11600,MIL,SF,CHI,68.9486,5.94384,46.9314,4.04581,57.94,4.99483,0,,,
Russell Westbrook,12000,OKC,PG,PHI,63.3199,5.27666,43.1001,3.59168,53.21,4.43417,0,,,
Anthony Davis,11500,NOP,PF,LAC,77.2839,6.72034,42.5361,3.69879,59.91,5.20957,0,,,
LeBron James,11000,CLE,SF,DET,68.225,6.20227,40.935,3.72136,54.58,4.96182,1,,,
James Harden,11400,HOU,SG,PHO,62.9268,5.51989,39.3932,3.45554,51.16,4.48772,0,,,
Blake Griffin,8700,LAC,PF,NOP,57.1392,6.56772,35.0208,4.02538,46.08,5.29655,0,,,
Chris Paul,9600,HOU,PG,PHO,60.1345,6.26401,34.5655,3.60057,47.35,4.93229,0,,,
Joel Embiid,10000,PHI,C,OKC,57.8048,5.78048,32.5152,3.25152,45.16,4.516,0,,,
Jrue Holiday,7700,NOP,SG,LAC,58.6821,7.62105,32.2979,4.19453,45.49,5.90779,0,,,
Andre Drummond,10800,DET,C,CLE,57.993,5.36972,31.227,2.89139,44.61,4.13056,0,,,
DeMar DeRozan,8400,TOR,SG,LAL,56.3859,6.71261,31.0341,3.69454,43.71,5.20357,1,,,
Ben Simmons,8500,PHI,PF,OKC,53.4963,6.29368,29.4437,3.46396,41.47,4.87882,0,,,
Paul George,8200,OKC,SF,PHI,51.35,6.2622,27.65,3.37195,39.5,4.81707,0,,,
LaMarcus Aldridge,9100,SAS,PF,SAC,45.7002,5.022,26.8398,2.94943,36.27,3.98571,0,,,
Kyle Lowry,7700,TOR,PG,LAL,48.711,6.3261,26.229,3.40636,37.47,4.86623,1,,,
Khris Middleton,8000,MIL,SG,CHI,49.7508,6.21885,25.6292,3.20365,37.69,4.71125,0,,,
Lou Williams,8500,LAC,SG,NOP,57.3653,6.74886,25.1747,2.96173,41.27,4.85529,0,,,
Devin Booker,8000,PHO,SG,HOU,49.6336,6.2042,24.4464,3.0558,37.04,4.63,0,,,
Clint Capela,7800,HOU,C,PHO,44.0277,5.64458,24.2323,3.10671,34.13,4.37564,0,,,
DeAndre Jordan,8000,LAC,C,NOP,44.512,5.564,23.968,2.996,34.24,4.28,0,,,
Eric Bledsoe,7600,MIL,PG,CHI,47.0421,6.18975,23.6979,3.11814,35.37,4.65395,0,,,
Steven Adams,7300,OKC,C,PHI,41.7024,5.71266,23.4576,3.21337,32.58,4.46301,0,,,
Kevin Love,7100,CLE,C,DET,45.3929,6.39337,22.8671,3.22072,34.13,4.80704,0,,,
Tobias Harris,6600,DET,PF,CLE,41.4735,6.28386,22.8265,3.45856,32.15,4.87121,1,,,
