name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Stephen Curry,9800,GSW,PG,DAL,526200,53693,350800,35795,438500,44744,0,=(h2-$h$54)/(b2-$b$54)
Kevin Durant,10500,GSW,SF,DAL,540462,51472,338337,32222,439400,41847,0,=(h3-$h$44)/(b3-$b$44)
Damian Lillard,9200,POR,PG,CHA,518001,56304,338198,36760,428100,46532,0,=(h4-$h$54)/(b4-$b$54)
Bradley Beal,8600,WAS,SG,BOS,545028,63375,280772,32647,412900,48011,0,=(h5-$h$34)/(b5-$b$34)
Dennis Schroder,7500,ATL,PG,ORL,473130,63084,277870,37049,375500,50066,0,=(h6-$h$54)/(b6-$b$54)
Paul George,8600,OKC,SF,LAL,512070,59543,275730,32061,393900,45802,0,=(h7-$h$44)/(b7-$b$44)
Al Horford,7400,BOS,C,WAS,448756,60642,275044,37168,361900,48905,0,=(h8-$h$30)/(b8-$b$30)
DeMar DeRozan,8400,TOR,SG,NYK,497811,59263,273989,32617,385900,45940,0,=(h9-$h$34)/(b9-$b$34)
Draymond Green,8300,GSW,PF,DAL,474218,57134,272582,32841,373400,44988,0,=(h10-$h$37)/(b10-$b$37)
Kemba Walker,8300,CHA,PG,POR,461790,55637,271210,32675,366500,44156,0,=(h11-$h$54)/(b11-$b$54)
Kyle Lowry,8000,TOR,PG,NYK,479570,59946,258230,32278,368900,46112,0,=(h12-$h$54)/(b12-$b$54)
C.J. McCollum,6900,POR,SG,CHA,427863,62009,245936,35643,336900,48826,0,=(h13-$h$34)/(b13-$b$34)
Dwight Howard,8200,CHA,C,POR,499365,60898,240435,29321,369900,45109,0,=(h14-$h$30)/(b14-$b$30)
Steven Adams,6900,OKC,C,LAL,413385,59910,237615,34437,325500,47173,0,=(h15-$h$30)/(b15-$b$30)
Dennis Smith Jr.,6500,DAL,PG,GSW,469224,72188,236376,36365,352800,54276,0,=(h16-$h$54)/(b16-$b$54)
Brandon Ingram,7100,LAL,SF,OKC,465500,65563,234500,33028,350000,49295,0,=(h17-$h$44)/(b17-$b$44)
Julius Randle,7300,LAL,C,OKC,484706,66398,222894,30533,353800,48465,0,=(h18-$h$30)/(b18-$b$30)
Evan Fournier,6200,ORL,SG,ATL,404820,65293,217979,35158,311400,50225,0,=(h19-$h$34)/(b19-$b$34)
Klay Thompson,6500,GSW,SG,DAL,361500,55615,216900,33369,289200,44492,0,=(h20-$h$34)/(b20-$b$34)
Otto Porter,6700,WAS,SF,BOS,487480,72758,208920,31182,348200,51970,0,=(h21-$h$44)/(b21-$b$44)
Kent Bazemore,6400,ATL,SG,ORL,410550,64148,184450,28820,297500,46484,0,=(h22-$h$34)/(b22-$b$34)
Wesley Matthews,5800,DAL,SG,GSW,415749,71680,182451,31457,299100,51569,0,=(h23-$h$34)/(b23-$b$34)
Nicolas Batum,6700,CHA,SG,POR,378810,56538,182390,27222,280600,41880,0,=(h24-$h$34)/(b24-$b$34)
Jusuf Nurkic,6500,POR,C,CHA,421540,64852,180660,27793,301100,46323,0,=(h25-$h$30)/(b25-$b$30)
Courtney Lee,5100,NYK,SG,TOR,348593,68351,175607,34432,262100,51392,0,=(h26-$h$34)/(b26-$b$34)
J.J. Barea,4900,DAL,PG,GSW,319930,65291,172270,35157,246100,50224,0,=(h27-$h$54)/(b27-$b$54)
Tim Hardaway Jr.,6000,NYK,SG,TOR,452400,75400,171600,28600,312000,52000,1
Dirk Nowitzki,5300,DAL,PF,GSW,324094,61149,170706,32208,247399,46679,0,=(h29-$h$37)/(b29-$b$37)
Kyle O'Quinn,4000,NYK,C,TOR,476055,119014,162945,40736,319500,79875,1
Al-Farouq Aminu,5500,POR,PF,CHA,345439,62807,162560,29556,254000,46181,0,=(h31-$h$37)/(b31-$b$37)
Markieff Morris,6300,WAS,PF,BOS,403546,64054,160854,25532,282200,44793,0,=(h32-$h$37)/(b32-$b$37)
Serge Ibaka,5000,TOR,PF,NYK,330750,66150,159250,31850,245000,49000,1
Kentavious Caldwell-Pope,4700,LAL,SG,OKC,336328,71559,158272,33674,247300,52617,1
Jonathon Simmons,5800,ORL,SF,ATL,402768,69442,156632,27005,279700,48224,0,=(h35-$h$44)/(b35-$b$44)
Jayson Tatum,5400,BOS,SF,WAS,356118,65947,156282,28941,256200,47444,0,=(h36-$h$44)/(b36-$b$44)
Kyle Kuzma,4700,LAL,PF,OKC,362793,77190,151807,32299,257300,54744,1
Marcus Morris,4900,BOS,PF,WAS,280800,57306,151200,30857,216000,44081,0
John Collins,5200,ATL,PF,ORL,306592,58960,151008,29040,228800,44000,0
Brook Lopez,5300,LAL,C,OKC,393820,74305,149380,28184,271600,51245,0
Jonas Valanciunas,6600,TOR,C,NYK,436272,66101,149328,22625,292800,44363,0
Dwight Powell,5500,DAL,PF,GSW,374831,68151,145768,26503,260300,47327,0
Taurean Prince,4500,ATL,SF,ORL,390112,86691,144288,32064,267200,59377,1
Michael Beasley,6200,NYK,SF,TOR,600048,96781,140752,22701,370400,59741,1
Dewayne Dedmon,4900,ATL,C,ORL,301254,61480,135346,27621,218299,44551,0
Jeremy Lamb,4900,CHA,SF,POR,269960,55093,127040,25926,198500,40510,0
Yogi Ferrell,4000,DAL,PG,GSW,320976,80244,124824,31206,222900,55725,1
Terry Rozier,6500,BOS,PG,WAS,355052,54623,124748,19192,239899,36907,0,=(h48-$h$54)/(b48-$b$54)
Kelly Oubre,4700,WAS,SF,BOS,288540,61391,123660,26310,206100,43851,0
Ersan Ilyasova,4500,ATL,PF,ORL,292575,65016,122425,27205,207500,46111,0
Marcin Gortat,4500,WAS,C,BOS,274664,61036,120536,26785,197600,43911,0
Jarrett Jack,4000,NYK,PG,TOR,289575,72393,115425,28856,202500,50625,0,=(h52-$h$54)/(b52-$b$54)
Jerami Grant,5200,OKC,PF,LAL,274912,52867,112288,21593,193600,37230,0
D.J. Augustin,4100,ORL,PG,ATL,340052,82939,110348,26914,225200,54926,1
David West,4300,GSW,PF,DAL,218652,50849,110147,25615,164400,38232,0
Cody Zeller,3700,CHA,C,POR,208692,56403,107508,29056,158100,42729,0
Andre Iguodala,3900,GSW,SF,DAL,226304,58026,106496,27306,166400,42666,0
Marvin Williams,4400,CHA,PF,POR,265122,60255,105678,24017,185400,42136,0
Shelvin Mack,4500,ORL,PG,ATL,368316,81847,103884,23085,236100,52466,0
Michael Kidd-Gilchrist,4200,CHA,SF,POR,265720,63266,98280,23400,182000,43333,0
Ed Davis,3800,POR,PF,CHA,249835,65746,94765,24938,172300,45342,0
Fred VanVleet,4900,TOR,PG,NYK,335244,68417,94556,19297,214899,43857,0
Jakob Poeltl,3900,TOR,C,NYK,281766,72247,91434,23444,186600,47846,0
