name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Russell Westbrook,11800,OKC,PG,MEM,657960,55759,438640,37172,548300,46466,0,=(h2-$h$182)/(b2-$b$182)
Anthony Davis,11800,NOP,C,LAL,749710,63534,403690,34211,576700,48872,0,=(h3-$h$53)/(b3-$b$53)
James Harden,11500,HOU,SG,SAC,668250,58108,400950,34865,534600,46487,0,=(h4-$h$82)/(b4-$b$82)
Andre Drummond,10600,DET,C,ATL,662415,62492,364585,34394,513500,48443,0,=(h5-$h$53)/(b5-$b$53)
Kevin Durant,10200,GSW,SF,POR,572811,56157,358589,35155,465700,45656,0,=(h6-$h$184)/(b6-$b$184)
Stephen Curry,9600,GSW,PG,POR,521520,54325,347680,36216,434600,45270,0,=(h7-$h$182)/(b7-$b$182)
Damian Lillard,9000,POR,PG,GSW,525820,58424,336180,37353,431000,47888,0,=(h8-$h$182)/(b8-$b$182)
Blake Griffin,9000,DET,PF,ATL,501664,55740,320736,35637,411200,45688,0,=(h9-$h$142)/(b9-$b$142)
Victor Oladipo,10200,IND,SG,BKN,582790,57136,313810,30765,448300,43951,0,=(h10-$h$82)/(b10-$b$82)
Chris Paul,9600,HOU,PG,SAC,568245,59192,312755,32578,440500,45885,0,=(h11-$h$182)/(b11-$b$182)
Kemba Walker,8600,CHA,PG,ORL,530082,61637,311318,36199,420700,48918,0,=(h12-$h$182)/(b12-$b$182)
Kyrie Irving,8000,BOS,PG,LAC,469822,58727,300378,37547,385100,48137,0,=(h13-$h$182)/(b13-$b$182)
Marc Gasol,8300,MEM,C,OKC,499463,60176,293336,35341,396400,47759,0,=(h14-$h$53)/(b14-$b$53)
Ben Simmons,8900,PHI,PF,MIA,491617,55237,282583,31750,387100,43494,0,=(h15-$h$142)/(b15-$b$142)
Bradley Beal,8700,WAS,SG,NYK,548460,63041,282540,32475,415500,47758,0,=(h16-$h$82)/(b16-$b$82)
Paul George,9500,OKC,SF,MEM,514799,54189,277200,29178,396000,41684,0,=(h17-$h$184)/(b17-$b$184)
Draymond Green,8200,GSW,PF,POR,475234,57955,273166,33312,374200,45634,0,=(h18-$h$142)/(b18-$b$142)
Al Horford,7000,BOS,C,LAC,438712,62673,268888,38412,353800,50542,0,=(h19-$h$53)/(b19-$b$53)
DeMar DeRozan,8500,TOR,SG,CHI,483750,56911,266250,31323,375000,44117,0,=(h20-$h$82)/(b20-$b$82)
Rudy Gobert,7900,UTA,C,PHO,514799,65164,265200,33569,390000,49367,0,=(h21-$h$53)/(b21-$b$53)
Donovan Mitchell,8500,UTA,SG,PHO,564988,66469,259812,30566,412400,48517,0,=(h22-$h$82)/(b22-$b$82)
DeAndre Jordan,7300,LAC,C,BOS,469431,64305,258369,35393,363900,49849,0,=(h23-$h$53)/(b23-$b$53)
Dwight Howard,8300,CHA,C,ORL,543184,65443,255616,30797,399400,48120,0,=(h24-$h$53)/(b24-$b$53)
Jrue Holiday,7900,NOP,SG,LAL,464142,58752,255458,32336,359799,45544,0,=(h25-$h$82)/(b25-$b$82)
Clint Capela,8500,HOU,C,SAC,461691,54316,254109,29895,357900,42105,0,=(h26-$h$53)/(b26-$b$53)
C.J. McCollum,6900,POR,SG,GSW,430149,62340,247251,35833,338700,49086,0,=(h27-$h$82)/(b27-$b$82)
Steven Adams,6800,OKC,C,MEM,425704,62603,244696,35984,335200,49294,0,=(h28-$h$53)/(b28-$b$53)
Julius Randle,7000,LAL,C,NOP,510816,72973,240384,34340,375600,53657,0,=(h29-$h$53)/(b29-$b$53)
Tyreke Evans,7500,MEM,SG,OKC,451572,60209,232628,31017,342100,45613,0,=(h30-$h$82)/(b30-$b$82)
Enes Kanter,7100,NYK,C,WAS,459914,64776,231686,32631,345800,48704,0,=(h31-$h$53)/(b31-$b$53)
Kyle Lowry,7600,TOR,PG,CHI,430073,56588,226527,29806,328300,43197,0,=(h32-$h$182)/(b32-$b$182)
Devin Booker,7200,PHO,SG,UTA,449673,62454,226527,31462,338100,46958,0,=(h33-$h$82)/(b33-$b$82)
Spencer Dinwiddie,7700,BKN,PG,IND,480216,62365,225984,29348,353100,45857,0,=(h34-$h$182)/(b34-$b$182)
Nikola Mirotic,7500,NOP,PF,LAL,507628,67683,222772,29702,365200,48693,0,=(h35-$h$142)/(b35-$b$142)
Brandon Ingram,6500,LAL,SF,NOP,437703,67338,220497,33922,329099,50630,0,=(h36-$h$184)/(b36-$b$184)
Lou Williams,7000,LAC,SG,BOS,475253,67893,218547,31221,346900,49557,1
John Collins,5100,ATL,PF,DET,453060,88835,218140,42772,335600,65803,1
Klay Thompson,6500,GSW,SG,POR,361250,55576,216750,33346,289000,44461,0,=(h39-$h$82)/(b39-$b$82)
Zach LaVine,7800,CHI,SG,TOR,459816,58950,216384,27741,338100,43346,0,=(h40-$h$82)/(b40-$b$82)
Otto Porter,7400,WAS,SF,NYK,491781,66457,215818,29164,353800,47810,0,=(h41-$h$184)/(b41-$b$184)
Lauri Markkanen,6400,CHI,PF,TOR,398579,62278,214620,33534,306600,47906,0,=(h42-$h$142)/(b42-$b$142)
Isaiah Thomas,6700,LAL,PG,NOP,389064,58069,214136,31960,301600,45014,0,=(h43-$h$182)/(b43-$b$182)
Hassan Whiteside,7600,MIA,C,PHI,417487,54932,210313,27672,313900,41302,0,=(h44-$h$53)/(b44-$b$53)
Evan Fournier,6700,ORL,SG,CHA,374358,55874,206042,30752,290200,43313,0,=(h45-$h$82)/(b45-$b$82)
Elfrid Payton,7000,PHO,PG,UTA,456366,65195,205034,29290,330700,47242,0,=(h46-$h$182)/(b46-$b$182)
Tobias Harris,6500,LAC,PF,BOS,356362,54824,204838,31513,280600,43169,0,=(h47-$h$142)/(b47-$b$142)
Dario Saric,6700,PHI,PF,MIA,414060,61800,203939,30438,309000,46119,0,=(h48-$h$142)/(b48-$b$142)
Danilo Gallinari,6300,LAC,SF,BOS,377909,59985,203490,32300,290700,46142,0,=(h49-$h$184)/(b49-$b$184)
Joe Ingles,5900,UTA,SF,PHO,397404,67356,200196,33931,298800,50644,0,=(h50-$h$184)/(b50-$b$184)
Goran Dragic,7000,MIA,PG,PHI,385176,55025,198424,28346,291800,41685,0,=(h51-$h$182)/(b51-$b$182)
Carmelo Anthony,6000,OKC,PF,MEM,376494,62749,198306,33051,287400,47900,0,=(h52-$h$142)/(b52-$b$142)
Dewayne Dedmon,5700,ATL,C,DET,460740,80831,197460,34642,329099,57736,1
Willie Cauley-Stein,7000,SAC,C,HOU,458500,65500,196500,28071,327500,46785,0
Nicolas Batum,6200,CHA,SG,ORL,396900,64016,191100,30822,294000,47419,0,=(h55-$h$82)/(b55-$b$82)
Thaddeus Young,6000,IND,PF,BKN,368412,61402,189788,31631,279100,46516,0,=(h56-$h$142)/(b56-$b$142)
Jaylen Brown,5600,BOS,SG,LAC,344172,61459,189427,33826,266800,47642,0,=(h57-$h$82)/(b57-$b$82)
TJ Warren,6500,PHO,SF,UTA,409904,63062,188496,28999,299200,46030,0,=(h58-$h$184)/(b58-$b$184)
Myles Turner,6800,IND,C,BKN,425757,62611,186843,27476,306300,45044,0
DeMarre Carroll,5700,BKN,SF,IND,361893,63490,182307,31983,272100,47736,0,=(h60-$h$184)/(b60-$b$184)
Derrick Favors,5800,UTA,PF,PHO,386920,66710,182079,31393,284500,49051,0,=(h61-$h$142)/(b61-$b$142)
Bobby Portis,6400,CHI,PF,TOR,394621,61659,173179,27059,283900,44359,0,=(h62-$h$142)/(b62-$b$142)
Austin Rivers,5200,LAC,PG,BOS,376064,72320,172935,33256,274500,52788,0,=(h63-$h$182)/(b63-$b$182)
Bogdan Bogdanovic,5700,SAC,SG,HOU,347864,61028,171336,30058,259600,45543,0,=(h64-$h$82)/(b64-$b$82)
Marcus Morris,4700,BOS,PF,LAC,311019,66174,171180,36421,241100,51297,0,=(h65-$h$142)/(b65-$b$142)
Jonas Valanciunas,7100,TOR,C,CHI,486475,68517,170924,24073,328700,46295,0
De'Aaron Fox,6000,SAC,PG,HOU,389200,64866,166800,27799,278000,46333,0,=(h67-$h$182)/(b67-$b$182)
Zach Randolph,6500,SAC,PF,HOU,389200,59876,166800,25661,278000,42769,0,=(h68-$h$142)/(b68-$b$142)
Robert Covington,5600,PHI,SF,MIA,362365,64708,166635,29756,264500,47232,0,=(h69-$h$184)/(b69-$b$184)
Domantas Sabonis,4900,IND,PF,BKN,308880,63036,166320,33942,237600,48489,0,=(h70-$h$142)/(b70-$b$142)
Jusuf Nurkic,6700,POR,C,GSW,396351,59156,165849,24753,281100,41955,0
