name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Manu Ginobili,4200,SAS,SG,LAL,28.0488,6.67829,7.9112,1.88362,17.98,4.28095,0
Joffrey Lauvergne,4200,SAS,C,LAL,26.928,6.41143,2.992,0.712381,14.96,3.56190,0
Tony Parker,4000,SAS,PG,LAL,19.4194,4.85485,7.7406,1.93515,13.58,3.395,0
Danny Green,4800,SAS,SG,LAL,30.4556,6.34492,11.2644,2.34675,20.86,4.34583,0
Davis Bertans,4100,SAS,PF,LAL,27.6828,6.75190,3.5972,0.877366,15.64,3.81463,0
Rudy Gay,4800,SAS,SF,LAL,34.8129,7.25269,14.5671,3.03481,24.69,5.14375,0
Patty Mills,4800,SAS,PG,LAL,33.6336,7.007,12.1264,2.52633,22.88,4.76667,0
Gary Payton,3500,LAL,PG,SAS,3.6432,1.04091,1.4168,0.4048,2.53,0.722857,0
Travis Wear,3500,LAL,PF,SAS,5.3067,1.5162,1.9133,0.546657,3.61,1.03143,0
Russell Westbrook,11200,OKC,PG,POR,62.916,5.6175,41.944,3.745,52.43,4.68125,0
Alex Abrines,3500,OKC,SG,POR,16.3658,4.67594,2.5542,0.729771,9.46,2.70286,0
Jerami Grant,4100,OKC,PF,POR,27.1143,6.61324,11.3457,2.76724,19.23,4.69024,0
Paul George,8700,OKC,SF,POR,53.807,6.18471,28.973,3.33023,41.39,4.75747,0
Corey Brewer,3500,LAL,SF,SAS,16.585,4.73857,4.815,1.37571,10.7,3.05714,0
Tyler Ennis,3500,LAL,PG,SAS,16.614,4.74686,1.846,0.527429,9.23,2.63714,0
Thomas Bryant ,3500,LAL,C,SAS,5.688,1.62514,0.632,0.180571,3.16,0.902857,0
Pau Gasol,6500,SAS,C,LAL,45.402,6.98492,20.398,3.13815,32.9,5.06154,0
Dejounte Murray,7500,SAS,PG,LAL,55.504,7.40053,13.876,1.85013,34.69,4.62533,0
Luc Richard Mbah a Moute,3700,HOU,PF,BOS,20.7,5.59459,6.9,1.86486,13.8,3.72973,0
Joe Johnson,3500,HOU,SF,BOS,18.6101,5.31717,6.3699,1.81997,12.49,3.56857,0
Chris Paul,8300,HOU,PG,BOS,51.8784,6.25041,29.1816,3.51586,40.53,4.88313,0
Clint Capela,7900,HOU,C,BOS,50.7486,6.42387,27.9314,3.53562,39.34,4.97975,0
P.J. Tucker,3600,HOU,SF,BOS,20.8639,5.79553,9.1561,2.54336,15.01,4.16944,0
Eric Gordon,4600,HOU,SG,BOS,24.8929,5.4115,11.4471,2.4885,18.17,3.95,0
Trevor Ariza,4900,HOU,SF,BOS,26.9055,5.49092,12.9545,2.64378,19.93,4.06735,0
Nene ,3500,HOU,C,BOS,15.6849,4.4814,5.6551,1.61574,10.67,3.04857,0
Isaiah Thomas,6100,LAL,PG,SAS,36.7605,6.02631,17.6995,2.90156,27.23,4.46393,0
Brook Lopez,4600,LAL,C,SAS,34.0128,7.39409,13.2272,2.87548,23.62,5.13478,0
Ivica Zubac,3500,LAL,C,SAS,25.146,7.18457,2.794,0.798286,13.97,3.99143,0
Kyle Anderson,5800,SAS,SF,LAL,35.7006,6.15528,16.0394,2.76541,25.87,4.46034,0
Lonzo Ball,7000,LAL,PG,SAS,45.441,6.49157,21.879,3.12557,33.66,4.80857,0
Julius Randle,7500,LAL,C,SAS,53.0128,7.06837,24.9472,3.32629,38.98,5.19733,0
Kentavious Caldwell-Pope,6000,LAL,SG,SAS,39.3312,6.5552,18.5088,3.0848,28.92,4.82,0
Kyle Kuzma,5500,LAL,PF,SAS,37.5624,6.82953,15.7176,2.85775,26.64,4.84364,0
Raymond Felton,3700,OKC,PG,POR,12.4704,3.37038,4.8496,1.31070,8.66,2.34054,0
Patrick Patterson,3500,OKC,PF,POR,27.2808,7.79451,6.3992,1.82834,16.84,4.81143,0
Royce O'Neale,3600,UTA,SF,SAC,21.222,5.895,2.358,0.655,11.79,3.275,0
Rudy Gobert,8500,UTA,C,SAC,51.0245,6.00288,26.8755,3.16182,38.95,4.58235,0
Bogdan Bogdanovic,5700,SAC,SG,UTA,32.9896,5.78765,15.1704,2.66147,24.08,4.22456,0
Jonas Jerebko,3500,UTA,PF,SAC,12.96,3.70286,3.04,0.868571,8,2.28571,0
Raulzinho Neto,4000,UTA,PG,SAC,10.3108,2.5777,1.6092,0.4023,5.96,1.49,0
Donovan Mitchell,7800,UTA,SG,SAC,53.5296,6.86277,25.1904,3.22954,39.36,5.04615,0
Alec Burks,3500,UTA,SG,SAC,15.9264,4.5504,3.0336,0.866743,9.48,2.70857,0
De'Aaron Fox,6000,SAC,PG,UTA,34.9029,5.81715,15.3171,2.55285,25.11,4.185,0
Buddy Hield,5800,SAC,SG,UTA,36.2736,6.25407,14.1064,2.43214,25.19,4.34310,0
Justin Jackson,4100,SAC,SF,UTA,20.4792,4.99493,4.9608,1.20995,12.72,3.10244,0
Frank Mason,3500,SAC,PG,UTA,20.4048,5.82994,7.9352,2.2672,14.17,4.04857,0
Vince Carter,4000,SAC,SF,UTA,15.9384,3.9846,2.3816,0.5954,9.16,2.29,0
Kosta Koufos,4400,SAC,C,UTA,29.223,6.64159,8.977,2.04023,19.1,4.34091,0
Garrett Temple,4300,SAC,SG,UTA,15.8613,3.68867,5.7187,1.32993,10.79,2.50930,0
Zach Randolph,6100,SAC,PF,UTA,36.61,6.00164,15.69,2.57213,26.15,4.28689,0
Skal Labissiere,5200,SAC,PF,UTA,37.9354,7.29527,12.9846,2.49704,25.46,4.89615,0
Derrick Favors,5700,UTA,PF,SAC,33.0208,5.79312,15.5392,2.72618,24.28,4.25965,0
Joe Ingles,6200,UTA,SF,SAC,35.0812,5.65826,17.2788,2.78690,26.18,4.22258,0
C.J. McCollum,7400,POR,SG,OKC,40.4241,5.46272,23.2359,3.13999,31.83,4.30135,0
Evan Turner,3500,POR,SF,OKC,21.1092,6.0312,7.6108,2.17451,14.36,4.10286,0
Jusuf Nurkic,6800,POR,C,OKC,37.254,5.47853,15.966,2.34794,26.61,3.91324,0
Damian Lillard,9700,POR,PG,OKC,52.8504,5.44849,33.7896,3.48346,43.32,4.46598,0
Steven Adams,7100,OKC,C,POR,41.088,5.78704,23.112,3.25521,32.1,4.52113,0
Terrance Ferguson,3500,OKC,SG,POR,6.93,1.98,0.77,0.22,3.85,1.10,0
Josh Huestis,3500,OKC,SF,POR,25.2615,7.21757,5.3585,1.531,15.31,4.37429,0
Maurice Harkless,3800,POR,SF,OKC,21.4613,5.64771,5.1987,1.36808,13.33,3.50789,0
