name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Joel Embiid,11100,PHI,C,IND,832869,75033,362742,32679,513800,46288,0,=(h2-$h$42)/(b2-$b$42)
Nikola Jokic,11300,DEN,C,CHI,756256,66925,320384,28352,532200,47097,0,=(h3-$h$42)/(b3-$b$42)
Ben Simmons,10700,PHI,PG,IND,565175,52820,239020,22338,399700,37355,0,=(h4-$h$21)/(b4-$b$21)
Marvin Bagley III,6100,SAC,PF,CHA,378140,61990,213919,35068,270100,44278,0,=(h5-$h$51)/(b5-$b$51)
Kemba Walker,9200,CHA,PG,SAC,826169,89801,212976,23149,443700,48228,1
Kevin Knox,5300,NYK,PF,WAS,360360,67992,208236,39290,257399,48566,0,=(h7-$h$51)/(b7-$b$51)
Kris Dunn,7200,CHI,PG,DEN,553429,76865,185238,25727,326700,45375,0,=(h8-$h$21)/(b8-$b$21)
Kyle Kuzma,7500,LAL,PF,OKC,513018,68402,180109,24014,345700,46093,0,=(h9-$h$51)/(b9-$b$51)
De'Aaron Fox,8600,SAC,PG,CHA,583675,67869,179902,20918,366400,42604,0,=(h10-$h$21)/(b10-$b$21)
Willie Cauley-Stein,7600,SAC,C,CHA,480650,63243,178234,23451,342100,45013,0,=(h11-$h$42)/(b11-$b$42)
Jimmy Butler,8100,PHI,SG,IND,508209,62742,174719,21570,354400,43753,0,=(h12-$h$32)/(b12-$b$32)
Lonzo Ball,7700,LAL,PG,OKC,451214,58599,154950,20123,309900,40246,0,=(h13-$h$21)/(b13-$b$21)
Zach LaVine,6700,CHI,SG,DEN,476467,71114,151687,22639,310200,46298,0,=(h14-$h$32)/(b14-$b$32)
Brandon Ingram,7300,LAL,SF,OKC,503492,68971,140061,19186,331900,45465,1
Jeremy Lamb,5900,CHA,SG,SAC,511290,86659,139633,23666,299000,50678,0,=(h16-$h$32)/(b16-$b$32)
Thaddeus Young,6300,IND,PF,PHI,425621,67558,137186,21775,287000,45555,0,=(h17-$h$51)/(b17-$b$51)
Lauri Markkanen,6700,CHI,PF,DEN,545148,81365,136765,20412,318800,47582,0,=(h18-$h$51)/(b18-$b$51)
Harry Giles,3600,SAC,PF,CHA,239259,66461,135352,37598,170900,47472,0,=(h19-$h$51)/(b19-$b$51)
Paul Millsap,6500,DEN,PF,CHI,498718,76725,125519,19310,305400,46984,0,=(h20-$h$51)/(b20-$b$51)
Jamal Murray,7600,DEN,PG,CHI,532312,70041,123753,16283,348600,45868,1
Will Barton,5400,DEN,SF,CHI,374673,69384,123009,22779,235200,43555,0,=(h22-$h$46)/(b22-$b$46)
Buddy Hield,6400,SAC,SG,CHA,510285,79732,120971,18901,290100,45328,0,=(h23-$h$32)/(b23-$b$32)
Tim Hardaway Jr.,5700,NYK,SG,WAS,529587,92910,117749,20657,285800,50140,0,=(h24-$h$32)/(b24-$b$32)
Chandler Hutchison,3800,CHI,SF,DEN,237160,62410,117733,30982,169400,44578,0,=(h25-$h$46)/(b25-$b$46)
Kentavious Caldwell-Pope,4500,LAL,SG,OKC,406756,90390,117274,26060,255500,56777,1
Emmanuel Mudiay,6600,NYK,PG,WAS,472683,71618,117051,17735,298600,45242,0
Noah Vonleh,5300,NYK,PF,WAS,452122,85306,116110,21907,262100,49452,1
Monte Morris,3700,DEN,SG,CHI,190680,51535,114271,30884,136200,36810,0,=(h29-$h$32)/(b29-$b$32)
J.J. Redick,5500,PHI,SG,IND,439708,79947,110840,20152,260799,47418,0,=(h30-$h$32)/(b30-$b$32)
Darren Collison,5800,IND,PG,PHI,374604,64586,106476,18357,228000,39310,0
Victor Oladipo,8000,IND,SG,PHI,612515,76564,103989,12998,407800,50975,1
Luke Kornet,5000,NYK,PF,WAS,470164,94033,103723,20744,235200,47040,0,=(h33-$h$51)/(b33-$b$51)
Mitchell Robinson,4000,NYK,C,WAS,184100,46025,102438,25609,131500,32875,0,=(h34-$h$42)/(b34-$b$42)
Jonah Bolden,3800,PHI,PF,IND,178500,46973,100980,26573,127500,33552,0,=(h35-$h$51)/(b35-$b$51)
Nicolas Batum,5200,CHA,SF,SAC,399162,76762,99273,19091,229800,44192,0,=(h36-$h$46)/(b36-$b$46)
Myles Turner,7100,IND,C,PHI,550355,77514,93839,13216,281800,39690,0,=(h37-$h$42)/(b37-$b$42)
Tyreke Evans,4500,IND,SF,PHI,336905,74868,93503,20778,183700,40822,0,=(h38-$h$46)/(b38-$b$46)
Bogdan Bogdanovic,6200,SAC,SG,CHA,567977,91609,92736,14957,288900,46596,0
Miles Bridges,3500,CHA,SF,SAC,169540,48440,91551,26157,121100,34600,0,=(h40-$h$46)/(b40-$b$46)
Allonzo Trier,3600,NYK,SG,WAS,161980,44994,90130,25036,115700,32138,0
Tyson Chandler,3700,LAL,C,OKC,363280,98183,87378,23615,191200,51675,1
Nemanja Bjelica,4500,SAC,SF,CHA,338137,75141,83883,18640,200200,44488,0,=(h43-$h$46)/(b43-$b$46)
Bojan Bogdanovic,5500,IND,SF,PHI,424291,77143,82384,14978,247399,44981,0,=(h44-$h$46)/(b44-$b$46)
Landry Shamet,3900,PHI,PG,IND,144620,37082,81813,20977,103300,26487,0
Gary Harris,5000,DEN,SF,CHI,315560,63112,80242,16048,225400,45080,1
Michael Kidd-Gilchrist,3800,CHA,SF,SAC,322038,84747,65567,17254,161100,42394,0
Bismack Biyombo,4400,CHA,C,SAC,360810,82002,63300,14386,211000,47954,0
Marvin Williams,5500,CHA,PF,SAC,530068,96376,60495,10999,266500,48454,0,=(h49-$h$51)/(b49-$b$51)
Mason Plumlee,5000,DEN,C,CHI,420389,84078,60145,12029,210300,42060,0
Bobby Portis,4800,CHI,PF,DEN,596701,124313,57312,11940,298500,62187,1
Iman Shumpert,3700,SAC,SG,CHA,284524,76898,55865,15098,162399,43891,0
Wilson Chandler,4300,PHI,SF,IND,261119,60725,52531,12216,153600,35720,0
Willy Hernangomez,3900,CHA,C,SAC,397001,101795,51238,13138,198600,50923,0
Malik Beasley,4700,DEN,SG,CHI,356821,75919,51051,10861,178500,37978,0
Malik Monk,3800,CHA,SG,SAC,339791,89418,49090,12918,174700,45973,0
Domantas Sabonis,7200,IND,PF,PHI,623534,86601,48792,6776,336500,46736,0
Cory Joseph,4100,IND,PG,PHI,289809,70685,48715,11881,165700,40414,0
JaVale McGee,5400,LAL,C,OKC,387006,71667,48400,8962,193600,35851,0
Devonte' Graham,3500,CHA,PG,SAC,88200,25200,47628,13608,63000,18000,0
Mario Hezonja,5400,NYK,SF,WAS,394202,73000,47328,8764,197200,36518,0
Sviatoslav Mykhailiuk,3500,LAL,SG,OKC,80079,22879,45302,12943,57200,16342,0
Damyean Dotson,4000,NYK,SG,WAS,291315,72828,39950,9987,159800,39950,0
Tony Parker,3600,CHA,PG,SAC,268886,74690,39515,10976,151400,42055,0
Jabari Parker,4900,CHI,SF,DEN,386227,78822,39109,7981,211400,43142,0
Ryan Arcidiacono,3900,CHI,PG,DEN,245877,63045,36900,9461,123000,31538,0
T.J. McConnell,4600,PHI,PG,IND,331765,72123,36783,7996,177700,38630,0
Josh Hart,4700,LAL,SG,OKC,377303,80277,36208,7704,192600,40978,0
Michael Beasley,3700,LAL,SF,OKC,283122,76519,35721,9654,147000,39729,0
Doug McDermott,3500,IND,SF,PHI,196101,56029,31392,8969,98100,28028,0
Wayne Selden,3500,CHI,SG,DEN,208430,59551,30277,8650,109700,31342,0
Shaquille Harrison,3800,CHI,PG,DEN,209095,55025,29915,7872,104600,27526,0
Torrey Craig,3700,DEN,SG,CHI,266466,72018,28792,7781,133300,36027,0
Justin Jackson,3700,SAC,SF,CHA,208957,56474,28214,7625,108100,29216,0
Yogi Ferrell,3500,SAC,PG,CHA,180726,51636,28212,8060,91600,26171,0
Robin Lopez,3500,CHI,C,DEN,233683,66766,28056,8016,116900,33400,0
Mike Muscala,3600,PHI,C,IND,228190,63386,24020,6672,120100,33361,0
Juan Hernangomez,3500,DEN,SF,CHI,225087,64310,22519,6434,112600,32171,0
Corey Brewer,3500,PHI,SF,IND,115742,33069,22059,6302,57900,16542,0
Frank Ntilikina,4200,NYK,PG,WAS,164920,39266,19269,4588,86800,20666,0
Lance Thomas,3500,NYK,SF,WAS,99550,28442,13097,3742,49800,14228,0
Lance Stephenson,3500,LAL,SF,OKC,127987,36568,13040,3725,65199,18628,0
Ivica Zubac,3500,LAL,C,OKC,114328,32665,12657,3616,58600,16742,0
Furkan Korkmaz,3500,PHI,SG,IND,91354,26101,11653,3329,45700,13057,0
