"Dwight Howard",8900,CHA,C,SAC,57.8445,20.8555,39.35
"Frank Kaminsky",5200,CHA,PF,SAC,29.76,8.64,19.2
"Bogdan Bogdanovic",4800,SAC,SG,CHA,29.7792,11.5808,20.68
"Skal Labissiere",3500,SAC,PF,CHA,21.8196,3.2604,12.54
"Willie Cauley-Stein",7100,SAC,C,CHA,53.9673,7.0127,30.49
"Michael Kidd-Gilchrist",4700,CHA,SF,SAC,31.654,13.566,22.61
"De'Aaron Fox",3900,SAC,PG,CHA,22.4064,8.7136,15.56
"Garrett Temple",4500,SAC,SG,CHA,25.6932,7.2468,16.47
"Marvin Williams",3700,CHA,PF,SAC,25.98,8.66,17.32
"Justin Jackson",3500,SAC,SF,CHA,7.7904,3.0296,5.41
"Kosta Koufos",3500,SAC,C,CHA,24.7779,6.0021,15.39
"George Hill",4700,SAC,PG,CHA,36.4176,8.5424,22.48
"Jeremy Lamb",5600,CHA,SG,SAC,37.5082,7.4118,22.46
"Johnny O'Bryant",3500,CHA,PF,SAC,13.8816,5.3984,9.64
"Miles Plumlee",3800,ATL,C,PHO,27.0987,3.5213,15.31
"Mike Muscala",3700,ATL,C,PHO,13.4736,2.5664,8.02
"Malcolm Delaney",3500,ATL,PG,PHO,21.3015,4.5185,12.91
"Marquese Chriss",5300,PHO,PF,ATL,40.7994,10.5206,25.66
"Alex Len",5000,PHO,C,ATL,38.471,11.169,24.82
"Isaiah Taylor",3500,ATL,PG,PHO,17.3376,3.3024,10.32
"Dragan Bender",3500,PHO,PF,ATL,21.3993,2.7807,12.09
"Kemba Walker",8000,CHA,PG,SAC,44.85,24.15,34.5
"Buddy Hield",4700,SAC,SG,CHA,30.42,8.58,19.5
"Zach Randolph",5100,SAC,PF,CHA,37.9503,12.9897,25.47
"Tyson Chandler",4500,PHO,C,ATL,31.6131,6.2469,18.93
"Nicolas Batum",6400,CHA,SG,SAC,36.0566,15.8234,25.94
"Malachi Richardson",3500,SAC,SG,CHA,10.1552,1.3848,5.77
"Jarell Martin",4200,MEM,PF,LAC,27.789,3.611,15.7
"Dillon Brooks",3500,MEM,SF,LAC,19.6416,7.6384,13.64
"Jawun Evans",3600,LAC,PG,MEM,9.8784,3.8416,6.86
"Milos Teodosic",5700,LAC,PG,MEM,35.0352,13.6248,24.33
"Kobi Simmons",3600,MEM,SG,LAC,16.5744,6.4456,11.51
"C.J. Williams",3500,LAC,SG,MEM,15.9696,6.2104,11.09
"Andrew Harrison",3800,MEM,PG,LAC,31.2417,5.2983,18.27
"Sam Dekker",3500,LAC,SF,MEM,13.4152,2.9448,8.18
"Wesley Johnson",3500,LAC,SF,MEM,16.3371,2.1229,9.23
"James Ennis",3800,MEM,SF,LAC,13.158,2.322,7.74
"DeAndre Jordan",7500,LAC,C,MEM,42.8208,22.0592,32.44
"Mario Chalmers",3500,MEM,PG,LAC,13.5648,5.2752,9.42
"Brandan Wright",3500,MEM,C,LAC,15.008,3.752,9.38
"Ben McLemore",3500,MEM,SG,LAC,13.8237,1.7963,7.81
