name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,fl_inc/$
Giannis Antetokounmpo,11700,MIL,SF,ORL,63.0112,53.8557,45.6288,38.999,54.32,46.4274,39.4544
DeMarcus Cousins,11600,NOP,C,MEM,70.3314,60.6305,44.0286,37.9557,57.18,49.2931,40.93413333
Russell Westbrook,11100,OKC,PG,MIN,65.712,59.2,43.808,39.4667,54.76,49.3333,32.18782609
Kevin Durant,10900,GSW,SF,LAC,63.1113,57.9003,39.5087,36.2465,51.31,47.0734,35.03089552
Chris Paul,10300,HOU,PG,POR,60.3631,58.605,34.6969,33.6863,47.53,46.1456,14.98763158
Andre Drummond,9300,DET,C,BKN,55.8684,60.0735,32.8116,35.2813,44.34,47.6774,37.46846154
John Wall,9500,WAS,PG,UTA,52.4875,55.25,31.4925,33.15,41.99,44.2,8.303
Draymond Green,8500,GSW,PF,LAC,56.8632,66.8979,31.2968,36.8198,44.08,51.8588,37.39916667
Karl-Anthony Towns,9600,MIN,C,OKC,55.5904,57.9067,31.2696,32.5725,43.43,45.2396,32.62109091
Damian Lillard,8200,POR,PG,HOU,48.251,58.8427,30.849,37.6207,39.55,48.2317,10.86705882
Victor Oladipo,9600,IND,SG,MIA,56.446,58.7979,30.394,31.6604,43.42,45.2292,26.6845
Jimmy Butler,9700,MIN,SF,OKC,51.7356,53.3357,30.3844,31.3241,41.06,42.3299,26.08436364
Dennis Schroder,7300,ATL,PG,DEN,47.6133,65.2237,29.8067,40.8311,38.71,53.0274,10.06375
Goran Dragic,6500,MIA,PG,IND,51.5584,79.3206,29.0016,44.6178,40.28,61.9692,#DIV/0!
Marc Gasol,8200,MEM,C,NOP,47.775,58.2622,28.665,34.9573,38.22,46.6098,37.40731707
Kemba Walker,8400,CHA,PG,DAL,47.2875,56.2946,28.3725,33.7768,37.83,45.0357,
Tyreke Evans,8300,MEM,SG,NOP,54.516,65.6819,28.084,33.8361,41.3,49.759,30.97703704
Nikola Jokic,9400,DEN,C,ATL,56.8562,60.4853,28.0038,29.7913,42.43,45.1383,27.69018868
Hassan Whiteside,7600,MIA,C,IND,53.0005,69.7375,26.6995,35.1309,39.85,52.4342,38.20428571
Kristaps Porzingis,9500,NYK,PF,CHI,56.8413,59.8329,26.1387,27.5144,41.49,43.6737,22.05775862
Paul George,7900,OKC,SF,MIN,48.347,61.1987,26.033,32.9532,37.19,47.0759,27.01351351
DeAndre Jordan,8000,LAC,C,GSW,48.347,60.4338,26.033,32.5412,37.19,46.4875,32.57692308
Jrue Holiday,7100,NOP,SG,MEM,48.269,67.9845,25.991,36.607,37.13,52.2958,41.80533333
Clint Capela,7700,HOU,C,POR,46.1691,59.9599,25.4109,33.0012,35.79,46.4805,33.56361111
Lou Williams,7900,LAC,SG,GSW,54.7178,69.263,25.1622,31.8509,39.94,50.557,23.66086957
Kris Dunn,7900,CHI,PG,NYK,54.1972,68.6041,24.9228,31.5478,39.56,50.0759,
Khris Middleton,8000,MIL,SG,ORL,48.6913,60.8641,24.5287,30.6609,36.61,45.7625,20.03541667
C.J. McCollum,7500,POR,SG,HOU,40.875,54.5,24.525,32.7,32.7,43.6,25.28842105
