name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$
Alex Len,3500,PHO,C,IND,28.1488,8.04251,10.4112,2.97463,19.28,5.50857
Dragan Bender,4100,PHO,PF,IND,31.6356,7.716,6.9444,1.69376,19.29,4.70488
Tyler Ulis,4400,PHO,PG,IND,27.2244,6.18736,9.8156,2.23082,18.52,4.20909
Troy Daniels,3500,PHO,SG,IND,16.8258,4.80737,2.5142,0.718343,9.67,2.76286
Jared Dudley,3500,PHO,PF,IND,13.86,3.96,1.54,0.44,7.7,2.2
Damian Lillard,9000,POR,PG,MIN,48.2754,5.36393,30.8646,3.4294,39.57,4.39667
Davon Reed,3500,PHO,SG,IND,9.516,2.71886,6.344,1.81257,7.93,2.26571
Isaiah Canaan,3600,PHO,PG,IND,32.3972,8.99922,11.3828,3.16189,21.89,6.08056
Josh Jackson,4200,PHO,SF,IND,41.3624,9.84819,14.1576,3.37086,27.76,6.60952
Tyson Chandler,4800,PHO,C,IND,33.1432,6.90483,15.5968,3.24933,24.37,5.07708
Cory Joseph,4100,IND,PG,PHO,21.2784,5.18985,8.4816,2.06868,14.88,3.62927
Bojan Bogdanovic,4200,IND,SF,PHO,27.86,6.63333,11.94,2.84286,19.9,4.73810
Domantas Sabonis,6800,IND,PF,PHO,37.9114,5.57521,19.9686,2.93656,28.94,4.25588
TJ Leaf,3500,IND,PF,PHO,6.894,1.96971,0.766,0.218857,3.83,1.09429
Lance Stephenson,4900,IND,SF,PHO,38.482,7.85347,15.718,3.20776,27.1,5.53061
Devin Booker,8000,PHO,SG,IND,52.6548,6.58185,27.1252,3.39065,39.89,4.98625
Al Jefferson,3700,IND,C,PHO,25.5354,6.90146,6.5846,1.77962,16.06,4.34054
C.J. McCollum,7900,POR,SG,MIN,37.4125,4.73576,22.4475,2.84146,29.93,3.78861
Evan Turner,4100,POR,SF,MIN,27.9648,6.82068,10.8752,2.65249,19.42,4.73659
Taj Gibson,5800,MIN,PF,POR,34.1145,5.88181,17.1855,2.96302,25.65,4.42241
Jeff Teague,5500,MIN,PG,POR,33.3963,6.07205,16.8237,3.05885,25.11,4.56545
Andrew Wiggins,6200,MIN,SG,POR,35.9007,5.79044,19.7593,3.18698,27.83,4.48871
Jamal Crawford,3600,MIN,SG,POR,19.6765,5.46569,7.4635,2.07319,13.57,3.76944
Tyus Jones,3700,MIN,PG,POR,18.8916,5.10584,2.9484,0.796865,10.92,2.95135
Gorgui Dieng,3800,MIN,PF,POR,30.1104,7.92379,9.2496,2.43411,19.68,5.17895
Nemanja Bjelica,3500,MIN,SF,POR,13.2676,3.79074,2.9124,0.832114,8.09,2.31143
Karl-Anthony Towns,9400,MIN,C,POR,58.7648,6.25157,33.0552,3.51651,45.91,4.88404
Jimmy Butler,9200,MIN,SF,POR,53.8099,5.84890,30.9301,3.36197,42.37,4.60543
Pat Connaughton,3500,POR,SG,MIN,12.6246,3.60703,3.2554,0.930114,7.94,2.26857
Maurice Harkless,3500,POR,SF,MIN,8.2305,2.35157,2.3895,0.682714,5.31,1.51714
Jusuf Nurkic,6700,POR,C,MIN,43.1456,6.43964,18.9344,2.82603,31.04,4.63284
Ed Davis,3500,POR,PF,MIN,27.599,7.88543,11.001,3.14314,19.3,5.51429
Shabazz Napier,4300,POR,PG,MIN,30.9096,7.18828,7.2504,1.68614,19.08,4.43721
Al-Farouq Aminu,5000,POR,PF,MIN,31.6503,6.33006,13.8897,2.77794,22.77,4.554
Zach Collins,3500,POR,C,MIN,17.2398,4.92566,2.2402,0.640057,9.74,2.78286
Darren Collison,5100,IND,PG,PHO,42.434,8.32039,18.186,3.56588,30.31,5.94314
Thaddeus Young,5900,IND,PF,PHO,44.0097,7.45927,22.1703,3.75768,33.09,5.60847
James Johnson,5700,MIA,PF,MIL,37.4245,6.56570,14.1955,2.49044,25.81,4.52807
Goran Dragic,6500,MIA,PG,MIL,44.2083,6.80128,24.3317,3.74334,34.27,5.27231
Josh Richardson,5600,MIA,SF,MIL,37.1371,6.63162,14.8029,2.64338,25.97,4.6375
