name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,,40700,
Russell Westbrook,12000,OKC,PG,LAL,65.926,5.49383,44.874,3.7395,55.4,4.61667,0,44.22917647,85.79142857
Giannis Antetokounmpo,11600,MIL,SF,MIA,62.422,5.38121,43.378,3.73948,52.9,4.56034,0,44.29644068,
DeMarcus Cousins,11900,NOP,C,ATL,64.9194,5.45541,40.6406,3.41518,52.78,4.43529,0,38.60380952,
Stephen Curry,9800,GSW,PG,CHI,55.2624,5.63902,40.0176,4.08343,47.64,4.86122,0,51.96571429,
Kevin Durant,10600,GSW,SF,CHI,59.0602,5.57172,37.7598,3.56225,48.41,4.56698,0,41.87081633,
Anthony Davis,11700,NOP,PF,ATL,67.353,5.75667,36.267,3.09974,51.81,4.42821,0,31.90230769,
John Wall,10100,WAS,PG,CHA,58.0356,5.7461,34.0844,3.37469,46.06,4.5604,0,40.61393939,
Blake Griffin,8700,LAC,PF,DEN,50.8974,5.85028,31.8626,3.66237,41.38,4.75632,0,42.66541667,
Andre Drummond,10100,DET,C,TOR,55.245,5.4698,31.755,3.14406,43.5,4.30693,0,35.66909091,
LaMarcus Aldridge,8700,SAS,PF,BKN,51.6125,5.93247,30.9675,3.55948,41.29,4.74598,0,40.800625,
Dennis Schroder,7800,ATL,PG,NOP,46.7769,5.99704,29.2831,3.75424,38.03,4.87564,0,51.17186047,
Nikola Jokic,9600,DEN,C,LAC,57.7752,6.01825,29.1048,3.03175,43.44,4.525,0,34.24819672,
DeMar DeRozan,9100,TOR,SG,DET,52.2063,5.73696,28.7337,3.15755,40.47,4.44725,0,30.7616,
Kemba Walker,7900,CHA,PG,WAS,48.6537,6.1587,27.9663,3.54004,38.31,4.84937,0,47.01613636,
Paul George,8300,OKC,SF,LAL,50.609,6.09747,27.251,3.28325,38.93,4.69036,0,38.49192308,
Kyle Lowry,8000,TOR,PG,DET,48.6459,6.08074,26.7741,3.34676,37.71,4.71375,0,43.322,
Bradley Beal,8300,WAS,SG,CHA,50.688,6.10699,26.112,3.14602,38.4,4.62651,0,30.37880952,
