name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out
Mason Plumlee,4700,DEN,C,PHO,36.792,7.82809,13.608,2.89532,25.2,5.36170,0
Malik Beasley,3500,DEN,SG,PHO,11.3811,3.25174,1.4789,0.422543,6.43,1.83714,0
Richard Jefferson,3500,DEN,SF,PHO,1.944,0.555429,0.216,0.0617143,1.08,0.308571,0
Trey Lyles,5400,DEN,PF,PHO,37.9516,7.02807,10.0884,1.86822,24.02,4.44815,0
Will Barton,7700,DEN,SG,PHO,47.4368,6.16062,22.3232,2.89912,34.88,4.52987,0
Nikola Jokic,10000,DEN,C,PHO,63.4942,6.34942,31.9858,3.19858,47.74,4.774,0
Wilson Chandler,5000,DEN,SF,PHO,31.2315,6.2463,13.0685,2.6137,22.15,4.43,0
Gary Harris,7100,DEN,SG,PHO,41.6541,5.86677,22.9259,3.229,32.29,4.54789,0
Kenneth Faried,3500,DEN,PF,PHO,9.3456,2.67017,1.2144,0.346971,5.28,1.50857,0
Emmanuel Mudiay,3600,DEN,PG,PHO,8.9487,2.48575,2.0313,0.56425,5.49,1.525,0
Frank Ntilikina,3500,NYK,PG,UTA,25.42,7.26286,5.58,1.59429,15.5,4.42857,0
Enes Kanter,6100,NYK,C,UTA,36.0264,5.90597,16.9536,2.77928,26.49,4.34262,0
Doug McDermott,3500,NYK,SF,UTA,5.7368,1.63909,2.3432,0.669486,4.04,1.15429,0
Courtney Lee,5000,NYK,SG,UTA,29.7212,5.94424,14.6388,2.92776,22.18,4.436,0
Tim Hardaway Jr.,5600,NYK,SG,UTA,36.424,6.50429,13.816,2.46714,25.12,4.48571,0
Jamal Murray,6200,DEN,PG,PHO,37.965,6.12339,12.655,2.04113,25.31,4.08226,0
Kristaps Porzingis,9400,NYK,PF,UTA,52.3935,5.57378,25.2265,2.68367,38.81,4.12872,0
Isaiah Canaan,3700,PHO,PG,DEN,28.043,7.57919,10.637,2.87486,19.34,5.22703,0
Jared Dudley,3500,PHO,PF,DEN,4.95,1.41429,0.55,0.157143,2.75,0.785714,0
Jarell Martin,4300,MEM,PF,SAC,27.552,6.40744,6.048,1.40651,16.8,3.90698,0
Wayne Selden,3500,MEM,SG,SAC,16.92,4.83429,1.88,0.537143,9.4,2.68571,0
Deyonta Davis ,3500,MEM,C,SAC,20.06,5.73143,3.54,1.01143,11.8,3.37143,0
Andrew Harrison,4700,MEM,PG,SAC,29.5792,6.29345,9.3408,1.98740,19.46,4.14043,0
Mario Chalmers,3900,MEM,PG,SAC,28.1792,7.22544,9.9008,2.53867,19.04,4.88205,0
Tyreke Evans,8800,MEM,SG,SAC,50.3316,5.7195,25.9284,2.94641,38.13,4.33295,0
JaMychal Green,5200,MEM,PF,SAC,34.8491,6.70175,13.8909,2.67133,24.37,4.68654,0
Dillon Brooks,3900,MEM,SF,SAC,26.3466,6.75554,8.0934,2.07523,17.22,4.41538,0
Ben McLemore,3500,MEM,SG,SAC,12.656,3.616,3.164,0.904,7.91,2.26,0
Devin Booker,8500,PHO,SG,DEN,53.5196,6.29642,26.3604,3.10122,39.94,4.69882,0
Dragan Bender,4500,PHO,PF,DEN,39.105,8.69,8.295,1.84333,23.7,5.26667,0
Alex Len,4000,PHO,C,DEN,24.4035,6.10088,9.2565,2.31412,16.83,4.2075,0
Troy Daniels,3600,PHO,SG,DEN,22.8932,6.35922,3.7268,1.03522,13.31,3.69722,0
Tyler Ulis,4300,PHO,PG,DEN,24.601,5.72116,9.099,2.11605,16.85,3.91860,0
Josh Jackson,4800,PHO,SF,DEN,27.7056,5.772,9.7344,2.028,18.72,3.9,0
TJ Warren,6700,PHO,SF,DEN,44.7031,6.67210,20.5569,3.06819,32.63,4.87015,0
Tyson Chandler,4400,PHO,C,DEN,28.1112,6.38891,13.2288,3.00655,20.67,4.69773,0
Lance Thomas,3500,NYK,SF,UTA,14.5044,4.14411,4.4556,1.27303,9.48,2.70857,0
Kyle O'Quinn,3900,NYK,C,UTA,26.061,6.68231,9.639,2.47154,17.85,4.57692,0
Joseph Young,3500,IND,PG,LAL,11.214,3.204,1.246,0.356,6.23,1.78,0
Kyle Kuzma,5900,LAL,PF,IND,32.4704,5.50346,14.2496,2.41519,23.36,3.95932,0
Julius Randle,6600,LAL,C,IND,43.2985,6.56038,19.0015,2.87902,31.15,4.71970,0
Al Jefferson,4000,IND,C,LAL,27.404,6.851,7.956,1.989,17.68,4.42,0
Lance Stephenson,4900,IND,SF,LAL,30.745,6.27449,12.255,2.50102,21.5,4.38776,0
Bojan Bogdanovic,4200,IND,SF,LAL,26.964,6.42,11.556,2.75143,19.26,4.58571,0
Cory Joseph,4300,IND,PG,LAL,28.4141,6.60793,11.3259,2.63393,19.87,4.62093,0
TJ Leaf,3500,IND,PF,LAL,11.016,3.14743,1.224,0.349714,6.12,1.74857,0
Brandon Ingram,6300,LAL,SF,IND,43.4294,6.89356,21.3906,3.39533,32.41,5.14444,0
Larry Nance,4900,LAL,PF,IND,26.5362,5.41555,11.1038,2.26608,18.82,3.84082,0
Corey Brewer,3500,LAL,SF,IND,9.846,2.81314,1.094,0.312571,5.47,1.56286,0
Alex Caruso,3500,LAL,SG,IND,15.283,4.36657,2.697,0.770571,8.99,2.56857,0
Gary Payton,3500,LAL,PG,IND,13.86,3.96,1.54,0.44,7.7,2.2,0
