name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,59900,45.56666667
Giannis Antetokounmpo,11600,MIL,SF,PHI,60.5234,5.21753,41.1966,3.55143,50.86,4.38448,0,36.4242,,
Kyrie Irving,9000,BOS,PG,DEN,48.516,5.39067,32.344,3.59378,40.43,4.49222,1,,,
Victor Oladipo,9300,IND,SG,CHA,56.7296,6.09996,31.9104,3.43123,44.32,4.76559,0,35.85763158,,
Jimmy Butler,9400,MIN,SF,ATL,53.0964,5.64855,31.1836,3.3174,42.14,4.48298,0,29.2825,,
Ben Simmons,8500,PHI,PF,MIL,55.2378,6.49856,30.4022,3.57673,42.82,5.03765,0,33.725,,
Marc Gasol,7900,MEM,C,PHO,51.534,6.52329,30.266,3.83114,40.9,5.17722,1,,,
Karl-Anthony Towns,9800,MIN,C,ATL,53.056,5.41388,29.844,3.04531,41.45,4.22959,0,,,
Nikola Jokic,9700,DEN,C,BOS,57.354,5.91278,29.546,3.04598,43.45,4.47938,0,,,
Kemba Walker,8500,CHA,PG,IND,50.1102,5.89532,29.4298,3.46233,39.77,4.67882,0,37.42916667,,
Tyreke Evans,8200,MEM,SG,PHO,54.714,6.67244,28.186,3.43732,41.45,5.05488,0,36.67222222,,
Dwight Howard,10100,CHA,C,IND,56.5352,5.59754,26.6048,2.63414,41.57,4.11584,0,,,
Dennis Schroder,7300,ATL,PG,MIN,44.1252,6.04455,25.9148,3.54997,35.02,4.79726,1,45.56666667,,
Al Horford,7100,BOS,C,DEN,40.9467,5.76714,25.6333,3.61032,33.29,4.68873,0,,,
Khris Middleton,7500,MIL,SG,PHI,48.1404,6.41872,24.7996,3.30661,36.47,4.86267,0,32.5755,,
TJ Warren,6600,PHO,SF,MEM,53.4437,8.09753,24.5763,3.72368,39.01,5.91061,1,,,
Hassan Whiteside,7900,MIA,C,DAL,48.2923,6.11295,24.3277,3.07946,36.31,4.5962,0,,,
Harrison Barnes,6600,DAL,SF,MIA,36.7155,5.56295,22.9845,3.4825,29.85,4.52273,1,,,
Eric Bledsoe,7000,MIL,PG,PHI,45.4461,6.4923,22.8939,3.27056,34.17,4.88143,0,27.19,,
Andrew Wiggins,6500,MIN,SG,ATL,39.936,6.144,22.464,3.456,31.2,4.8,1,,,
Gary Harris,7100,DEN,SG,BOS,40.0545,5.64148,22.0455,3.105,31.05,4.37324,0,23.50625,,
Goran Dragic,6800,MIA,PG,DAL,40.69,5.98382,21.91,3.22206,31.3,4.60294,0,20.90285714,,
Dennis Smith Jr.,6400,DAL,PG,MIA,42.6531,6.66455,21.4869,3.35733,32.07,5.01094,0,34.67,,
Jeff Teague,6100,MIN,PG,ATL,41.5132,6.80544,20.4468,3.35193,30.98,5.07869,0,,,
Domantas Sabonis,6500,IND,PF,CHA,37.791,5.814,20.349,3.13062,29.07,4.47231,0,15.34611111,,
Dario Saric,6700,PHI,PF,MIL,43.0848,6.43057,20.2752,3.02615,31.68,4.72836,0,13.4425,,
Taj Gibson,5800,MIN,PF,ATL,38.5572,6.64779,19.8628,3.42462,29.21,5.03621,1,,,
Will Barton,6300,DEN,SG,BOS,41.3848,6.56902,19.4752,3.0913,30.43,4.83016,0,14.88375,,
Robert Covington,6300,PHI,SF,MIL,41.0178,6.51076,18.8622,2.994,29.94,4.75238,0,,,
Jaylen Brown,5500,BOS,SF,DEN,33.798,6.14509,18.602,3.38218,26.2,4.76364,0,,,
Thaddeus Young,6500,IND,PF,CHA,36.7612,5.65557,18.5188,2.84905,27.64,4.25231,0,5.178333333,,
Nicolas Batum,5500,CHA,SG,IND,37.9755,6.90464,18.2845,3.32445,28.13,5.11455,1,,,
Malcolm Brogdon,5600,MIL,SG,PHI,36.2558,6.47425,18.2642,3.26146,27.26,4.86786,0,,,
Marcus Morris,4700,BOS,PF,DEN,31.9533,6.79857,17.5867,3.74185,24.77,5.27021,1,,,
Josh Richardson,6500,MIA,SF,DAL,39.2,6.03077,16.8,2.58462,28,4.30769,0,,,
Kent Bazemore,5500,ATL,SG,MIN,37.0713,6.74024,16.2687,2.95795,26.67,4.84909,0,,,
Jayson Tatum,5400,BOS,PF,DEN,34.3944,6.36933,16.1856,2.99733,25.29,4.68333,0,,,
Darren Collison,5500,IND,PG,CHA,36.3624,6.61135,15.9576,2.90138,26.16,4.75636,0,,,
Jamal Murray,6500,DEN,PG,BOS,44.548,6.85354,15.652,2.408,30.1,4.63077,0,,,
Taurean Prince,4800,ATL,SF,MIN,35.9832,7.4965,15.0568,3.13683,25.52,5.31667,0,,,
John Henson,5500,MIL,PF,PHI,34.986,6.36109,14.994,2.72618,24.99,4.54364,0,,,
James Johnson,5300,MIA,PF,DAL,37.466,7.06906,14.934,2.81774,26.2,4.9434,0,,,
Myles Turner,5500,IND,C,CHA,31.9347,5.80631,14.6853,2.67005,23.31,4.23818,0,,,
Tyler Johnson,5100,MIA,PG,DAL,34.076,6.68157,14.604,2.86353,24.34,4.77255,0,,,
Dewayne Dedmon,4800,ATL,C,MIN,33.712,7.02333,14.448,3.01,24.08,5.01667,0,,,
Dirk Nowitzki,4800,DAL,PF,MIA,27.8784,5.808,14.3616,2.992,21.12,4.4,0,,,
Wesley Matthews,5000,DAL,SG,MIA,33.46,6.692,14.34,2.868,23.9,4.78,0,,,
Isaiah Canaan,3700,PHO,PG,MEM,36.4464,9.85038,14.1736,3.8307,25.31,6.84054,0,,,
John Collins,5000,ATL,PF,MIN,27.8901,5.57802,14.0499,2.80998,20.97,4.194,0,,,
Greg Monroe,4500,PHO,C,MEM,42.3102,9.40227,13.7298,3.05107,28.02,6.22667,0,,,
Mason Plumlee,5500,DEN,C,BOS,34.075,6.19545,12.925,2.35,23.5,4.27273,0,,,
Jeremy Lamb,4200,CHA,SG,IND,27.0232,6.4341,12.7168,3.02781,19.87,4.73095,0,,,
Ersan Ilyasova,4200,ATL,PF,MIN,30.7572,7.32314,12.5628,2.99114,21.66,5.15714,0,,,
Terry Rozier,4700,BOS,PG,DEN,30.602,6.51106,12.198,2.59532,21.4,4.55319,0,,,
Marvin Williams,4500,CHA,PF,IND,28.8828,6.4184,11.7972,2.6216,20.34,4.52,0,,,
Yogi Ferrell,4400,DAL,PG,MIA,30.24,6.87273,11.76,2.67273,21,4.77273,0,,,
T.J. McConnell,4500,PHI,PG,MIL,35.235,7.83,11.745,2.61,23.49,5.22,0,,,
Michael Kidd-Gilchrist,4900,CHA,SF,IND,29.315,5.98265,11.685,2.38469,20.5,4.18367,0,,,
Kelly Olynyk,4600,MIA,PF,DAL,28.9289,6.28889,11.5311,2.50676,20.23,4.39783,0,,,
Bojan Bogdanovic,4200,IND,SF,CHA,26.2154,6.24176,11.5046,2.73919,18.86,4.49048,0,,,
Josh Jackson,4600,PHO,SF,MEM,32.6192,7.09113,11.4608,2.49148,22.04,4.7913,0,,,
Alex Len,3600,PHO,C,MEM,29.3625,8.15625,11.1375,3.09375,20.25,5.625,0,,,
Wayne Ellington,4500,MIA,SG,DAL,30.5176,6.78169,10.7224,2.38276,20.62,4.58222,0,,,
Lance Stephenson,5200,IND,SF,CHA,28.072,5.39846,10.648,2.04769,19.36,3.72308,0,,,
Cory Joseph,4300,IND,PG,CHA,26.5122,6.16563,10.5678,2.45763,18.54,4.31163,0,,,
Wilson Chandler,4300,DEN,SF,BOS,26.0117,6.04923,10.3683,2.41123,18.19,4.23023,0,,,
Trey Lyles,6100,DEN,PF,BOS,34.7045,5.68926,10.0755,1.65172,22.39,3.67049,0,,,
Jarell Martin,5200,MEM,PF,PHO,39.808,7.65538,9.952,1.91385,24.88,4.78462,0,,,
Dillon Brooks,4300,MEM,SF,PHO,30.2,7.02326,9.8,2.27907,20,4.65116,0,,,
Frank Kaminsky,4100,CHA,PF,IND,26.0318,6.34922,9.6282,2.34834,17.83,4.34878,0,,,
Andrew Harrison,4200,MEM,PG,PHO,26.505,6.31071,8.835,2.10357,17.67,4.20714,0,,,
Dwight Powell,3600,DAL,PF,MIA,23.0695,6.40819,8.7505,2.43069,15.91,4.41944,0,,,
Justise Winslow,4300,MIA,SF,DAL,20.328,4.72744,8.712,2.02605,14.52,3.37674,0,,,
Marco Belinelli,3500,ATL,SG,MIN,23.1702,6.62006,8.5698,2.44851,15.87,4.53429,0,,,
Amir Johnson,3500,PHI,PF,MIL,26.904,7.68686,8.496,2.42743,17.7,5.05714,0,,,
Jamal Crawford,3800,MIN,SG,ATL,22.2575,5.85724,8.4425,2.22171,15.35,4.03947,0,,,
Timothe Luwawu-Cabarrot,4000,PHI,SG,MIL,31.6632,7.9158,8.4168,2.1042,20.04,5.01,0,,,
Devin Harris,3600,DAL,SG,MIA,23.4526,6.51461,8.0274,2.22983,15.74,4.37222,0,,,
Tyler Ulis,3600,PHO,PG,MEM,23.19,6.44167,7.73,2.14722,15.46,4.29444,0,,,
Mario Chalmers,3600,MEM,PG,PHO,21.9328,6.09244,7.5072,2.08533,14.72,4.08889,0,,,
Bam Adebayo,4000,MIA,C,DAL,26.86,6.715,7.14,1.785,17,4.25,0,,,
Tony Snell,4000,MIL,SG,PHI,20.0244,5.0061,7.0356,1.7589,13.53,3.3825,0,,,
Gorgui Dieng,3800,MIN,PF,ATL,20.4303,5.37639,6.6297,1.74466,13.53,3.56053,0,,,
Aron Baynes,3500,BOS,C,DEN,19.605,5.60143,6.535,1.86714,13.07,3.73429,0,,,
Malcolm Delaney,3600,ATL,PG,MIN,19.9728,5.548,6.3072,1.752,13.14,3.65,0,,,
Dragan Bender,3600,PHO,PF,MEM,28.6836,7.96767,6.2964,1.749,17.49,4.85833,0,,,
Troy Daniels,3600,PHO,SG,MEM,33.0564,9.18233,6.0636,1.68433,19.56,5.43333,0,,,
Myke Henry,3800,MEM,SG,PHO,27.951,7.35553,5.929,1.56026,16.94,4.45789,0,,,
Justin Anderson,3600,PHI,SF,MIL,21.7512,6.042,5.6088,1.558,13.68,3.8,0,,,
Michael Carter-Williams,3500,CHA,PG,IND,16.3453,4.67009,5.5947,1.59849,10.97,3.13429,0,,,
Thon Maker,3500,MIL,C,PHI,18.1611,5.18889,5.5789,1.59397,11.87,3.39143,0,,,
Mike Muscala,3500,ATL,C,MIN,19.6872,5.62491,5.5528,1.58651,12.62,3.60571,0,,,
Trevor Booker,3600,PHI,PF,MIL,19.434,5.39833,5.166,1.435,12.3,3.41667,0,,,
Ivan Rabb,3500,MEM,PF,PHO,29.8737,8.53534,5.0663,1.44751,17.47,4.99143,0,,,
Salah Mejri,3600,DAL,C,MIA,21.4974,5.9715,5.0426,1.40072,13.27,3.68611,0,,,
Richaun Holmes,4000,PHI,C,MIL,25.0166,6.25415,4.9434,1.23585,14.98,3.745,0,,,
Sterling Brown,3500,MIL,SG,PHI,18.8097,5.3742,4.8503,1.3858,11.83,3.38,0,,,
Matthew Dellavedova,3500,MIL,PG,PHI,13.9675,3.99071,4.5325,1.295,9.25,2.64286,0,,,
Daniel Theis,3600,BOS,PF,DEN,20.5,5.69444,4.5,1.25,12.5,3.47222,0,,,
Miles Plumlee,3500,ATL,C,MIN,13.29,3.79714,4.43,1.26571,8.86,2.53143,0,,,
Tyus Jones,3800,MIN,PG,ATL,21.573,5.67711,3.807,1.00184,12.69,3.33947,0,,,
Kyle Collinsworth,3500,DAL,SG,MIA,15.7136,4.4896,3.8064,1.08754,9.76,2.78857,0,,,
Deyonta Davis ,3500,MEM,C,PHO,17.556,5.016,3.724,1.064,10.64,3.04,0,,,
Nemanja Bjelica,3700,MIN,SF,ATL,17.5851,4.75273,3.4749,0.939162,10.53,2.84595,0,,,
Treveon Graham,3500,CHA,SG,IND,10.125,2.89286,3.375,0.964286,6.75,1.92857,0,,,
Maxi Kleber,4100,DAL,PF,MIA,18.9486,4.62161,2.8314,0.690585,10.89,2.6561,0,,,
Al Jefferson,3600,IND,C,CHA,8.205,2.27917,2.735,0.759722,5.47,1.51944,0,,,
Johnny O'Bryant,3500,CHA,PF,IND,17.2608,4.93166,2.5792,0.736914,9.92,2.83429,0,,,
Wayne Selden,3500,MEM,SG,PHO,21.024,6.00686,2.336,0.667429,11.68,3.33714,0,,,
Shane Larkin,3500,BOS,PG,DEN,19.53,5.58,2.17,0.62,10.85,3.1,0,,,
James Young,3500,PHI,SG,MIL,3.228,0.922286,2.152,0.614857,2.69,0.768571,0,,,
Emmanuel Mudiay,3500,DEN,PG,BOS,10.7548,3.0728,2.1252,0.6072,6.44,1.84,0,,,
Tyler Dorsey,3600,ATL,PG,MIN,19.008,5.28,2.112,0.586667,10.56,2.93333,0,,,
Jared Dudley,3500,PHO,PF,MEM,18.054,5.15829,2.006,0.573143,10.03,2.86571,0,,,
Torrey Craig,3500,DEN,SF,BOS,12.7248,3.63566,1.7352,0.495771,7.23,2.06571,0,,,
Semi Ojeleye,3500,BOS,SF,DEN,6.9452,1.98434,0.8148,0.2328,3.88,1.10857,0,,,
Joseph Young,3500,IND,PG,CHA,7.092,2.02629,0.788,0.225143,3.94,1.12571,0,,,
TJ Leaf,3500,IND,PF,CHA,4.356,1.24457,0.484,0.138286,2.42,0.691429,0,,,
Marcus Georges-Hunt,3500,MIN,SG,ATL,2.61,0.745714,0.29,0.0828571,1.45,0.414286,0,,,
