name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
LeBron James,11500,CLE,SF,BKN,727756,63283,446044,38786,586900,51034,0,=(h2-$h$65)/(b2-$b$65)
Giannis Antetokounmpo,11000,MIL,SF,WAS,605280,55025,403519,36683,504400,45854,0,=(h3-$h$65)/(b3-$b$65)
Nikola Jokic,10200,DEN,C,LAC,643368,63075,331432,32493,487400,47784,1
Joel Embiid,10200,PHI,C,MIA,590296,57872,339304,33265,464799,45568,0
Damian Lillard,10000,POR,PG,SAC,561003,56100,351197,35119,456100,45610,0,=(h6-$h$30)/(b6-$b$30)
Kemba Walker,9000,CHA,PG,CHI,514836,57204,302364,33596,408600,45400,0,=(h7-$h$30)/(b7-$b$30)
Ben Simmons,9000,PHI,PF,MIA,518287,57587,297913,33101,408100,45344,0,=(h8-$h$40)/(b8-$b$40)
Bradley Beal,8500,WAS,SG,MIL,531960,62583,274040,32240,403000,47411,0,=(h9-$h$51)/(b9-$b$51)
Dwight Howard,8500,CHA,C,CHI,517590,60892,249210,29318,383400,45105,0
Eric Bledsoe,7900,MIL,PG,WAS,515025,65193,247975,31389,381500,48291,0,=(h11-$h$30)/(b11-$b$30)
Lou Williams,7300,LAC,SG,DEN,505240,69211,237760,32569,371500,50890,1
Kris Dunn,6500,CHI,PG,CHA,489364,75286,225036,34620,357200,54953,1
Tobias Harris,7500,LAC,PF,DEN,450339,60045,247861,33048,349099,46546,0,=(h14-$h$40)/(b14-$b$40)
Zach LaVine,7600,CHI,SG,CHA,473960,62363,223039,29347,348500,45855,0,=(h15-$h$51)/(b15-$b$51)
Otto Porter,7200,WAS,SF,MIL,469752,65243,211048,29312,340400,47277,0,=(h16-$h$65)/(b16-$b$65)
Hassan Whiteside,7400,MIA,C,PHI,445924,60260,234876,31740,340400,46000,0
Khris Middleton,7500,MIL,SG,WAS,443435,59124,233565,31142,338500,45133,0,=(h18-$h$51)/(b18-$b$51)
D'Angelo Russell,7200,BKN,SG,CLE,498760,69272,175240,24338,337000,46805,0,=(h19-$h$51)/(b19-$b$51)
DeAndre Jordan,8300,LAC,C,DEN,437840,52751,235760,28404,336800,40578,0
C.J. McCollum,7700,POR,SG,SAC,422856,54916,248344,32252,335600,43584,0,=(h21-$h$51)/(b21-$b$51)
Will Barton,7600,DEN,SG,LAC,442800,58263,213200,28052,328000,43157,0,=(h22-$h$51)/(b22-$b$51)
Spencer Dinwiddie,7200,BKN,PG,CLE,441719,61350,212680,29538,327200,45444,0,=(h23-$h$30)/(b23-$b$30)
Jusuf Nurkic,7300,POR,C,SAC,453880,62175,194520,26646,324200,44410,0
Goran Dragic,6100,MIA,PG,PHI,421610,69116,212390,34818,317000,51967,0,=(h25-$h$30)/(b25-$b$30)
Willie Cauley-Stein,6900,SAC,C,POR,431873,62590,189527,27467,310700,45029,0
Nicolas Batum,7000,CHA,SG,CHI,400660,57237,197340,28191,299000,42714,0,=(h27-$h$51)/(b27-$b$51)
Gary Harris,6700,DEN,SG,LAC,382592,57103,215208,32120,298900,44611,0,=(h28-$h$51)/(b28-$b$51)
Lauri Markkanen,6100,CHI,PF,CHA,385009,63116,202791,33244,293900,48180,1
Austin Rivers,5600,LAC,PG,DEN,398208,71108,187392,33462,292800,52285,1
Jamal Murray,7000,DEN,PG,LAC,428211,61173,154389,22055,291300,41614,0
Bobby Portis,7100,CHI,PF,CHA,401940,56611,172260,24262,287100,40436,0,=(h32-$h$40)/(b32-$b$40)
Dario Saric,6500,PHI,PF,MIA,366016,56310,184384,28366,275200,42338,0,=(h33-$h$40)/(b33-$b$40)
