name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Joel Embiid,11500,PHI,C,WAS,672830,58507,238799,20765,551500,47956,0,=(h2-$h$39)/(b2-$b$39)
Kevin Durant,10300,GSW,SF,NYK,631190,61280,224125,21759,478900,46495,0,=(h3-$h$54)/(b3-$b$54)
Stephen Curry,10400,GSW,PG,NYK,623396,59942,232991,22403,447200,43000,0,=(h4-$h$21)/(b4-$b$21)
Nikola Jokic,10700,DEN,C,MIA,576576,53885,174283,16288,436800,40822,0,=(h5-$h$39)/(b5-$b$39)
Ben Simmons,9500,PHI,PG,WAS,563375,59302,184762,19448,432700,45547,0,=(h6-$h$21)/(b6-$b$21)
Kemba Walker,8900,CHA,PG,LAC,565480,63537,207201,23281,422000,47415,1
Victor Oladipo,9200,IND,SG,CLE,564395,61347,247942,26950,407800,44326,0,=(h8-$h$37)/(b8-$b$37)
Hassan Whiteside,7300,MIA,C,DEN,495810,67919,186519,25550,393500,53904,0,=(h9-$h$39)/(b9-$b$39)
De'Aaron Fox,8200,SAC,PG,PHO,482580,58851,194181,23680,383000,46707,0,=(h10-$h$21)/(b10-$b$21)
Willie Cauley-Stein,7400,SAC,C,PHO,533333,72072,235173,31780,372700,50364,0,=(h11-$h$39)/(b11-$b$39)
Jimmy Butler,7900,PHI,SG,WAS,507967,64299,194092,24568,369700,46797,0,=(h12-$h$37)/(b12-$b$37)
Domantas Sabonis,7100,IND,PF,CLE,537662,75727,272425,38369,359400,50619,0,=(h13-$h$52)/(b13-$b$52)
Draymond Green,7100,GSW,PF,NYK,418912,59001,149168,21009,344500,48521,0,=(h14-$h$52)/(b14-$b$52)
Jamal Murray,7600,DEN,PG,MIA,515591,67840,215107,28303,333500,43881,0,=(h15-$h$21)/(b15-$b$21)
Larry Nance,5800,CLE,PF,IND,485430,83694,187289,32291,330900,57051,1
Josh Richardson,7200,MIA,SF,DEN,474784,65942,188630,26198,320800,44555,0,=(h17-$h$54)/(b17-$b$54)
Justise Winslow,7000,MIA,SF,DEN,489147,69878,179512,25644,316600,45228,0,=(h18-$h$54)/(b18-$b$54)
Buddy Hield,7400,SAC,SG,PHO,474628,64138,210192,28404,308200,41648,0,=(h19-$h$37)/(b19-$b$37)
Paul Millsap,6500,DEN,PF,MIA,431810,66432,192151,29561,302600,46553,0,=(h20-$h$52)/(b20-$b$52)
Emmanuel Mudiay,6100,NYK,PG,GSW,408876,67029,188572,30913,302200,49541,1
Bogdan Bogdanovic,6500,SAC,SG,PHO,462620,71172,252733,38882,289500,44538,0,=(h22-$h$37)/(b22-$b$37)
Klay Thompson,7500,GSW,SG,NYK,370753,49433,166349,22179,288300,38440,0,=(h23-$h$37)/(b23-$b$37)
Tim Hardaway Jr.,6300,NYK,SG,GSW,443834,70449,193944,30784,286900,45539,0,=(h24-$h$37)/(b24-$b$37)
Enes Kanter,6000,NYK,C,GSW,401272,66878,208912,34818,285400,47566,0,=(h25-$h$39)/(b25-$b$39)
Thaddeus Young,6000,IND,PF,CLE,410261,68376,150638,25106,285300,47550,0,=(h26-$h$52)/(b26-$b$52)
Jeremy Lamb,5800,CHA,SG,LAC,369713,63743,162938,28092,275700,47534,0,=(h27-$h$37)/(b27-$b$37)
Tristan Thompson,6200,CLE,C,IND,377574,60899,164365,26510,274400,44258,0,=(h28-$h$39)/(b28-$b$39)
Noah Vonleh,6100,NYK,PF,GSW,382486,62702,182904,29984,273400,44819,0,=(h29-$h$52)/(b29-$b$52)
Marvin Williams,5500,CHA,PF,LAC,455586,82833,228465,41539,269100,48927,0,=(h30-$h$52)/(b30-$b$52)
Monte Morris,3700,DEN,SG,MIA,384215,103842,206885,55914,257000,69459,1
Alec Burks,4500,CLE,SG,IND,422114,93803,254899,56644,254899,56644,0,=(h32-$h$37)/(b32-$b$37)
Kevin Knox,5900,NYK,PF,GSW,297199,50372,93398,15830,253800,43016,0,=(h33-$h$52)/(b33-$b$52)
Darren Collison,5900,IND,PG,CLE,345469,58554,152842,25905,251800,42678,0
Jordan Clarkson,5500,CLE,SG,IND,413755,75228,249100,45290,249100,45290,0,=(h35-$h$37)/(b35-$b$37)
Dwyane Wade,5300,MIA,SG,DEN,346314,65342,161792,30527,244400,46113,0,=(h36-$h$37)/(b36-$b$37)
Malik Beasley,4000,DEN,SG,MIA,420673,105168,239700,59925,239700,59925,1
Bojan Bogdanovic,5500,IND,SF,CLE,371374,67522,188653,34300,237300,43145,0,=(h38-$h$54)/(b38-$b$54)
Kyle O'Quinn,3500,IND,C,CLE,390145,111470,197645,56470,233900,66828,1
Nemanja Bjelica,6100,SAC,SF,PHO,378645,62073,151963,24912,229899,37688,0,=(h40-$h$54)/(b40-$b$54)
Cedi Osman,4900,CLE,SF,IND,296203,60449,102233,20864,228200,46571,0,=(h41-$h$54)/(b41-$b$54)
Furkan Korkmaz,3800,PHI,SG,WAS,441422,116164,224300,59026,224300,59026,0
Nicolas Batum,4800,CHA,SF,LAC,311413,64877,160751,33489,224200,46708,1
Willy Hernangomez,5100,CHA,C,LAC,398057,78050,212986,41762,219800,43098,0
Kevon Looney,4600,GSW,C,NYK,312018,67830,139403,30305,218500,47500,0
Collin Sexton,5300,CLE,PG,IND,247928,46778,67301,12698,217100,40962,0
James Johnson,5000,MIA,PF,DEN,276562,55312,107738,21547,209200,41840,0,=(h47-$h$52)/(b47-$b$52)
Bismack Biyombo,4000,CHA,C,LAC,302548,75637,142898,35724,206800,51700,0
Bam Adebayo,4400,MIA,PF,DEN,294885,67019,178504,40569,201700,45840,0,=(h49-$h$52)/(b49-$b$52)
T.J. McConnell,4700,PHI,PG,WAS,325470,69249,167901,35723,198700,42276,0
Juan Hernangomez,4800,DEN,SF,MIA,334620,69712,131007,27293,197300,41104,0,=(h51-$h$54)/(b51-$b$54)
Jonas Jerebko,3600,GSW,PF,NYK,340399,94555,143215,39782,190700,52972,1
Torrey Craig,4100,DEN,SG,MIA,288417,70345,172021,41956,190500,46463,0
Wilson Chandler,4000,PHI,SF,WAS,286751,71688,128413,32103,189400,47350,1
Cory Joseph,4200,IND,PG,CLE,332032,79055,143300,34119,189300,45071,0
Andre Iguodala,4300,GSW,SG,NYK,281200,65395,108780,25297,185000,43023,0
Tyreke Evans,4600,IND,SF,CLE,245526,53375,105639,22965,181200,39391,0
Luke Kornet,5200,NYK,PF,GSW,270817,52080,111729,21486,175400,33730,0
