team,team_roster_site
Chicago Blackhawks,http://www.espn.com/nhl/teams/roster?team=chi
Colorado Avalanche,http://www.espn.com/nhl/teams/roster?team=col
Dallas Stars,http://www.espn.com/nhl/teams/roster?team=dal
Minnesota Wild,http://www.espn.com/nhl/teams/roster?team=min
Nashville Predators,http://www.espn.com/nhl/teams/roster?team=nsh
St. Louis Blues,http://www.espn.com/nhl/teams/roster?team=stl
Winnipeg Jets,http://www.espn.com/nhl/teams/roster?team=wpg
Anaheim Ducks,http://www.espn.com/nhl/teams/roster?team=ana
Arizona Coyotes,http://www.espn.com/nhl/teams/roster?team=ari
Calgary Flames,http://www.espn.com/nhl/teams/roster?team=cgy
Edmonton Oilers,http://www.espn.com/nhl/teams/roster?team=edm
Los Angeles Kings,http://www.espn.com/nhl/teams/roster?team=los
San Jose Sharks,http://www.espn.com/nhl/teams/roster?team=san
Vancouver Canucks,http://www.espn.com/nhl/teams/roster?team=van
Vegas Golden Knights,http://www.espn.com/nhl/teams/roster?team=vgs
Boston Bruins,http://www.espn.com/nhl/teams/roster?team=bos
Buffalo Sabres,http://www.espn.com/nhl/teams/roster?team=buf
Detroit Red Wings,http://www.espn.com/nhl/teams/roster?team=det
Florida Panthers,http://www.espn.com/nhl/teams/roster?team=fla
Montreal Canadiens,http://www.espn.com/nhl/teams/roster?team=mon
Ottawa Senators,http://www.espn.com/nhl/teams/roster?team=ott
Tampa Bay Lightning,http://www.espn.com/nhl/teams/roster?team=tam
Toronto Maple Leafs,http://www.espn.com/nhl/teams/roster?team=tor
Carolina Hurricanes,http://www.espn.com/nhl/teams/roster?team=car
Columbus Blue Jackets,http://www.espn.com/nhl/teams/roster?team=cls
New Jersey Devils,http://www.espn.com/nhl/teams/roster?team=njd
New York Islanders,http://www.espn.com/nhl/teams/roster?team=nyi
New York Rangers,http://www.espn.com/nhl/teams/roster?team=nyr
Philadelphia Flyers,http://www.espn.com/nhl/teams/roster?team=phi
Pittsburgh Penguins,http://www.espn.com/nhl/teams/roster?team=pit
Washington Capitals,http://www.espn.com/nhl/teams/roster?team=was
