team,team_roster_site
Baltimore Orioles,http://www.espn.com/mlb/teams/roster?team=bal
Boston Red Sox,http://www.espn.com/mlb/teams/roster?team=bos
New York Yankees,http://www.espn.com/mlb/teams/roster?team=nyy
Tampa Bay Rays,http://www.espn.com/mlb/teams/roster?team=tam
Toronto Blue Jays,http://www.espn.com/mlb/teams/roster?team=tor
Atlanta Braves,http://www.espn.com/mlb/teams/roster?team=atl
Miami Marlins,http://www.espn.com/mlb/teams/roster?team=mia
New York Mets,http://www.espn.com/mlb/teams/roster?team=nym
Philadelphia Phillies,http://www.espn.com/mlb/teams/roster?team=phi
Washington Nationals,http://www.espn.com/mlb/teams/roster?team=was
Chicago White Sox,http://www.espn.com/mlb/teams/roster?team=chw
Cleveland Indians,http://www.espn.com/mlb/teams/roster?team=cle
Detroit Tigers,http://www.espn.com/mlb/teams/roster?team=det
Kansas City Royals,http://www.espn.com/mlb/teams/roster?team=kan
Minnesota Twins,http://www.espn.com/mlb/teams/roster?team=min
Chicago Cubs,http://www.espn.com/mlb/teams/roster?team=chc
Cincinnati Reds,http://www.espn.com/mlb/teams/roster?team=cin
Milwaukee Brewers,http://www.espn.com/mlb/teams/roster?team=mil
Pittsburgh Pirates,http://www.espn.com/mlb/teams/roster?team=pit
St. Louis Cardinals,http://www.espn.com/mlb/teams/roster?team=stl
Houston Astros,http://www.espn.com/mlb/teams/roster?team=hou
Los Angeles Angels,http://www.espn.com/mlb/teams/roster?team=laa
Oakland Athletics,http://www.espn.com/mlb/teams/roster?team=oak
Seattle Mariners,http://www.espn.com/mlb/teams/roster?team=sea
Texas Rangers,http://www.espn.com/mlb/teams/roster?team=tex
Arizona Diamondbacks,http://www.espn.com/mlb/teams/roster?team=ari
Colorado Rockies,http://www.espn.com/mlb/teams/roster?team=col
Los Angeles Dodgers,http://www.espn.com/mlb/teams/roster?team=lad
San Diego Padres,http://www.espn.com/mlb/teams/roster?team=sdg
San Francisco Giants,http://www.espn.com/mlb/teams/roster?team=sfo
