team,team_roster_site
Boston Celtics,http://www.espn.com/nba/teams/roster?team=Bos
Brooklyn Nets,http://www.espn.com/nba/teams/roster?team=BKN
New York Knicks,http://www.espn.com/nba/teams/roster?team=NY
Philadelphia 76ers,http://www.espn.com/nba/teams/roster?team=Phi
Toronto Raptors,http://www.espn.com/nba/teams/roster?team=Tor
Golden State Warriors,http://www.espn.com/nba/teams/roster?team=GS
LA Clippers,http://www.espn.com/nba/teams/roster?team=LAC
Los Angeles Lakers,http://www.espn.com/nba/teams/roster?team=LAL
Phoenix Suns,http://www.espn.com/nba/teams/roster?team=PHX
Sacramento Kings,http://www.espn.com/nba/teams/roster?team=Sac
Chicago Bulls,http://www.espn.com/nba/teams/roster?team=Chi
Cleveland Cavaliers,http://www.espn.com/nba/teams/roster?team=Cle
Detroit Pistons,http://www.espn.com/nba/teams/roster?team=Det
Indiana Pacers,http://www.espn.com/nba/teams/roster?team=Ind
Milwaukee Bucks,http://www.espn.com/nba/teams/roster?team=Mil
Dallas Mavericks,http://www.espn.com/nba/teams/roster?team=Dal
Houston Rockets,http://www.espn.com/nba/teams/roster?team=Hou
Memphis Grizzlies,http://www.espn.com/nba/teams/roster?team=Mem
New Orleans Pelicans,http://www.espn.com/nba/teams/roster?team=NO
San Antonio Spurs,http://www.espn.com/nba/teams/roster?team=SA
Atlanta Hawks,http://www.espn.com/nba/teams/roster?team=Atl
Charlotte Hornets,http://www.espn.com/nba/teams/roster?team=Cha
Miami Heat,http://www.espn.com/nba/teams/roster?team=Mia
Orlando Magic,http://www.espn.com/nba/teams/roster?team=Orl
Washington Wizards,http://www.espn.com/nba/teams/roster?team=WSH
Denver Nuggets,http://www.espn.com/nba/teams/roster?team=Den
Minnesota Timberwolves,http://www.espn.com/nba/teams/roster?team=Min
Oklahoma City Thunder,http://www.espn.com/nba/teams/roster?team=Okc
Portland Trail Blazers,http://www.espn.com/nba/teams/roster?team=Por
Utah Jazz,http://www.espn.com/nba/teams/roster?team=UTAH
