CLE,106.0,22.9,6.8,3.2,15.6,113.9,25.9,9.4,6.3,12.5
ATL,110.4,23.7,7.7,5.0,15.6,118.3,24.7,8.8,6.3,14.2
CHI,106.4,23.1,10.0,4.1,14.6,109.4,25.3,8.1,5.9,17.5
PHO,112.3,27.0,7.8,4.0,14.4,113.4,23.5,8.1,5.6,15.2
MIN,111.9,23.6,8.6,5.6,14.6,116.0,24.1,7.7,5.5,14.7
BOS,112.4,22.6,8.2,5.6,12.9,106.4,22.2,7.0,5.5,14.4
DET,106.4,23.9,7.4,4.5,14.5,109.9,24.4,8.2,5.5,13.1
TOR,112.2,25.2,8.8,4.9,13.6,105.6,25.3,7.0,5.4,15.8
MEM,112.5,26.9,7.9,5.5,14.5,113.7,24.8,7.9,5.4,14.1
BRK,109.6,23.9,6.3,4.4,14.5,110.2,22.3,7.6,5.3,12.0
POR,113.6,20.4,6.1,6.2,12.6,115.2,24.6,6.9,5.0,12.2
NYK,104.9,21.9,7.6,4.7,13.7,111.4,24.1,7.1,5.0,13.0
CHO,101.9,23.6,6.5,4.1,13.8,108.6,26.4,8.0,5.0,13.4
WAS,114.9,25.1,8.0,4.2,13.4,119.1,25.2,7.5,5.0,15.5
GSW,105.5,25.4,8.1,4.6,14.2,114.1,25.9,8.2,4.9,14.6
HOU,118.0,21.4,8.5,5.1,13.9,114.2,25.1,7.8,4.9,15.2
LAC,115.6,23.6,7.1,4.9,14.0,109.0,23.4,7.7,4.8,13.7
NOP,114.8,26.7,7.5,5.0,15.7,115.9,24.3,8.6,4.8,13.7
ORL,106.9,24.1,8.4,5.6,12.0,107.5,24.6,7.0,4.7,14.2
UTA,110.5,22.0,6.0,4.0,14.4,107.7,21.1,7.8,4.6,11.8
MIL,118.2,25.8,7.4,6.0,14.5,107.3,23.6,7.5,4.5,13.6
IND,108.9,25.9,7.2,5.1,12.4,106.9,23.0,6.8,4.5,13.7
DEN,109.3,26.3,8.0,4.6,12.9,106.7,24.8,7.1,4.4,13.6
SAC,108.3,23.3,7.6,4.1,13.6,110.5,24.5,7.8,4.3,14.3
SAS,112.1,24.4,7.1,5.4,11.9,113.6,25.4,6.7,4.3,12.4
OKC,110.1,21.7,7.6,5.0,12.8,107.4,22.8,6.7,4.1,13.3
MIA,110.8,25.7,7.3,4.4,13.7,107.3,24.4,7.4,4.1,13.1
DAL,116.0,24.3,6.3,4.9,12.1,110.2,23.6,7.1,4.1,11.4
PHI,109.3,25.7,8.1,5.3,13.5,107.2,22.7,6.9,3.9,13.4
LAL,113.5,25.6,8.5,6.8,14.6,106.5,23.1,8.1,3.8,14.9
