date,site,visitor,visitorScore,home,homeScore
20200912,https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League,Arsenal,3,Fulham,0
20200912,https://fbref.com/en/matches/db261cb0/Crystal-Palace-Southampton-September-12-2020-Premier-League,Southampton,0,Crystal Palace,1
20200912,https://fbref.com/en/matches/21b58926/Liverpool-Leeds-United-September-12-2020-Premier-League,Leeds United,3,Liverpool,4
20200912,https://fbref.com/en/matches/78495ced/West-Ham-United-Newcastle-United-September-12-2020-Premier-League,Newcastle Utd,2,West Ham,0
20200913,https://fbref.com/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League,Leicester City,3,West Brom,0
20200913,https://fbref.com/en/matches/fc7f9aa1/Tottenham-Hotspur-Everton-September-13-2020-Premier-League,Everton,1,Tottenham,0
20200914,https://fbref.com/en/matches/a3eb7a37/Sheffield-United-Wolverhampton-Wanderers-September-14-2020-Premier-League,Wolves,2,Sheffield Utd,0
20200914,https://fbref.com/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League,Chelsea,3,Brighton,1
20200919,https://fbref.com/en/matches/45bd1880/Everton-West-Bromwich-Albion-September-19-2020-Premier-League,West Brom,2,Everton,5
20200919,https://fbref.com/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League,Fulham,3,Leeds United,4
20200919,https://fbref.com/en/matches/97279323/Manchester-United-Crystal-Palace-September-19-2020-Premier-League,Crystal Palace,3,Manchester Utd,1
20200919,https://fbref.com/en/matches/f4835ec2/Arsenal-West-Ham-United-September-19-2020-Premier-League,West Ham,1,Arsenal,2
20200920,https://fbref.com/en/matches/967efd56/Southampton-Tottenham-Hotspur-September-20-2020-Premier-League,Tottenham,5,Southampton,2
20200920,https://fbref.com/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League,Brighton,3,Newcastle Utd,0
20200920,https://fbref.com/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League,Liverpool,2,Chelsea,0
20200920,https://fbref.com/en/matches/465b25a8/Leicester-City-Burnley-September-20-2020-Premier-League,Burnley,2,Leicester City,4
20200921,https://fbref.com/en/matches/98b4b5b6/Aston-Villa-Sheffield-United-September-21-2020-Premier-League,Sheffield Utd,0,Aston Villa,1
