name,team,nameSite,number,pos,height,weight,birthday,experience,college
DeAndre' Bembry,ATL,https://www.basketball-reference.com/players/b/bembrde01.html,95,SG,6-5,210,July 4, 1994,3,Saint Joseph's
Charlie Brown,ATL,https://www.basketball-reference.com/players/b/brownch02.html,4,SG,6-6,199,February 2, 1997,0,Saint Joseph's
Vince Carter,ATL,https://www.basketball-reference.com/players/c/cartevi01.html,15,PF,6-6,220,January 26, 1977,21,UNC
John Collins,ATL,https://www.basketball-reference.com/players/c/collijo01.html,20,PF,6-9,235,September 23, 1997,2,Wake Forest
Allen Crabbe,ATL,https://www.basketball-reference.com/players/c/crabbal01.html,33,SG,6-5,212,April 9, 1992,6,California
Dewayne Dedmon,ATL,https://www.basketball-reference.com/players/d/dedmode01.html,14,C,7-0,245,August 12, 1989,6,USC
Bruno Fernando,ATL,https://www.basketball-reference.com/players/f/fernabr01.html,24,C,6-9,240,August 15, 1998,0,Maryland
Brandon Goodwin,ATL,https://www.basketball-reference.com/players/g/goodwbr01.html,0,PG,6-0,180,October 2, 1995,1,Central Florida: Florida Gulf Coast
Treveon Graham,ATL,https://www.basketball-reference.com/players/g/grahatr01.html,2,SF,6-5,219,October 28, 1993,3,VCU
Kevin Huerter,ATL,https://www.basketball-reference.com/players/h/huertke01.html,3,SG,6-7,190,August 27, 1998,1,Maryland
De'Andre Hunter,ATL,https://www.basketball-reference.com/players/h/huntede01.html,12,SF,6-8,225,December 2, 1997,0,Virginia
Damian Jones,ATL,https://www.basketball-reference.com/players/j/jonesda03.html,30,C,6-11,245,June 30, 1995,3,Vanderbilt
Alex Len,ATL,https://www.basketball-reference.com/players/l/lenal01.html,25,C,7-0,250,June 16, 1993,6,Maryland
Jabari Parker,ATL,https://www.basketball-reference.com/players/p/parkeja01.html,5,PF,6-8,245,March 15, 1995,5,Duke
Chandler Parsons,ATL,https://www.basketball-reference.com/players/p/parsoch01.html,31,PF,6-9,230,October 25, 1988,8,Florida
Cam Reddish,ATL,https://www.basketball-reference.com/players/r/reddica01.html,22,SF,6-8,218,September 1, 1999,0,Duke
Jeff Teague,ATL,https://www.basketball-reference.com/players/t/teaguje01.html,00,PG,6-3,195,June 10, 1988,10,Wake Forest
Evan Turner,ATL,https://www.basketball-reference.com/players/t/turneev01.html,1,SG,6-6,220,October 27, 1988,9,Ohio State
Tyrone Wallace,ATL,https://www.basketball-reference.com/players/w/wallaty01.html,8,SG,6-5,198,June 10, 1994,2,California
Paul Watson,ATL,https://www.basketball-reference.com/players/w/watsopa01.html,2,SF,6-6,210,December 30, 1994,0,Fresno State
Trae Young,ATL,https://www.basketball-reference.com/players/y/youngtr01.html,11,PG,6-1,180,September 19, 1998,1,Oklahoma
Jaylen Brown,BOS,https://www.basketball-reference.com/players/b/brownja02.html,7,SG,6-6,223,October 24, 1996,3,California
Carsen Edwards,BOS,https://www.basketball-reference.com/players/e/edwarca01.html,4,SG,5-11,200,March 12, 1998,0,Purdue
Tacko Fall,BOS,https://www.basketball-reference.com/players/f/fallta01.html,99,C,7-5,311,December 10, 1995,0,Central Florida
Javonte Green,BOS,https://www.basketball-reference.com/players/g/greenja02.html,43,SG,6-4,205,July 23, 1993,0,Radford
Gordon Hayward,BOS,https://www.basketball-reference.com/players/h/haywago01.html,20,SF,6-7,225,March 23, 1990,9,Butler
Enes Kanter,BOS,https://www.basketball-reference.com/players/k/kanteen01.html,11,C,6-10,250,May 20, 1992,8,
Romeo Langford,BOS,https://www.basketball-reference.com/players/l/langfro01.html,45,SG,6-4,216,October 25, 1999,0,Indiana
Semi Ojeleye,BOS,https://www.basketball-reference.com/players/o/ojelese01.html,37,PF,6-6,240,December 5, 1994,2,Duke: SMU
Vincent Poirier,BOS,https://www.basketball-reference.com/players/p/poirivi01.html,77,C,7-0,235,October 17, 1993,0,
Marcus Smart,BOS,https://www.basketball-reference.com/players/s/smartma01.html,36,SG,6-3,220,March 6, 1994,5,Oklahoma State
Jayson Tatum,BOS,https://www.basketball-reference.com/players/t/tatumja01.html,0,PF,6-8,210,March 3, 1998,2,Duke
Daniel Theis,BOS,https://www.basketball-reference.com/players/t/theisda01.html,27,C,6-8,245,April 4, 1992,2,
Kemba Walker,BOS,https://www.basketball-reference.com/players/w/walkeke02.html,8,PG,6-0,184,May 8, 1990,8,UConn
Brad Wanamaker,BOS,https://www.basketball-reference.com/players/w/wanambr01.html,9,PG,6-3,210,July 25, 1989,1,Pitt
Tremont Waters,BOS,https://www.basketball-reference.com/players/w/watertr01.html,51,PG,5-10,175,January 10, 1998,0,LSU
Grant Williams,BOS,https://www.basketball-reference.com/players/w/willigr01.html,12,PF,6-6,236,November 30, 1998,0,Tennessee
Robert Williams,BOS,https://www.basketball-reference.com/players/w/williro04.html,44,C,6-8,237,October 17, 1997,1,Texas A&M
Jarrett Allen,BRK,https://www.basketball-reference.com/players/a/allenja01.html,31,C,6-11,243,April 21, 1998,2,Texas
Justin Anderson,BRK,https://www.basketball-reference.com/players/a/anderju01.html,10,SG,6-6,230,November 19, 1993,4,Virginia
Wilson Chandler,BRK,https://www.basketball-reference.com/players/c/chandwi01.html,21,PF,6-8,235,May 10, 1987,11,DePaul
