team,teamPage
Arizona Diamondbacks,https://www.baseball-reference.com/teams/ARI/
Atlanta Braves,https://www.baseball-reference.com/teams/ATL/
Baltimore Orioles,https://www.baseball-reference.com/teams/BAL/
Boston Red Sox,https://www.baseball-reference.com/teams/BOS/
Chicago Cubs,https://www.baseball-reference.com/teams/CHC/
Chicago White Sox,https://www.baseball-reference.com/teams/CHW/
Cincinnati Reds,https://www.baseball-reference.com/teams/CIN/
Cleveland Indians,https://www.baseball-reference.com/teams/CLE/
Colorado Rockies,https://www.baseball-reference.com/teams/COL/
Detroit Tigers,https://www.baseball-reference.com/teams/DET/
Houston Astros,https://www.baseball-reference.com/teams/HOU/
Kansas City Royals,https://www.baseball-reference.com/teams/KCR/
Los Angeles Angels,https://www.baseball-reference.com/teams/ANA/
Los Angeles Dodgers,https://www.baseball-reference.com/teams/LAD/
Miami Marlins,https://www.baseball-reference.com/teams/FLA/
Milwaukee Brewers,https://www.baseball-reference.com/teams/MIL/
Minnesota Twins,https://www.baseball-reference.com/teams/MIN/
New York Mets,https://www.baseball-reference.com/teams/NYM/
New York Yankees,https://www.baseball-reference.com/teams/NYY/
Oakland Athletics,https://www.baseball-reference.com/teams/OAK/
Philadelphia Phillies,https://www.baseball-reference.com/teams/PHI/
Pittsburgh Pirates,https://www.baseball-reference.com/teams/PIT/
San Diego Padres,https://www.baseball-reference.com/teams/SDP/
San Francisco Giants,https://www.baseball-reference.com/teams/SFG/
Seattle Mariners,https://www.baseball-reference.com/teams/SEA/
St. Louis Cardinals,https://www.baseball-reference.com/teams/STL/
Tampa Bay Rays,https://www.baseball-reference.com/teams/TBD/
Texas Rangers,https://www.baseball-reference.com/teams/TEX/
Toronto Blue Jays,https://www.baseball-reference.com/teams/TOR/
Washington Nationals,https://www.baseball-reference.com/teams/WSN/
