team,teamPage
Arizona Cardinals,https://www.pro-football-reference.com/teams/crd/
Atlanta Falcons,https://www.pro-football-reference.com/teams/atl/
Baltimore Ravens,https://www.pro-football-reference.com/teams/rav/
Buffalo Bills,https://www.pro-football-reference.com/teams/buf/
Carolina Panthers,https://www.pro-football-reference.com/teams/car/
Chicago Bears,https://www.pro-football-reference.com/teams/chi/
Cincinnati Bengals,https://www.pro-football-reference.com/teams/cin/
Cleveland Browns,https://www.pro-football-reference.com/teams/cle/
Dallas Cowboys,https://www.pro-football-reference.com/teams/dal/
Denver Broncos,https://www.pro-football-reference.com/teams/den/
Detroit Lions,https://www.pro-football-reference.com/teams/det/
Green Bay Packers,https://www.pro-football-reference.com/teams/gnb/
Houston Texans,https://www.pro-football-reference.com/teams/htx/
Indianapolis Colts,https://www.pro-football-reference.com/teams/clt/
Jacksonville Jaguars,https://www.pro-football-reference.com/teams/jax/
Kansas City Chiefs,https://www.pro-football-reference.com/teams/kan/
Los Angeles Chargers,https://www.pro-football-reference.com/teams/sdg/
Los Angeles Rams,https://www.pro-football-reference.com/teams/ram/
Miami Dolphins,https://www.pro-football-reference.com/teams/mia/
Minnesota Vikings,https://www.pro-football-reference.com/teams/min/
New England Patriots,https://www.pro-football-reference.com/teams/nwe/
New Orleans Saints,https://www.pro-football-reference.com/teams/nor/
New York Giants,https://www.pro-football-reference.com/teams/nyg/
New York Jets,https://www.pro-football-reference.com/teams/nyj/
Oakland Raiders,https://www.pro-football-reference.com/teams/rai/
Philadelphia Eagles,https://www.pro-football-reference.com/teams/phi/
Pittsburgh Steelers,https://www.pro-football-reference.com/teams/pit/
San Francisco 49ers,https://www.pro-football-reference.com/teams/sfo/
Seattle Seahawks,https://www.pro-football-reference.com/teams/sea/
Tampa Bay Buccaneers,https://www.pro-football-reference.com/teams/tam/
Tennessee Titans,https://www.pro-football-reference.com/teams/oti/
Washington Redskins,https://www.pro-football-reference.com/teams/was/
