team,teamPage
Anaheim Ducks,https://www.hockey-reference.com/teams/ANA/history.html
Arizona Coyotes,https://www.hockey-reference.com/teams/PHX/history.html
Boston Bruins,https://www.hockey-reference.com/teams/BOS/history.html
Buffalo Sabres,https://www.hockey-reference.com/teams/BUF/history.html
Calgary Flames,https://www.hockey-reference.com/teams/CGY/history.html
Carolina Hurricanes,https://www.hockey-reference.com/teams/CAR/history.html
Chicago Blackhawks,https://www.hockey-reference.com/teams/CHI/history.html
Colorado Avalanche,https://www.hockey-reference.com/teams/COL/history.html
Columbus Blue Jackets,https://www.hockey-reference.com/teams/CBJ/history.html
Dallas Stars,https://www.hockey-reference.com/teams/DAL/history.html
Detroit Red Wings,https://www.hockey-reference.com/teams/DET/history.html
Edmonton Oilers,https://www.hockey-reference.com/teams/EDM/history.html
Florida Panthers,https://www.hockey-reference.com/teams/FLA/history.html
Los Angeles Kings,https://www.hockey-reference.com/teams/LAK/history.html
Minnesota Wild,https://www.hockey-reference.com/teams/MIN/history.html
Montreal Canadiens,https://www.hockey-reference.com/teams/MTL/history.html
Nashville Predators,https://www.hockey-reference.com/teams/NSH/history.html
New Jersey Devils,https://www.hockey-reference.com/teams/NJD/history.html
New York Islanders,https://www.hockey-reference.com/teams/NYI/history.html
New York Rangers,https://www.hockey-reference.com/teams/NYR/history.html
Ottawa Senators,https://www.hockey-reference.com/teams/OTT/history.html
Philadelphia Flyers,https://www.hockey-reference.com/teams/PHI/history.html
Pittsburgh Penguins,https://www.hockey-reference.com/teams/PIT/history.html
San Jose Sharks,https://www.hockey-reference.com/teams/SJS/history.html
St. Louis Blues,https://www.hockey-reference.com/teams/STL/history.html
Tampa Bay Lightning,https://www.hockey-reference.com/teams/TBL/history.html
Toronto Maple Leafs,https://www.hockey-reference.com/teams/TOR/history.html
Vancouver Canucks,https://www.hockey-reference.com/teams/VAN/history.html
Vegas Golden Knights,https://www.hockey-reference.com/teams/VEG/history.html
Washington Capitals,https://www.hockey-reference.com/teams/WSH/history.html
Winnipeg Jets,https://www.hockey-reference.com/teams/WPG/history.html
