,,,,,,,,Falcons,2300,
Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Ted Ginn Jr. (13837147),Jared Cook (13837189),Frank Gore (13837093),Saints  (13837235),3500,30600
Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Cole Beasley (13837139),Jared Cook (13837189),Tre'Quan Smith (13837149),Cowboys  (13837236),3000,31100
Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Cole Beasley (13837139),Jared Cook (13837189),Ted Ginn Jr. (13837147),Lions  (13837237),2700,31400
Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Cole Beasley (13837139),Jared Cook (13837189),Anthony Miller (13837145),Bears  (13837238),2500,31600
Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Marvin Jones Jr. (13837133),Jared Cook (13837189),Tre'Quan Smith (13837149),Bills  (13837240),2200,31900
Matt Ryan (13837058),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Julio Jones (13837119),Calvin Ridley (13837123),Amari Cooper (13837129),Jared Cook (13837189),Ted Ginn Jr. (13837147),Cowboys  (13837236),3000,33300
Matt Ryan (13837058),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Julio Jones (13837119),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Lions  (13837237),2700,33600
Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Julio Jones (13837119),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Tre'Quan Smith (13837149),Bears  (13837238),2500,33800
Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Calvin Ridley (13837123),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Tre'Quan Smith (13837149),Cowboys  (13837236),3000,34000
Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Julio Jones (13837119),Calvin Ridley (13837123),Amari Cooper (13837129),Jared Cook (13837189),Ted Ginn Jr. (13837147),Falcons  (13837239),2300,34000
Josh Allen (13837059),Ezekiel Elliott (13837073),David Montgomery (13837079),John Brown (13837125),Calvin Ridley (13837123),Amari Cooper (13837129),Jared Cook (13837189),Ted Ginn Jr. (13837147),Saints  (13837235),3500,34000
Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Julio Jones (13837119),Calvin Ridley (13837123),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Bills  (13837240),2200,34100
Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Calvin Ridley (13837123),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Lions  (13837237),2700,34300
Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Calvin Ridley (13837123),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Tre'Quan Smith (13837149),Bears  (13837238),2500,34500
Josh Allen (13837059),Ezekiel Elliott (13837073),David Montgomery (13837079),John Brown (13837125),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Tre'Quan Smith (13837149),Cowboys  (13837236),3000,34500
Mitchell Trubisky (13837063),Ezekiel Elliott (13837073),David Montgomery (13837079),Allen Robinson II (13837121),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Tre'Quan Smith (13837149),Saints  (13837235),3500,34500
Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Calvin Ridley (13837123),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Ted Ginn Jr. (13837147),Falcons  (13837239),2300,34700
Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Calvin Ridley (13837123),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Bills  (13837240),2200,34800
Josh Allen (13837059),Ezekiel Elliott (13837073),David Montgomery (13837079),John Brown (13837125),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Lions  (13837237),2700,34800
Dak Prescott (13837061),Ezekiel Elliott (13837073),David Montgomery (13837079),Amari Cooper (13837129),Allen Robinson II (13837121),Calvin Ridley (13837123),Jared Cook (13837189),Anthony Miller (13837145),Saints  (13837235),3500,34800
Josh Allen (13837059),Ezekiel Elliott (13837073),David Montgomery (13837079),John Brown (13837125),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Bears  (13837238),2500,35000
Mitchell Trubisky (13837063),Ezekiel Elliott (13837073),David Montgomery (13837079),Allen Robinson II (13837121),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Cowboys  (13837236),3000,35000
Josh Allen (13837059),Ezekiel Elliott (13837073),David Montgomery (13837079),John Brown (13837125),Julio Jones (13837119),Allen Robinson II (13837121),Jared Cook (13837189),Tre'Quan Smith (13837149),Falcons  (13837239),2300,35200
Mitchell Trubisky (13837063),Ezekiel Elliott (13837073),David Montgomery (13837079),Allen Robinson II (13837121),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Lions  (13837237),2700,35300
Dak Prescott (13837061),Ezekiel Elliott (13837073),David Montgomery (13837079),Amari Cooper (13837129),Julio Jones (13837119),Allen Robinson II (13837121),Jared Cook (13837189),Anthony Miller (13837145),Lions  (13837237),2700,35600
Mitchell Trubisky (13837063),Ezekiel Elliott (13837073),David Montgomery (13837079),Allen Robinson II (13837121),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Cole Beasley (13837139),Falcons  (13837239),2300,35700
Dak Prescott (13837061),Ezekiel Elliott (13837073),David Montgomery (13837079),Amari Cooper (13837129),Julio Jones (13837119),Allen Robinson II (13837121),Jared Cook (13837189),Anthony Miller (13837145),Bears  (13837238),2500,35800
Mitchell Trubisky (13837063),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Allen Robinson II (13837121),Amari Cooper (13837129),Marvin Jones Jr. (13837133),Jared Cook (13837189),Anthony Miller (13837145),Bills  (13837240),2200,35800
Dak Prescott (13837061),Ezekiel Elliott (13837073),David Montgomery (13837079),Amari Cooper (13837129),Michael Thomas (13837117),Marvin Jones Jr. (13837133),Jared Cook (13837189),Anthony Miller (13837145),Falcons  (13837239),2300,36000
Dak Prescott (13837061),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Amari Cooper (13837129),Calvin Ridley (13837123),Marvin Jones Jr. (13837133),Jared Cook (13837189),Anthony Miller (13837145),Bills  (13837240),2200,36100
David Blough (13837069),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Kenny Golladay (13837127),Michael Thomas (13837117),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Saints  (13837235),3500,36200
David Blough (13837069),Ezekiel Elliott (13837073),David Montgomery (13837079),Kenny Golladay (13837127),Michael Thomas (13837117),Amari Cooper (13837129),Jared Cook (13837189),Frank Gore (13837093),Cowboys  (13837236),3000,36700
David Blough (13837069),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Marvin Jones Jr. (13837133),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Saints  (13837235),3500,37000
David Blough (13837069),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Kenny Golladay (13837127),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Bears  (13837238),2500,37200
David Blough (13837069),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Kenny Golladay (13837127),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Falcons  (13837239),2300,37400
David Blough (13837069),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Kenny Golladay (13837127),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Bills  (13837240),2200,37500
David Blough (13837069),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Marvin Jones Jr. (13837133),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Cowboys  (13837236),3000,37500
David Blough (13837069),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Marvin Jones Jr. (13837133),Julio Jones (13837119),Allen Robinson II (13837121),Jared Cook (13837189),Tre'Quan Smith (13837149),Bears  (13837238),2500,38000
David Blough (13837069),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Marvin Jones Jr. (13837133),Julio Jones (13837119),Allen Robinson II (13837121),Jared Cook (13837189),Frank Gore (13837093),Falcons  (13837239),2300,38200
David Blough (13837069),Alvin Kamara (13837071),Ezekiel Elliott (13837073),Marvin Jones Jr. (13837133),Julio Jones (13837119),Amari Cooper (13837129),Jared Cook (13837189),Cole Beasley (13837139),Bills  (13837240),2200,38300
