Drew Lock (13873095),Todd Gurley II (13863991),Phillip Lindsay (13864020),Courtland Sutton (13864061),Cooper Kupp (13863993),Keenan Allen (13863938),Travis Kelce (13863926),Demarcus Robinson (13863997),Rams  (13863907),3200,4800,5800,36200
Philip Rivers (13863913),Todd Gurley II (13863991),Phillip Lindsay (13864020),Keenan Allen (13863938),Cooper Kupp (13863993),Christian Kirk (13864069),Travis Kelce (13863926),Tim Patrick (13864055),Chargers  (13863909),3100,5500,6500,34900
Philip Rivers (13863913),Todd Gurley II (13863991),Phillip Lindsay (13864020),Keenan Allen (13863938),Cooper Kupp (13863993),Christian Kirk (13864069),Travis Kelce (13863926),Tim Patrick (13864055),Rams  (13863907),3200,5500,6500,34800
Patrick Mahomes (13864063),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Keenan Allen (13863938),Mecole Hardman (13864081),Hunter Henry (13864010),Tim Patrick (13864055),Chiefs  (13863905),2700,7400,8900,31000
Drew Lock (13873095),Todd Gurley II (13863991),Phillip Lindsay (13864020),Courtland Sutton (13864061),Tyreek Hill (13864034),Cooper Kupp (13863993),Hunter Henry (13864010),Tim Patrick (13864055),Chiefs  (13863905),2700,4800,5800,36700
Jared Goff (13863999),Todd Gurley II (13863991),Phillip Lindsay (13864020),Cooper Kupp (13863993),Tyreek Hill (13864034),Christian Kirk (13864069),Hunter Henry (13864010),Tim Patrick (13864055),Raiders  (13863906),1700,6000,7100,35200
Jared Goff (13863999),Todd Gurley II (13863991),LeSean McCoy (13863919),Cooper Kupp (13863993),Keenan Allen (13863938),Christian Kirk (13864069),Travis Kelce (13863926),Tim Patrick (13864055),Chargers  (13863909),3100,6000,7100,33800
Kyler Murray (13864074),Todd Gurley II (13863991),Melvin Gordon III (13863963),Christian Kirk (13864069),Keenan Allen (13863938),Larry Fitzgerald (13863911),Travis Kelce (13863926),Tim Patrick (13864055),Broncos  (13863904),3000,6400,5700,34900
Philip Rivers (13863913),Todd Gurley II (13863991),Phillip Lindsay (13864020),Keenan Allen (13863938),Cooper Kupp (13863993),Christian Kirk (13864069),Travis Kelce (13863926),Demarcus Robinson (13863997),Chiefs  (13863905),2700,5500,6500,35300
Patrick Mahomes (13864063),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Christian Kirk (13864069),Sammy Watkins (13863952),Hunter Henry (13864010),Tim Patrick (13864055),Cardinals  (13863908),2300,7400,8900,31400
Drew Lock (13873095),Todd Gurley II (13863991),Phillip Lindsay (13864020),Courtland Sutton (13864061),Tyreek Hill (13864034),Cooper Kupp (13863993),Hunter Henry (13864010),Tim Patrick (13864055),Cardinals  (13863908),2300,4800,5800,37100
Derek Carr (13863931),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Keenan Allen (13863938),Christian Kirk (13864069),Darren Waller (13863950),Tim Patrick (13864055),Rams  (13863907),3200,5500,5500,35800
Jared Goff (13863999),Todd Gurley II (13863991),LeSean McCoy (13863919),Cooper Kupp (13863993),Keenan Allen (13863938),Christian Kirk (13864069),Travis Kelce (13863926),Tim Patrick (13864055),Rams  (13863907),3200,6000,7100,33700
Jared Goff (13863999),Todd Gurley II (13863991),Phillip Lindsay (13864020),Cooper Kupp (13863993),Keenan Allen (13863938),Christian Kirk (13864069),Travis Kelce (13863926),Tim Patrick (13864055),Chiefs  (13863905),2700,6000,7100,34200
Derek Carr (13863931),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Cooper Kupp (13863993),Christian Kirk (13864069),Darren Waller (13863950),Tim Patrick (13864055),Cardinals  (13863908),2300,5500,5500,36700
Derek Carr (13863931),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Cooper Kupp (13863993),Keenan Allen (13863938),Darren Waller (13863950),Tim Patrick (13864055),Raiders  (13863906),1700,5500,5500,37300
Patrick Mahomes (13864063),Todd Gurley II (13863991),Phillip Lindsay (13864020),Tyreek Hill (13864034),Christian Kirk (13864069),Mecole Hardman (13864081),Hunter Henry (13864010),Tim Patrick (13864055),Rams  (13863907),3200,7400,8900,30500
