Dalvin Cook,+475,+475,-167
Kerryon Johnson,+750,+750,+115
Kenny Golladay,+900,+900,+145
Adam Thielen,+900,+900,+150
Stefon Diggs,+1100,+1100,+175
T.J. Hockenson,+1300,+1300,+225
Marvin Jones,+1400,+1400,+240
Kyle Rudolph,+1800,+1800,+350
Alexander Mattison,+1800,+1800,+300
Danny Amendola,+2200,+2200,+425
Any Other Detroit Lions Player,+2500,+2500,+500
Any Other Minnesota Vikings Player,+2500,+2500,+450
JD McKissic,+3000,+3000,+600
Jesse James,+4000,+4000,+850
Kirk Cousins,+4000,+4000,+750
Olabisi Johnson,+4000,+4000,+800
Irv Smith Jr.,+4000,+4000,+800
Marvin Hall,+4500,+4500,+900
Logan Thomas,+6000,+6000,+1100
Ty Johnson,+6600,+6600,+1200
Laquon Treadwell,+6600,+6600,+1200
Ameer Abdullah,+7000,+7000,+1400
Matthew Stafford,+8000,+8000,+1600
Nick Bawden,+10000,+10000,+2200
CJ Ham,+10000,+10000,+2200
Tyler Conklin,+10000,+10000,+2200
Mike Boone,+10000,+10000,+2200
Tra Carson,+10000,+10000,+2200
Todd Gurley,+600,+600,-167
Cooper Kupp,+750,+750,-115
Devonta Freeman,+850,+850,-106
Julio Jones,+900,+900,+100
Calvin Ridley,+1000,+1000,+120
Austin Hooper,+1100,+1100,+130
Malcolm Brown,+1200,+1200,+150
Robert Woods,+1200,+1200,+150
Brandin Cooks,+1200,+1200,+165
Darrell Henderson,+1300,+1300,+180
Gerald Everett,+1800,+1800,+225
Mohamed Sanu,+2000,+2000,+275
Tyler Higbee,+2200,+2200,+325
Any Other Los Angeles Rams Player,+2200,+2200,+325
Ito Smith,+2500,+2500,+350
Any Other ATL Falcons Player,+2500,+2500,+375
Jared Goff,+3500,+3500,+600
Matt Ryan,+5000,+5000,+850
Justin Hardy,+6000,+6000,+1000
Josh Reynolds,+7000,+7000,+1000
Keith Smith,+10000,+10000,+2200
Jaeden Graham,+10000,+10000,+2200
Russell Gage,+10000,+10000,+2200
Luke Stocker,+10000,+10000,+2200
Olamide Zaccheaus,+10000,+10000,+2200
Kenjon Barner,+10000,+10000,+2200
JoJo Natson,+10000,+10000,+2200
Johnny Mundt,+10000,+10000,+2200
Mike Thomas,+10000,+10000,+2200
George Kittle,+550,+550,-112
Tevin Coleman,+650,+650,+108
Matt Breida,+750,+750,+125
Marquise Goodwin,+1000,+1000,+180
Adrian Peterson,+1050,+1050,+190
Terry McLaurin,+1100,+1100,+210
Dante Pettis,+1300,+1300,+250
Deebo Samuel,+1400,+1400,+260
Paul Richardson,+1800,+1800,+375
Jeremy Sprinkle,+2000,+2000,+400
Any Other San Francisco 49ers Player,+2000,+2000,+400
Trey Quinn,+2200,+2200,+475
Wendell Smallwood,+2800,+2800,+550
Raheem Mostert,+2800,+2800,+550
Jeff Wilson,+3500,+3500,+750
Richie James,+3500,+3500,+750
Jimmy Garoppolo,+3500,+3500,+750
Any Other Washington Redskins Player,+3500,+3500,+750
Kelvin Harmon,+4000,+4000,+900
Kendrick Bourne,+4500,+4500,+950
Levine Toilolo,+6000,+6000,+1200
Craig Reynolds,+7000,+7000,+1500
Steven Sims,+8000,+8000,+1800
Hale Hentges,+8000,+8000,+1800
Case Keenum,+9000,+9000,+1800
Ross Dwelley,+10000,+10000,+2200
Mike Burton,+10000,+10000,+2200
Aaron Jones,+550,+550,-155
Josh Jacobs,+550,+550,-139
Jamaal Williams,+1000,+1000,+150
Jimmy Graham,+1000,+1000,+145
Darren Waller,+1100,+1100,+175
Marquez Valdes-Scantling,+1200,+1200,+190
Allen Lazard,+1400,+1400,+220
Geronimo Allison,+1500,+1500,+225
Hunter Renfrow,+1500,+1500,+240
Jake Kumerow,+1600,+1600,+285
Foster Moreau,+2200,+2200,+400
Any Other Green Bay Packers Player,+2200,+2200,+375
Darrius Shepherd,+2500,+2500,+425
Marcedes Lewis,+3300,+3300,+550
Zay Jones,+3300,+3300,+550
Aaron Rodgers,+3500,+3500,+600
DeAndre Washington,+3500,+3500,+600
Any Other Oakland Raiders Player,+3500,+3500,+550
Keelan Doss,+4500,+4500,+800
Ryan Grant,+4500,+4500,+800
Marcell Ateman,+4500,+4500,+850
Dwayne Harris,+6000,+6000,+1000
Jalen Richard,+6000,+6000,+1000
Trevor Davis,+6000,+6000,+1000
Derek Carr,+6000,+6000,+1000
Dan Vitale,+7000,+7000,+1400
Evan Baylis,+7000,+7000,+1400
Dexter Williams,+10000,+10000,+2200
Robert Tonyan,+10000,+10000,+2200
Alec Ingold,+10000,+10000,+2200
Derek Carrier,+10000,+10000,+2200
Josh Allen (1996),+550,+550,-121
Frank Gore,+550,+550,-121
Devin Singletary,+950,+950,+165
John Brown,+1200,+1200,+200
Kenyan Drake,+1600,+1600,+400
Preston Williams,+1600,+1600,+400
Duke Williams,+1600,+1600,+300
Dawson Knox,+1800,+1800,+325
DeVante Parker,+1800,+1800,+450
Any Other BUF Bills Player,+1800,+1800,+325
TJ Yeldon,+2200,+2200,+400
Cole Beasley,+2200,+2200,+425
Tyler Kroft,+2200,+2200,+425
Mark Walton,+2200,+2200,+550
Mike Gesicki,+3000,+3000,+800
Albert Wilson,+3000,+3000,+750
Isaiah McKenzie,+3500,+3500,+650
Robert Foster,+3500,+3500,+650
Jakeem Grant,+3500,+3500,+950
Any Other Miami Dolphins Player,+4000,+4000,+1050
Kalen Ballage,+5000,+5000,+1200
Tommy Sweeney,+7000,+7000,+1400
Allen Hurns,+7000,+7000,+2000
Nick O'Leary,+8000,+8000,+2000
Lee Smith,+10000,+10000,+1800
Andre Roberts,+10000,+10000,+1800
Patrick DiMarco,+10000,+10000,+2200
Myles Gaskin,+10000,+10000,+2200
Isaiah Ford,+10000,+10000,+2200
Chandler Cox,+10000,+10000,+2200
Ryan Fitzpatrick,+10000,+10000,+2200
Durham Smythe,+10000,+10000,+2200
Patrick Laird,+10000,+10000,+2200
Senorise Perry,+10000,+10000,+2200
Marlon Mack,+800,+800,+120
DeAndre Hopkins,+800,+800,+110
T.Y. Hilton,+850,+850,+125
Carlos Hyde,+850,+850,+130
Will Fuller,+950,+950,+140
Jack Doyle,+1200,+1200,+190
Nyheim Hines,+1200,+1200,+190
Eric Ebron,+1500,+1500,+240
Duke Johnson,+1500,+1500,+240
Deshaun Watson,+1600,+1600,+250
Darren Fells,+2000,+2000,+300
Kenny Stills,+2200,+2200,+375
Zach Pascal,+2500,+2500,+425
Any Other Indianapolis Colts Player,+2500,+2500,+425
Any Other Houston Texans Player,+2500,+2500,+450
Deon Cain,+3300,+3300,+550
Chester Rogers,+3500,+3500,+650
Jacoby Brissett,+3500,+3500,+650
Jordan Wilkins,+3500,+3500,+650
Jordan Akins,+3500,+3500,+600
Keke Coutee,+4000,+4000,+750
Ashton Dulin,+10000,+10000,+2200
Jonathan Williams,+10000,+10000,+2200
Mo Alie-Cox,+10000,+10000,+2200
Cullen Gillaspia,+10000,+10000,+2200
Buddy Howell,+10000,+10000,+2200
DeAndre Carter,+10000,+10000,+2200
Logan Paulsen,+10000,+10000,+2200
Taiwan Jones,+10000,+10000,+2200
Saquon Barkley,+425,+425,-250
Chase Edmonds,+550,+550,-143
