Brendan Gallagher,+1050,+1050,+175
Jason Zucker,+1100,+1100,+185
Zach Parise,+1150,+1150,+190
Max Domi,+1200,+1200,+210
Eric Staal,+1300,+1300,+210
Kevin Fiala,+1400,+1400,+230
Tomas Tatar,+1500,+1500,+260
Mats Zuccarello,+1600,+1600,+285
Jonathan Drouin,+1600,+1600,+290
Shea Weber,+1600,+1600,+275
Ryan Donato,+1700,+1700,+300
Paul Byron,+1700,+1700,+310
Luke Kunin,+1800,+1800,+320
Gerry Mayhew,+1800,+1800,+320
Artturi Lehkonen,+1800,+1800,+330
Nick Suzuki,+1800,+1800,+330
Joel Armia,+1900,+1900,+350
Phillip Danault,+1900,+1900,+350
Jesperi Kotkaniemi,+1900,+1900,+350
Ryan Hartman,+2000,+2000,+370
Mathew Dumba,+2200,+2200,+390
Gabriel Dumont,+2200,+2200,+390
Joel Eriksson Ek,+2200,+2200,+425
Jordan Greenway,+2200,+2200,+425
Mikko Koivu,+2200,+2200,+425
Victor Rask,+2200,+2200,+390
Jared Spurgeon,+2200,+2200,+425
Jeff Petry,+2200,+2200,+410
Nick Cousins,+2400,+2400,+440
Nate Thompson,+2400,+2400,+440
Jordan Weal,+2500,+2500,+480
Markus Foligno,+2800,+2800,+500
Victor Mete,+2800,+2800,+525
Mike Reilly,+2800,+2800,+525
Brad Hunt,+3300,+3300,+600
Ryan Suter,+3300,+3300,+600
Jonas Brodin,+4000,+4000,+750
Carson Soucy,+4500,+4500,+850
Brett Kulak,+4500,+4500,+850
Ben Chiarot,+5000,+5000,+1000
Christian Folin,+5000,+5000,+1000
Greg Pateryn,+5500,+5500,+1050
Nick Seeler,+5500,+5500,+1050
Patrik Laine,+900,+900,+123
Connor McDavid,+900,+900,+118
Mark Scheifele,+950,+950,+135
Leon Draisaitl,+950,+950,+133
James Neal,+1100,+1100,+155
Kyle Connor,+1200,+1200,+180
Nikolaj Ehlers,+1300,+1300,+200
Ryan Nugent-Hopkins,+1400,+1400,+205
Blake Wheeler,+1600,+1600,+250
Mathieu Perreault,+1800,+1800,+285
Jack Roslovic,+1800,+1800,+285
Andrew Copp,+1900,+1900,+310
Alex Chiasson,+1900,+1900,+300
Tomas Jurco,+1900,+1900,+300
Adam Lowry,+2000,+2000,+330
Sam Gagner,+2000,+2000,+325
Zack Kassian,+2000,+2000,+325
Joakim Nygård,+2000,+2000,+325
Mason Appleton,+2200,+2200,+390
Joshua Morrissey,+2200,+2200,+390
Colby Cave,+2200,+2200,+375
Markus Granlund,+2200,+2200,+375
Gaëtan Haas,+2400,+2400,+400
David Gustafsson,+2500,+2500,+425
Darnell Nurse,+2500,+2500,+440
Gabriel Bourque,+2800,+2800,+460
Neal Pionk,+2800,+2800,+460
Jujhar Khaira,+2800,+2800,+475
Riley Sheahan,+2800,+2800,+475
Oscar Klefbom,+3000,+3000,+525
Joel Persson,+3000,+3000,+525
Sami Niku,+3300,+3300,+575
Ville Heinola,+3500,+3500,+650
Tucker Poolman,+3500,+3500,+650
William Lagesson,+3500,+3500,+650
Dmitri Kulikov,+4000,+4000,+750
Matthew Benning,+4000,+4000,+750
Anthony Bitetto,+5000,+5000,+900
Carl Dahlström,+5000,+5000,+900
Nelson Nogier,+5000,+5000,+900
Kris Russell,+5000,+5000,+850
Alexander Ovechkin,+750,+750,+100
Patrick Kane,+950,+950,+138
Alex DeBrincat,+1050,+1050,+148
T.J. Oshie,+1150,+1150,+175
Evgeny Kuznetsov,+1200,+1200,+195
Tom Wilson,+1200,+1200,+195
Jonathan Toews,+1300,+1300,+200
Nicklas Bäckström,+1400,+1400,+215
Alexander Nylander,+1500,+1500,+235
Jakub Vrána,+1600,+1600,+260
Dylan Strome,+1700,+1700,+275
Brandon Saad,+1800,+1800,+290
Dominik Kubalik,+2000,+2000,+330
Andrew Shaw,+2000,+2000,+330
Lars Eller,+2000,+2000,+340
Carl Hagelin,+2000,+2000,+340
David Kämpf,+2200,+2200,+380
Brendan Perlini,+2200,+2200,+380
John Carlson,+2200,+2200,+360
Drake Caggiula,+2400,+2400,+410
Erik Gustafsson (14 Mar 1992),+2500,+2500,+440
Travis Boyd,+2500,+2500,+430
Nic Dowd,+2500,+2500,+430
Garnet Hathaway,+2500,+2500,+430
Chandler Stephenson,+2500,+2500,+430
John Quenneville,+2800,+2800,+480
Brendan Leipsic,+2800,+2800,+475
Ryan Carpenter,+3000,+3000,+525
Zack Smith,+3000,+3000,+525
Dimitri Orlov,+3300,+3300,+600
Duncan Keith,+3500,+3500,+650
Brent Seabrook,+4000,+4000,+750
Michal Kempny,+4000,+4000,+750
Slater Koekkoek,+5000,+5000,+850
Connor Murphy,+5000,+5000,+850
Olli Määttä,+5000,+5000,+850
Radko Gudas,+5000,+5000,+900
Nick Jensen,+5000,+5000,+900
Jonas Siegenthaler,+5000,+5000,+900
Calvin de Haan,+5500,+5500,+1000
Rickard Rakell,+1050,+1050,+175
Sean Monahan,+1100,+1100,+175
Ondrej Kase,+1150,+1150,+200
Jakob Silfverberg,+1150,+1150,+200
Johnny Gaudreau,+1200,+1200,+200
Matthew Tkachuk,+1200,+1200,+210
Nick Ritchie,+1400,+1400,+245
Troy Terry,+1400,+1400,+245
Elias Lindholm,+1400,+1400,+255
Ryan Getzlaf,+1600,+1600,+290
Adam Henrique,+1600,+1600,+290
Sam Steel,+1600,+1600,+290
Mikael Backlund,+1700,+1700,+320
Maxime Comtois,+1800,+1800,+325
Devin Shore,+1900,+1900,+350
Sam Bennett,+2000,+2000,+380
Michael Frolík,+2000,+2000,+380
Mark Giordano,+2000,+2000,+380
Max Jones,+2200,+2200,+400
Tobias Rieder,+2200,+2200,+410
Derek Grant,+2400,+2400,+440
Carter Rowney,+2400,+2400,+440
Milan Lucic,+2400,+2400,+440
Derek Ryan,+2400,+2400,+440
Kiefer Sherwood,+2500,+2500,+475
Mark Jankowski,+2500,+2500,+480
Andrew Mangiapane,+2500,+2500,+480
Cam Fowler,+2800,+2800,+525
Hampus Lindholm,+2800,+2800,+525
Austin Czarnik,+2800,+2800,+525
Michael Del Zotto,+3000,+3000,+575
Josh Manson,+3000,+3000,+575
Thomas James Brodie,+3300,+3300,+650
Noah Hanifin,+3500,+3500,+700
Josh Mahura,+4000,+4000,+750
Rasmus Andersson,+4000,+4000,+800
Oliver Kylington,+4000,+4000,+800
Travis Hamonic,+4500,+4500,+900
Brendan Guhle,+5000,+5000,+1000
Jani Hakanpää,+5000,+5000,+1000
Jacob Larsson,+5000,+5000,+1000
Michael Stone,+5500,+5500,+1050
Korbinian Holzer,+6000,+6000,+1200
Sean Couturier,+1100,+1100,+175
Max Pacioretty,+1100,+1100,+175
Mark Stone,+1100,+1100,+170
Claude Giroux,+1150,+1150,+180
Jonathan Marchessault,+1200,+1200,+195
James van Riemsdyk,+1300,+1300,+220
William Karlsson,+1300,+1300,+215
Travis Konecny,+1400,+1400,+230
Jakub Voracek,+1500,+1500,+260
Reilly Smith,+1500,+1500,+250
Kevin Hayes,+1600,+1600,+275
Brandon Pirri,+1600,+1600,+285
Paul Stastny,+1700,+1700,+300
Cody Eakin,+1800,+1800,+320
Cody Glass,+1800,+1800,+320
Oskar Lindblom,+1900,+1900,+330
Joel Farabee,+2200,+2200,+380
Scott Laughton,+2200,+2200,+410
Michael Raffl,+2200,+2200,+410
Connor Bunnaman,+2400,+2400,+440
Shayne Gostisbehere,+2400,+2400,+440
Chris Stewart,+2400,+2400,+440
Carsen Twarynski,+2400,+2400,+440
Ryan Reaves,+2400,+2400,+430
Ivan Provorov,+2500,+2500,+480
William Carrier,+2500,+2500,+475
Tomas Nosek,+2500,+2500,+475
Shea Théodore,+2800,+2800,+510
Matt Niskanen,+2900,+2900,+525
Robert Hägg,+3500,+3500,+650
Samuel Morin,+3500,+3500,+650
Philippe Myers,+3500,+3500,+650
Travis Sanheim,+3500,+3500,+650
Nick Holden,+4000,+4000,+700
Nate Schmidt,+4000,+4000,+700
Jimmy Schuldt,+4000,+4000,+700
Justin Braun,+4500,+4500,+850
Deryk Engelland,+5000,+5000,+950
Brayden McNabb,+5000,+5000,+950
Jon Merrill,+6600,+6600,+1200
Auston Matthews,+700,+700,-112
Cam Atkinson,+1050,+1050,+155
Mitch Marner,+1150,+1150,+180
Andreas Johnsson,+1500,+1500,+255
Kasperi Kapanen,+1500,+1500,+255
Ilya Mikheyev,+1500,+1500,+255
William Nylander,+1500,+1500,+240
Morgan Rielly,+1600,+1600,+270
Alexander Kerfoot,+1700,+1700,+290
Josh Anderson,+1700,+1700,+285
Pierre-Luc Dubois,+1700,+1700,+270
Gustav Nyquist,+1700,+1700,+285
Alexandre Texier,+1800,+1800,+300
Trevor Moore,+1900,+1900,+310
Jason Spezza,+1900,+1900,+310
Dmytro Timashov,+1900,+1900,+310
Oliver Björkstrand,+1900,+1900,+320
Nick Foligno,+1900,+1900,+320
Tyson Barrie,+2000,+2000,+340
Kenny Agostino,+2200,+2200,+370
Frédérik Gauthier,+2200,+2200,+370
Nick Shore,+2200,+2200,+370
Emil Bemström,+2200,+2200,+390
Boone Jenner,+2200,+2200,+360
Nicolas Petan,+2400,+2400,+400
Seth Jones,+2400,+2400,+410
Jakob Lilja,+2500,+2500,+450
Alexander Wennberg,+2500,+2500,+450
Zach Werenski,+2500,+2500,+450
Marko Daňo,+2800,+2800,+480
Riley Nash,+2800,+2800,+480
Cody Ceci,+3500,+3500,+600
Timothy Liljegren,+3500,+3500,+600
Kevin Gravel,+4000,+4000,+700
Martin Marincin,+4000,+4000,+700
Jake Muzzin,+4000,+4000,+700
Ryan Murray,+4000,+4000,+700
Markus Nutivaara,+4000,+4000,+700
Ben Harpur,+4500,+4500,+850
Justin Holl,+4500,+4500,+850
David Savard,+4500,+4500,+800
Vladislav Gavrikov,+5000,+5000,+900
Dean Kukan,+5000,+5000,+900
Scott Harrington,+7500,+7500,+1300
Vladimir Tarasenko,+900,+900,+143
Nathan MacKinnon,+950,+950,+150
Mikko Rantanen,+1000,+1000,+170
Brayden Schenn,+1050,+1050,+175
Ryan O'Reilly,+1150,+1150,+200
Gabriel Landeskog,+1150,+1150,+200
David Perron,+1400,+1400,+245
Jaden Schwartz,+1400,+1400,+260
Nazem Kadri,+1400,+1400,+250
Sammy Blais,+1600,+1600,+290
Zachary Sanford,+1800,+1800,+330
Oskar Sundqvist,+1800,+1800,+330
Tyler Bozak,+1900,+1900,+350
Alexander Steen,+1900,+1900,+350
Robert Thomas,+1900,+1900,+350
Andre Burakovsky,+1900,+1900,+350
Robby Fabbri,+2000,+2000,+380
JT Compher,+2000,+2000,+390
Joonas Donskoi,+2000,+2000,+370
Tyson Jost,+2000,+2000,+390
Ivan Barbashyov,+2200,+2200,+410
Vince Dunn,+2200,+2200,+410
Colton Parayko,+2200,+2200,+410
Alex Pietrangelo,+2200,+2200,+410
Vladislav Kamenev,+2400,+2400,+450
Colin Wilson,+2400,+2400,+450
Justin Faulk,+2500,+2500,+480
Matt Calvert,+2800,+2800,+540
Cale Makar,+2800,+2800,+540
Matt Nieto,+2800,+2800,+540
Valeri Nichushkin,+3000,+3000,+575
Pierre-Edouard Bellemare,+3300,+3300,+650
Samuel Girard,+3300,+3300,+650
Ryan Graves,+3300,+3300,+650
Erik Johnson,+3500,+3500,+700
Nikita Zadorov,+4000,+4000,+800
Jay Bouwmeester,+4500,+4500,+850
Carl Gunnarsson,+4500,+4500,+850
Conor Timmins,+4500,+4500,+950
Robert Bortuzzo,+5000,+5000,+1000
Kevin Connauton,+5500,+5500,+1100
Tyler Seguin,+800,+800,+118
Joe Pavelski,+900,+900,+135
Jamie Benn,+950,+950,+148
Alexander Radulov,+950,+950,+148
Roope Hintz,+1300,+1300,+230
Corey Perry,+1300,+1300,+215
Brady Tkachuk,+1500,+1500,+260
Radek Faksa,+1700,+1700,+300
Drake Batherson,+1700,+1700,+300
Nicholas Caamano,+1800,+1800,+320
Rhett Gardner,+1800,+1800,+320
Denis Guryanov,+1800,+1800,+320
Joel L'Esperance,+1800,+1800,+320
Justin Dowling,+1900,+1900,+350
Miro Heiskanen,+1900,+1900,+350
John Klingberg,+1900,+1900,+350
Anthony Duclair,+1900,+1900,+330
Bobby Ryan,+1900,+1900,+330
Mattias Janmark-Nylén,+2000,+2000,+375
Connor Brown,+2000,+2000,+370
Andrew Cogliano,+2200,+2200,+410
Artyom Anisimov,+2200,+2200,+420
Mikkel Bøedker,+2200,+2200,+390
Vladislav Namestnikov,+2200,+2200,+390
Jean-Gabriel Pageau,+2200,+2200,+390
Nick Paul,+2200,+2200,+420
Chris Tierney,+2200,+2200,+420
Colin White,+2200,+2200,+390
Esa Lindell,+2400,+2400,+450
Logan Brown,+2400,+2400,+440
Thomas Chabot,+2500,+2500,+475
Jordan Szwarz,+2500,+2500,+475
Tyler Ennis,+2800,+2800,+510
Filip Chlapik,+3000,+3000,+550
Scott Sabourin,+3000,+3000,+550
Joel Hanley,+4000,+4000,+750
Andrej Sekera,+4000,+4000,+750
Taylor Fedun,+4500,+4500,+850
Jamie Oleksiak,+4500,+4500,+850
Erik Brannstrom,+4500,+4500,+800
Dylan DeMelo,+4500,+4500,+800
Nikita Zaitsev,+5000,+5000,+900
Ron Hainsey,+5500,+5500,+1050
Christian Jaros,+5500,+5500,+1050
Mark Borowiecki,+6600,+6600,+1200
