Steven Stamkos (13759927),Brayden Point (13759933),Nikita Kucherov (13760179),Mike Hoffman (13760231),James Neal (13760241),Mikhail Sergachev (13760663),Ryan McDonagh (13760697),Alexandar Georgiev (13761032),Pat Maroon (13760365),49900,30546,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Dougie Hamilton (13760625),Mikhail Sergachev (13760663),Laurent Brossoit (13761031),Pat Maroon (13760365),49400,28338.5,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Dougie Hamilton (13760625),Mikhail Sergachev (13760663),Adam Werner (13761025),Pat Maroon (13760365),49900,28338.5,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Dougie Hamilton (13760625),Mikhail Sergachev (13760663),Martin Jones (13761010),Pat Maroon (13760365),49900,28338.5,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Dougie Hamilton (13760625),Mikhail Sergachev (13760663),Anton Khudobin (13761030),Pat Maroon (13760365),49600,28338.5,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Dougie Hamilton (13760625),Mikhail Sergachev (13760663),Jonathan Bernier (13761028),Pat Maroon (13760365),49700,28338.5,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Victor Hedman (13760629),Mikhail Sergachev (13760663),Sergei Bobrovsky (13761000),Pat Maroon (13760365),49900,27189.6,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Victor Hedman (13760629),Mikhail Sergachev (13760663),Petr Mrazek (13761004),Pat Maroon (13760365),49600,27189.6,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Victor Hedman (13760629),Mikhail Sergachev (13760663),Carter Hutton (13761007),Pat Maroon (13760365),49500,27189.6,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Victor Hedman (13760629),Mikhail Sergachev (13760663),Antti Raanta (13761020),Pat Maroon (13760365),49500,27189.6,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Victor Hedman (13760629),Mikhail Sergachev (13760663),Devan Dubnyk (13761005),Pat Maroon (13760365),49600,27189.6,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Victor Hedman (13760629),Mikhail Sergachev (13760663),Mike Smith (13761002),Pat Maroon (13760365),49700,27189.6,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Victor Hedman (13760629),Mikhail Sergachev (13760663),John Gibson (13761008),Pat Maroon (13760365),49800,27189.6,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Victor Hedman (13760629),Mikhail Sergachev (13760663),Jacob Markstrom (13761003),Pat Maroon (13760365),49700,27189.6,0
Steven Stamkos (13759927),Brayden Point (13759933),Mike Hoffman (13760231),James Neal (13760241),Alex Killorn (13760293),Victor Hedman (13760629),Mikhail Sergachev (13760663),Jonathan Quick (13761001),Pat Maroon (13760365),49800,27189.6,0
Brayden Point (13759933),Anthony Cirelli (13759989),Nikita Kucherov (13760179),Mike Hoffman (13760231),Alex Killorn (13760293),Dougie Hamilton (13760625),Mikhail Sergachev (13760663),Andrei Vasilevskiy (13760999),Pat Maroon (13760365),50000,23025,0
