Auston Matthews (13864687),Sean Couturier (13864713),Alex DeBrincat (13865077),James van Riemsdyk (13865159),Alex Nylander (13865241),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Jonathan Quick (13866164),Eric Staal (13864737),50000,27659.4,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Morgan Rielly (13865663),Connor Hellebuyck (13866162),Alex Nylander (13865241),50000,27372.9,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Morgan Rielly (13865663),Jonathan Bernier (13866163),Alex Nylander (13865241),49900,27372.9,0
Sean Couturier (13864713),Eric Staal (13864737),Alex Ovechkin (13865023),Alex DeBrincat (13865077),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Joonas Korpisalo (13866161),Alex Nylander (13865241),50000,26909.4,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),James van Riemsdyk (13865159),Nino Niederreiter (13865191),Dougie Hamilton (13865653),Morgan Rielly (13865663),Darcy Kuemper (13866160),Roope Hintz (13864747),49900,26379.1,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),James van Riemsdyk (13865159),Nino Niederreiter (13865191),Dougie Hamilton (13865653),Morgan Rielly (13865663),Pekka Rinne (13866159),Roope Hintz (13864747),50000,26379.1,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),James van Riemsdyk (13865159),Nino Niederreiter (13865191),Dougie Hamilton (13865653),Morgan Rielly (13865663),Jake Allen (13866181),Roope Hintz (13864747),49900,26379.1,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),John Klingberg (13865711),Anders Nilsson (13866158),Roope Hintz (13864747),49900,25884.6,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),John Klingberg (13865711),Linus Ullmark (13866155),Roope Hintz (13864747),50000,25884.6,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),John Klingberg (13865711),Andrei Vasilevskiy (13866157),Roope Hintz (13864747),49900,25884.6,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),John Gibson (13866146),Roope Hintz (13864747),50000,25345.3,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Kaapo Kahkonen (13866177),Roope Hintz (13864747),49600,25345.3,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Michael Hutchinson (13866174),Roope Hintz (13864747),49700,25345.3,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Philipp Grubauer (13866154),Roope Hintz (13864747),49600,25345.3,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Corey Crawford (13866173),Roope Hintz (13864747),49700,25345.3,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Braden Holtby (13866150),Roope Hintz (13864747),49800,25345.3,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Malcolm Subban (13866170),Roope Hintz (13864747),49800,25345.3,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Tristan Jarry (13866175),Roope Hintz (13864747),49700,25345.3,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Mikhail Sergachev (13865743),Petr Mrazek (13866148),Roope Hintz (13864747),49900,25345.3,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),James van Riemsdyk (13865159),Kevin Fiala (13865173),Dougie Hamilton (13865653),Morgan Rielly (13865663),Carter Hart (13866145),Nino Niederreiter (13865191),50000,23741.2,0
Eric Staal (13864737),Roope Hintz (13864747),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),Morgan Rielly (13865663),Martin Jones (13866144),Alex Nylander (13865241),50000,23317.7,0
Sean Couturier (13864713),Eric Staal (13864737),Alex DeBrincat (13865077),T.J. Oshie (13865093),James van Riemsdyk (13865159),Dougie Hamilton (13865653),John Klingberg (13865711),Ben Bishop (13866143),Kevin Fiala (13865173),50000,23296.1,0
