Tuukka Rask (13688468),Mike Hoffman (13687324),Jake DeBrusk (13687386),Tyler Toffoli (13687462),Auston Matthews (13686898),Aleksander Barkov (13686928),Dougie Hamilton (13687930),Keith Yandle (13688018),Brandon Pirri (13687508),49900,32163.5,0
Sergei Bobrovsky (13688471),David Pastrnak (13687260),Mike Hoffman (13687324),Jake DeBrusk (13687386),Aleksander Barkov (13686928),Jordan Staal (13687004),Dougie Hamilton (13687930),Keith Yandle (13688018),Brandon Pirri (13687508),50000,32186.6,0
Carter Hutton (13688472),David Pastrnak (13687260),Mike Hoffman (13687324),Jake DeBrusk (13687386),Aleksander Barkov (13686928),Jordan Staal (13687004),Dougie Hamilton (13687930),Keith Yandle (13688018),Brandon Pirri (13687508),50000,32186.6,0
Malcolm Subban (13688493),David Pastrnak (13687260),Mike Hoffman (13687324),Jake DeBrusk (13687386),Aleksander Barkov (13686928),Jordan Staal (13687004),Dougie Hamilton (13687930),Keith Yandle (13688018),Brandon Pirri (13687508),50000,32186.6,0
James Reimer (13688495),Mike Hoffman (13687324),Jake DeBrusk (13687386),Brandon Pirri (13687508),Auston Matthews (13686898),Aleksander Barkov (13686928),Dougie Hamilton (13687930),Aaron Ekblad (13687956),Anders Bjork (13687518),50000,33184.2,0
Jake Allen (13688497),David Pastrnak (13687260),Mike Hoffman (13687324),Jake DeBrusk (13687386),Aleksander Barkov (13686928),Henrik Borgstrom (13687198),Dougie Hamilton (13687930),Aaron Ekblad (13687956),Brandon Pirri (13687508),49900,33343.8,0
Frederik Andersen (13688475),David Pastrnak (13687260),Mike Hoffman (13687324),Jake DeBrusk (13687386),Aleksander Barkov (13686928),Henrik Borgstrom (13687198),Dougie Hamilton (13687930),Aaron Ekblad (13687956),Brandon Pirri (13687508),49900,33343.8,0
Ben Bishop (13688476),David Pastrnak (13687260),Mike Hoffman (13687324),Jake DeBrusk (13687386),Aleksander Barkov (13686928),Henrik Borgstrom (13687198),Dougie Hamilton (13687930),Aaron Ekblad (13687956),Brandon Pirri (13687508),49900,33343.8,0
Philipp Grubauer (13688478),David Pastrnak (13687260),Mike Hoffman (13687324),Jake DeBrusk (13687386),Aleksander Barkov (13686928),Henrik Borgstrom (13687198),Dougie Hamilton (13687930),Aaron Ekblad (13687956),Brandon Pirri (13687508),49700,33343.8,0
Darcy Kuemper (13688477),David Pastrnak (13687260),Mike Hoffman (13687324),Jake DeBrusk (13687386),Aleksander Barkov (13686928),Henrik Borgstrom (13687198),Dougie Hamilton (13687930),Aaron Ekblad (13687956),Brandon Pirri (13687508),49800,33343.8,0
