Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M, Nani (14797437), Nani,14797437,CPT,16200,PHI vs ORL 08:00PM ET,ORL,18.52
F,Kacper Przybylko (14797438),Kacper Przybylko,14797438,CPT,14700,PHI vs ORL 08:00PM ET,PHI,9.94
F,Sergio Santos (14797439),Sergio Santos,14797439,CPT,13800,PHI vs ORL 08:00PM ET,PHI,9.92
M, Ilsinho (14797440), Ilsinho,14797440,CPT,13200,PHI vs ORL 08:00PM ET,PHI,1.26
M,Jamiro Monteiro (14797441),Jamiro Monteiro,14797441,CPT,12900,PHI vs ORL 08:00PM ET,PHI,6.64
M/F,Chris Mueller (14797442),Chris Mueller,14797442,CPT,12300,PHI vs ORL 08:00PM ET,ORL,20.29
M,Brenden Aaronson (14797443),Brenden Aaronson,14797443,CPT,11400,PHI vs ORL 08:00PM ET,PHI,10.04
M, Nani (14797385), Nani,14797385,FLEX,10800,PHI vs ORL 08:00PM ET,ORL,18.52
GK,Andre Blake (14797444),Andre Blake,14797444,CPT,10800,PHI vs ORL 08:00PM ET,PHI,12.25
M,Mauricio Pereyra (14797445),Mauricio Pereyra,14797445,CPT,10500,PHI vs ORL 08:00PM ET,ORL,5.04
GK,Joe Bendik (14797446),Joe Bendik,14797446,CPT,10500,PHI vs ORL 08:00PM ET,PHI,0
GK,Matthew Freese (14797447),Matthew Freese,14797447,CPT,10500,PHI vs ORL 08:00PM ET,PHI,0
M,Alejandro Bedoya (14797448),Alejandro Bedoya,14797448,CPT,10200,PHI vs ORL 08:00PM ET,PHI,8.97
F,Tesho Akindele (14797449),Tesho Akindele,14797449,CPT,9900,PHI vs ORL 08:00PM ET,ORL,4.89
D, Ruan (14797450), Ruan,14797450,CPT,9900,PHI vs ORL 08:00PM ET,ORL,8.05
F,Kacper Przybylko (14797386),Kacper Przybylko,14797386,FLEX,9800,PHI vs ORL 08:00PM ET,PHI,9.94
F,Dom Dwyer (14797451),Dom Dwyer,14797451,CPT,9600,PHI vs ORL 08:00PM ET,ORL,3.65
D,Kai Wagner (14797452),Kai Wagner,14797452,CPT,9300,PHI vs ORL 08:00PM ET,PHI,11.68
F,Sergio Santos (14797387),Sergio Santos,14797387,FLEX,9200,PHI vs ORL 08:00PM ET,PHI,9.92
M,Anthony Fontana (14797453),Anthony Fontana,14797453,CPT,9000,PHI vs ORL 08:00PM ET,PHI,0.85
M, Ilsinho (14797388), Ilsinho,14797388,FLEX,8800,PHI vs ORL 08:00PM ET,PHI,1.26
GK,Pedro Gallese (14797454),Pedro Gallese,14797454,CPT,8700,PHI vs ORL 08:00PM ET,ORL,6.68
M,Jamiro Monteiro (14797389),Jamiro Monteiro,14797389,FLEX,8600,PHI vs ORL 08:00PM ET,PHI,6.64
GK,Brian Rowe (14797455),Brian Rowe,14797455,CPT,8400,PHI vs ORL 08:00PM ET,ORL,0
GK,Mason Stajduhar (14797456),Mason Stajduhar,14797456,CPT,8400,PHI vs ORL 08:00PM ET,ORL,0
D,Joao Moutinho (14797457),Joao Moutinho,14797457,CPT,8400,PHI vs ORL 08:00PM ET,ORL,8.03
M/F,Chris Mueller (14797390),Chris Mueller,14797390,FLEX,8200,PHI vs ORL 08:00PM ET,ORL,20.29
M,Andres Perea (14797458),Andres Perea,14797458,CPT,8100,PHI vs ORL 08:00PM ET,ORL,4.37
F,Benji Michel (14797459),Benji Michel,14797459,CPT,8100,PHI vs ORL 08:00PM ET,ORL,3.16
D,Olivier Mbaizo (14797460),Olivier Mbaizo,14797460,CPT,7800,PHI vs ORL 08:00PM ET,PHI,0
M,Brenden Aaronson (14797391),Brenden Aaronson,14797391,FLEX,7600,PHI vs ORL 08:00PM ET,PHI,10.04
D,Raymon Gaddis (14797461),Raymon Gaddis,14797461,CPT,7500,PHI vs ORL 08:00PM ET,PHI,5.68
GK,Andre Blake (14797392),Andre Blake,14797392,FLEX,7200,PHI vs ORL 08:00PM ET,PHI,12.25
M,Matej Oravec (14797462),Matej Oravec,14797462,CPT,7200,PHI vs ORL 08:00PM ET,PHI,0
M,Mauricio Pereyra (14797393),Mauricio Pereyra,14797393,FLEX,7000,PHI vs ORL 08:00PM ET,ORL,5.04
GK,Joe Bendik (14797394),Joe Bendik,14797394,FLEX,7000,PHI vs ORL 08:00PM ET,PHI,0
GK,Matthew Freese (14797395),Matthew Freese,14797395,FLEX,7000,PHI vs ORL 08:00PM ET,PHI,0
M,Junior Urso (14797463),Junior Urso,14797463,CPT,6900,PHI vs ORL 08:00PM ET,ORL,6.77
M,Alejandro Bedoya (14797396),Alejandro Bedoya,14797396,FLEX,6800,PHI vs ORL 08:00PM ET,PHI,8.97
F,Tesho Akindele (14797397),Tesho Akindele,14797397,FLEX,6600,PHI vs ORL 08:00PM ET,ORL,4.89
D, Ruan (14797398), Ruan,14797398,FLEX,6600,PHI vs ORL 08:00PM ET,ORL,8.05
F,Dom Dwyer (14797399),Dom Dwyer,14797399,FLEX,6400,PHI vs ORL 08:00PM ET,ORL,3.65
F,Andrew Wooten (14797464),Andrew Wooten,14797464,CPT,6300,PHI vs ORL 08:00PM ET,PHI,0
D,Mark McKenzie (14797465),Mark McKenzie,14797465,CPT,6300,PHI vs ORL 08:00PM ET,PHI,4.60
D,Kai Wagner (14797400),Kai Wagner,14797400,FLEX,6200,PHI vs ORL 08:00PM ET,PHI,11.68
M,Anthony Fontana (14797401),Anthony Fontana,14797401,FLEX,6000,PHI vs ORL 08:00PM ET,PHI,0.85
F,David Loera (14797466),David Loera,14797466,CPT,6000,PHI vs ORL 08:00PM ET,ORL,0
D,Matt Real (14797467),Matt Real,14797467,CPT,6000,PHI vs ORL 08:00PM ET,PHI,3.04
M,Jose Martinez (14797468),Jose Martinez,14797468,CPT,6000,PHI vs ORL 08:00PM ET,PHI,4.25
GK,Pedro Gallese (14797402),Pedro Gallese,14797402,FLEX,5800,PHI vs ORL 08:00PM ET,ORL,6.68
M/F,Michee Ngalina (14797469),Michee Ngalina,14797469,CPT,5700,PHI vs ORL 08:00PM ET,PHI,0
F,Santiago Patino (14797470),Santiago Patino,14797470,CPT,5700,PHI vs ORL 08:00PM ET,ORL,0.02
M,Jordan Bender (14797471),Jordan Bender,14797471,CPT,5700,PHI vs ORL 08:00PM ET,ORL,0
GK,Brian Rowe (14797403),Brian Rowe,14797403,FLEX,5600,PHI vs ORL 08:00PM ET,ORL,0
GK,Mason Stajduhar (14797404),Mason Stajduhar,14797404,FLEX,5600,PHI vs ORL 08:00PM ET,ORL,0
D,Joao Moutinho (14797405),Joao Moutinho,14797405,FLEX,5600,PHI vs ORL 08:00PM ET,ORL,8.03
M,Andres Perea (14797406),Andres Perea,14797406,FLEX,5400,PHI vs ORL 08:00PM ET,ORL,4.37
F,Benji Michel (14797407),Benji Michel,14797407,FLEX,5400,PHI vs ORL 08:00PM ET,ORL,3.16
M/F, Robinho (14797472), Robinho,14797472,CPT,5400,PHI vs ORL 08:00PM ET,ORL,3.76
F,Daryl Dike (14797473),Daryl Dike,14797473,CPT,5400,PHI vs ORL 08:00PM ET,ORL,0
M,Warren Creavalle (14797474),Warren Creavalle,14797474,CPT,5400,PHI vs ORL 08:00PM ET,PHI,3.35
D,Jakob Glesnes (14797475),Jakob Glesnes,14797475,CPT,5400,PHI vs ORL 08:00PM ET,PHI,2.97
D,Olivier Mbaizo (14797408),Olivier Mbaizo,14797408,FLEX,5200,PHI vs ORL 08:00PM ET,PHI,0
M,Jhegson Mendez (14797476),Jhegson Mendez,14797476,CPT,5100,PHI vs ORL 08:00PM ET,ORL,3.61
D,Kyle Smith (14797477),Kyle Smith,14797477,CPT,5100,PHI vs ORL 08:00PM ET,ORL,8.06
D,Robin Jansson (14797478),Robin Jansson,14797478,CPT,5100,PHI vs ORL 08:00PM ET,ORL,3.43
D,Raymon Gaddis (14797409),Raymon Gaddis,14797409,FLEX,5000,PHI vs ORL 08:00PM ET,PHI,5.68
M,Matej Oravec (14797410),Matej Oravec,14797410,FLEX,4800,PHI vs ORL 08:00PM ET,PHI,0
M,Jack De Vries (14797479),Jack De Vries,14797479,CPT,4800,PHI vs ORL 08:00PM ET,PHI,0.7
D,Jack Elliott (14797480),Jack Elliott,14797480,CPT,4800,PHI vs ORL 08:00PM ET,PHI,1.18
M,Oriol Rosell (14797481),Oriol Rosell,14797481,CPT,4800,PHI vs ORL 08:00PM ET,ORL,1.72
D,Kamal Miller (14797482),Kamal Miller,14797482,CPT,4800,PHI vs ORL 08:00PM ET,ORL,0
M,Junior Urso (14797411),Junior Urso,14797411,FLEX,4600,PHI vs ORL 08:00PM ET,ORL,6.77
D,Aurelien Collin (14797483),Aurelien Collin,14797483,CPT,4500,PHI vs ORL 08:00PM ET,PHI,0
D,Antonio Carlos (14797484),Antonio Carlos,14797484,CPT,4500,PHI vs ORL 08:00PM ET,ORL,2.14
D,Alex De John (14797485),Alex De John,14797485,CPT,4500,PHI vs ORL 08:00PM ET,ORL,0
M,Joey Dezart (14797486),Joey Dezart,14797486,CPT,4500,PHI vs ORL 08:00PM ET,ORL,0
D,Rodrigo Schlegel (14797487),Rodrigo Schlegel,14797487,CPT,4500,PHI vs ORL 08:00PM ET,ORL,2.2
M,Cole Turner (14797488),Cole Turner,14797488,CPT,4500,PHI vs ORL 08:00PM ET,PHI,0
F,Andrew Wooten (14797412),Andrew Wooten,14797412,FLEX,4200,PHI vs ORL 08:00PM ET,PHI,0
D,Mark McKenzie (14797413),Mark McKenzie,14797413,FLEX,4200,PHI vs ORL 08:00PM ET,PHI,4.60
F,David Loera (14797414),David Loera,14797414,FLEX,4000,PHI vs ORL 08:00PM ET,ORL,0
D,Matt Real (14797415),Matt Real,14797415,FLEX,4000,PHI vs ORL 08:00PM ET,PHI,3.04
M,Jose Martinez (14797416),Jose Martinez,14797416,FLEX,4000,PHI vs ORL 08:00PM ET,PHI,4.25
M/F,Michee Ngalina (14797417),Michee Ngalina,14797417,FLEX,3800,PHI vs ORL 08:00PM ET,PHI,0
F,Santiago Patino (14797418),Santiago Patino,14797418,FLEX,3800,PHI vs ORL 08:00PM ET,ORL,0.02
M,Jordan Bender (14797419),Jordan Bender,14797419,FLEX,3800,PHI vs ORL 08:00PM ET,ORL,0
M/F, Robinho (14797420), Robinho,14797420,FLEX,3600,PHI vs ORL 08:00PM ET,ORL,3.76
F,Daryl Dike (14797421),Daryl Dike,14797421,FLEX,3600,PHI vs ORL 08:00PM ET,ORL,0
M,Warren Creavalle (14797422),Warren Creavalle,14797422,FLEX,3600,PHI vs ORL 08:00PM ET,PHI,3.35
D,Jakob Glesnes (14797423),Jakob Glesnes,14797423,FLEX,3600,PHI vs ORL 08:00PM ET,PHI,2.97
