100000 100000
23744 45329 79345
50661 67547 157947
48107 96785 8753
12253 9231 114377
55736 56242 35836
84734 69476 70878
69258 81900 76061
26451 49958 158038
95919 57756 13786
78352 53413 89057
45429 88310 97139
80489 6312 19592
31444 29261 69710
37176 15074 61300
39078 84099 172032
34533 91243 37974
68594 88596 94111
31558 91184 78084
94781 94434 132993
87495 18008 104787
68193 53481 159532
25008 70636 197503
91845 16175 135389
98115 22601 4917
73649 32220 142634
96600 34535 69580
14882 42597 161144
3568 35464 157895
56756 93038 171934
93556 38966 22153
3052 85560 121655
94350 14122 166025
11903 66968 186488
88451 97863 1039
71072 46705 17947
56554 83863 138520
65985 5165 161529
5719 15893 199303
44412 20141 3607
51030 36775 73159
53036 75039 149579
40796 8582 27364
27244 33894 74965
64905 63875 17385
42337 89431 108394
90882 76917 2923
19800 66382 67616
78166 93542 153774
68675 18589 199521
1400 16637 16777
58916 74570 131323
89777 44692 176244
60965 84146 40879
58252 96166 10130
20614 12159 105923
97383 27752 45100
35095 74260 83741
25092 53357 19896
8661 42619 197175
70763 62912 50426
8449 94181 82229
58719 50046 187438
98098 41068 102513
64405 8677 31630
85224 35501 38563
57695 38544 99046
37725 76610 40609
50991 22411 154661
38917 98406 155848
11569 37339 55170
75012 32385 104669
50293 11671 136640
71111 1103 180
84547 95080 126036
26621 6306 161517
64156 48044 81714
40879 50410 186695
44044 7391 101774
91312 11056 41687
38583 94354 142497
91189 48106 79149
30501 72400 25519
1464 17089 181951
86075 76919 127633
44251 85924 31769
22123 85877 151151
89017 74267 13070
74514 97390 50415
23026 4323 61892
74317 77101 99981
33814 35562 58056
79543 35842 180388
28618 67100 358
53916 13587 73186
25749 48834 149922
99396 37976 149648
9298 14868 164278
87647 10567 83023
22342 96672 105246
75047 81512 40184
10996 23959 114377
95350 82688 162340
28549 99400 197266
17051 12770 5138
13661 64540 86237
49183 1974 86811
77913 35502 180743
19159 66851 126252
59312 28840 18206
38115 64493 163392
75664 66365 90363
52746 31713 69822
83843 14249 199393
10101 19205 194924
88467 27023 23817
14303 88834 192127
93950 61681 197186
23932 10407 47946
59620 16392 176423
68192 86871 100532
59550 99703 93829
46676 60711 30802
7656 21502 77886
45470 56608 9619
16751 83847 121955
34625 48527 54691
62344 81719 190243
99571 99304 56909
96762 54753 109699
14035 27195 110592
51658 2541 131266
15654 26426 163056
81101 90131 53849
13929 56253 165280
84905 44944 162397
18787 46820 129380
58507 62683 41069
34662 76656 3488
15430 88334 92002
72947 81098 173139
68840 58343 79289
60190 66500 45613
19382 59477 63991
19859 66160 186541
55371 43498 122555
93793 492 180364
29707 6724 112699
75300 64591 147305
96989 17048 109597
79804 86821 190884
25281 56792 151720
80247 35002 99392
86564 41423 130100
5527 27241 136992
45605 77770 104607
73960 47397 14010
4153 56632 160573
69239 44998 66436
84467 33193 189447
9941 81617 24263
27584 48202 106058
49229 92933 143949
76686 4530 34374
8860 520 66131
61661 8620 161908
3698 70926 16777
96584 12742 33839
63968 58829 14960
30283 5953 168994
88135 235 11050
12235 40882 49645
65048 84148 158338
26096 29943 167440
66532 71099 115583
98510 3027 1249
18704 3645 85475
