1,3,15,18,19,,,,,,
2,7,8,17,23,25,30,,,,
,,,,,,,,,,
Low,0,,,,,,,,,
High,5,,,,,,,,,
partX,2,,,,,,,,,
partY,4,,,,,,,,,
,,1,3,,15,18,19,,,
2,7,8,17,,23,25,30,,,
,,,,,,,,,,
X1 < Y2,,,,,,,,,,
X2 > Y1,,,,,,,,,,
,,,,,,,,,,
low,3,,,,,,,,,
high,5,,,,,,,,,
partX,4,,,,,,,,,
partY,2,,,,,,,,,
,,,,,,,,,,
1,3,15,18,,19,,,,,
,,2,7,,8,17,23,25,30,
X1 > Y2,,,,,,,,,,
X2 < Y1,,,,,,,,,,
low,3,,,,,,,,,
high,4,,,,,,,,,
partX,3,,,,,,,,,
partY,3,,,,,,,,,
,1,3,15,,18,19,,,,
,2,7,8,,17,23,25,30,,
X1 < Y2,,,,,,,,,,
X2 < Y1,,,,,,,,,,
"Median = (max(8,15)+min(17,18))/2 = 16",,,,,,,,,,
,,,,,,,,,,
1,2,3,4,5,6,7,8,,,
9,10,11,12,,,,,,,
low,0,,,,,,,,,
high,4,,,,,,,,,
partX,4,,,,,,,,,
partY,2,,,,,,,,,
,,,,,,,,,,
1,2,3,4,,5,6,7,8,,
,,9,10,,11,12,,,,
X1 < Y2,,,,,,,,,,
X2 > Y1,,,,,,,,,,
low,0,,,,,,,,,
high,1,,,,,,,,,
partX,6,,,,,,,,,
partY,0,,,,,,,,,
1,2,3,4,5,6,,7,8,,
,,,,,,,9,10,11,12
