Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,
F,Michel Pereira (13334420),Michel Pereira,13334420,F,9500,Connelly@Pereira 09/14/2019 05:00PM ET,Pereira,103,-590,0
F,Louis Smolka (13334414),Louis Smolka,13334414,F,9200,MacDonald@Smolka 09/14/2019 05:00PM ET,Smolka,68.04,-278,0
F,Antonio Carlos Junior (13334402),Antonio Carlos Junior,13334402,F,9100,Carlos Junior@Hall 09/14/2019 05:00PM ET,Carlos Junior,70.27,-240,0
F,Justin Gaethje (13334412),Justin Gaethje,13334412,F,9000,Cerrone@Gaethje 09/14/2019 05:00PM ET,Gaethje,90.8,-186,0
F,Brad Katona (13334424),Brad Katona,13334424,F,8900,Azure@Katona 09/14/2019 05:00PM ET,Katona,56.17,-167,0
F,Austin Hubbard (13334418),Austin Hubbard,13334418,F,8800,Hubbard@Prepolec 09/14/2019 05:00PM ET,Hubbard,22,-130,0
F,Jordan Griffin (13334426),Jordan Griffin,13334426,F,8700,Griffin@Skelly 09/14/2019 05:00PM ET,Griffin,33,-150,0
F,Miles Johns (13334416),Miles Johns,13334416,F,8600,Johns@Smith 09/14/2019 05:00PM ET,Johns,0,-130,0
F,Nikita Krylov (13334404),Nikita Krylov,13334404,F,8500,Krylov@Teixeira 09/14/2019 05:00PM ET,Krylov,73,-125,0
F,Marcin Tybura (13334408),Marcin Tybura,13334408,F,8400,Sakai@Tybura 09/14/2019 05:00PM ET,Tybura,63.31,1,0
F,Jeff Hughes (13334406),Jeff Hughes,13334406,F,8300,Duffee@Hughes 09/14/2019 05:00PM ET,Hughes,33,-125,0
F,Jimmy Crute (13334410),Jimmy Crute,13334410,F,8200,Cirkunov@Crute 09/14/2019 05:00PM ET,Crute,101.25,1,0
F,Misha Cirkunov (13334411),Misha Cirkunov,13334411,F,8000,Cirkunov@Crute 09/14/2019 05:00PM ET,Cirkunov,68.88,-118,0
F,Todd Duffee (13334407),Todd Duffee,13334407,F,7900,Duffee@Hughes 09/14/2019 05:00PM ET,Duffee,69.2,100,0
F,Augusto Sakai (13334409),Augusto Sakai,13334409,F,7800,Sakai@Tybura 09/14/2019 05:00PM ET,Sakai,79.75,-118,0
F,Glover Teixeira (13334405),Glover Teixeira,13334405,F,7700,Krylov@Teixeira 09/14/2019 05:00PM ET,Teixeira,81.91,1,0
F,Cole Smith (13334417),Cole Smith,13334417,F,7600,Johns@Smith 09/14/2019 05:00PM ET,Smith,65,105,0
F,Chas Skelly (13334427),Chas Skelly,13334427,F,7500,Griffin@Skelly 09/14/2019 05:00PM ET,Skelly,66.55,120,0
F,Kyle Prepolec (13334419),Kyle Prepolec,13334419,F,7400,Hubbard@Prepolec 09/14/2019 05:00PM ET,Prepolec,26,105,0
F,Hunter Azure (13334425),Hunter Azure,13334425,F,7300,Azure@Katona 09/14/2019 05:00PM ET,Azure,0,135,0
F,Donald Cerrone (13334413),Donald Cerrone,13334413,F,7200,Cerrone@Gaethje 09/14/2019 05:00PM ET,Cerrone,81.59,150,0
F,Uriah Hall (13334403),Uriah Hall,13334403,F,7100,Carlos Junior@Hall 09/14/2019 05:00PM ET,Hall,57.61,185,0
F,Ryan MacDonald (13334415),Ryan MacDonald,13334415,F,7000,MacDonald@Smolka 09/14/2019 05:00PM ET,MacDonald,7.5,215,0
F,Tristan Connelly (13334421),Tristan Connelly,13334421,F,6700,Connelly@Pereira 09/14/2019 05:00PM ET,Connelly,0,400,0
