Entry ID,Contest Name,Contest ID,Entry Fee,F,F,F,F,F,F,,Instructions,,,,,,,,
1642499908,MMA $25K Sprawl [20 Entry Max],77463055,$4,Rostem Akman (13492866),Callan Potter (13492868),Yorgan De Castro (13492860),Khalid Taha (13492873),Tai Tuivasa (13492857),Megan Anderson (13492871),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1642499909,MMA $25K Sprawl [20 Entry Max],77463055,$4,Callan Potter (13492868),Al Iaquinta (13492864),Luke Jumeau (13492862),Brad Riddell (13492869),Tai Tuivasa (13492857),Megan Anderson (13492871),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1642499910,MMA $25K Sprawl [20 Entry Max],77463055,$4,Zarah Fairn dos Santos (13492872),Bruno Silva (13492874),Dan Hooker (13492863),Maki Pitolo (13492867),Jake Matthews (13492865),Tai Tuivasa (13492857),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1642499911,MMA $25K Sprawl [20 Entry Max],77463055,$4,Nadia Kassem (13492856),Al Iaquinta (13492864),Israel Adesanya (13492853),Dhiego Lima (13492861),Maki Pitolo (13492867),Megan Anderson (13492871),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1642499912,MMA $25K Sprawl [20 Entry Max],77463055,$4,Serghei Spivac (13492858),Luke Jumeau (13492862),Robert Whittaker (13492854),Ji Yeon Kim (13492855),Maki Pitolo (13492867),Megan Anderson (13492871),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1642499913,MMA $25K Sprawl [20 Entry Max],77463055,$4,Nadia Kassem (13492856),Yorgan De Castro (13492860),Israel Adesanya (13492853),Dhiego Lima (13492861),Khalid Taha (13492873),Tai Tuivasa (13492857),,,,,,,,,,
1642499914,MMA $25K Sprawl [20 Entry Max],77463055,$4,Callan Potter (13492868),Bruno Silva (13492874),Yorgan De Castro (13492860),Ji Yeon Kim (13492855),Tai Tuivasa (13492857),Megan Anderson (13492871),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1642499915,MMA $25K Sprawl [20 Entry Max],77463055,$4,Zarah Fairn dos Santos (13492872),Jamie Mullarkey (13492870),Luke Jumeau (13492862),Maki Pitolo (13492867),Jake Matthews (13492865),Tai Tuivasa (13492857),,F,Megan Anderson (13492871),Megan Anderson,13492871,F,9400,Anderson@Fairn 10/05/2019 08:00PM ET,Anderson,37
1642499916,MMA $25K Sprawl [20 Entry Max],77463055,$4,Serghei Spivac (13492858),Callan Potter (13492868),Dan Hooker (13492863),Khalid Taha (13492873),Jake Matthews (13492865),Megan Anderson (13492871),,F,Tai Tuivasa (13492857),Tai Tuivasa,13492857,F,9300,Spivac@Tuivasa 10/05/2019 08:00PM ET,Tuivasa,66
1642499917,MMA $25K Sprawl [20 Entry Max],77463055,$4,Rostem Akman (13492866),Jamie Mullarkey (13492870),Yorgan De Castro (13492860),Ji Yeon Kim (13492855),Tai Tuivasa (13492857),Megan Anderson (13492871),,F,Jake Matthews (13492865),Jake Matthews,13492865,F,9100,Akman@Matthews 10/05/2019 08:00PM ET,Matthews,64.54
