Entry ID,Contest Name,Contest ID,Entry Fee,F,F,F,F,F,F,,Instructions,,,,,,,,
1643279340,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Rostem Akman (13518290),Al Iaquinta (13518276),Yorgan De Castro (13518289),Dhiego Lima (13518280),Tai Tuivasa (13518283),Megan Anderson (13518282),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1643297727,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Serghei Spivac (13518288),Jamie Mullarkey (13518293),Dhiego Lima (13518280),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1643297728,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Zarah Fairn (13518287),Jamie Mullarkey (13518293),Yorgan De Castro (13518289),Maki Pitolo (13518285),Jake Matthews (13518279),Tai Tuivasa (13518283),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1643297729,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Rostem Akman (13518290),Callan Potter (13518286),Yorgan De Castro (13518289),Dan Hooker (13518278),Tai Tuivasa (13518283),Megan Anderson (13518282),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1643297730,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Zarah Fairn (13518287),Rostem Akman (13518290),Callan Potter (13518286),Dhiego Lima (13518280),Dan Hooker (13518278),Tai Tuivasa (13518283),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1643297731,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Zarah Fairn (13518287),Serghei Spivac (13518288),Luke Jumeau (13518281),Dan Hooker (13518278),Maki Pitolo (13518285),Jake Matthews (13518279),,,,,,,,,,
1643297732,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Jamie Mullarkey (13518293),Luke Jumeau (13518281),Israel Adesanya (13518284),Justin Tafa (13518291),Maki Pitolo (13518285),Tai Tuivasa (13518283),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1643297733,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Serghei Spivac (13518288),Luke Jumeau (13518281),Yorgan De Castro (13518289),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),,F,Megan Anderson (13518282),Megan Anderson,13518282,F,9400,Anderson@Fairn 10/05/2019 08:00PM ET,Anderson,37
1643297734,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Jamie Mullarkey (13518293),Al Iaquinta (13518276),Luke Jumeau (13518281),Robert Whittaker (13518277),Tai Tuivasa (13518283),Megan Anderson (13518282),,F,Tai Tuivasa (13518283),Tai Tuivasa,13518283,F,9300,Spivac@Tuivasa 10/05/2019 08:00PM ET,Tuivasa,66
1643297735,MMA $20K Uppercut [$5K to 1st] (Televised),77725449,$10,Serghei Spivac (13518288),Callan Potter (13518286),Jamie Mullarkey (13518293),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),,F,Jake Matthews (13518279),Jake Matthews,13518279,F,9100,Akman@Matthews 10/05/2019 08:00PM ET,Matthews,64.54
