Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,
F,Megan Anderson (13492871),Megan Anderson,13492871,F,9400,Anderson@Fairn dos Santos 10/05/2019 06:45PM ET,Anderson,37,-445,106,-455,-430,-450,1
F,Tai Tuivasa (13492857),Tai Tuivasa,13492857,F,9300,Spivac@Tuivasa 10/05/2019 06:45PM ET,Tuivasa,66,-390,10.5,-400,-370,-400,0
F,Jake Matthews (13492865),Jake Matthews,13492865,F,9100,Akman@Matthews 10/05/2019 06:45PM ET,Matthews,64.54,-285,59.5,-286,-280,-290,1
F,Maki Pitolo (13492867),Maki Pitolo,13492867,F,9000,Pitolo@Potter 10/05/2019 06:45PM ET,Pitolo,0,-278,38,-265,-245,-325,0
F,Khalid Taha (13492873),Khalid Taha,13492873,F,8900,Silva@Taha 10/05/2019 06:45PM ET,Taha,64.25,-260,0,-240,-280,-260,1
F,Ji Yeon Kim (13492855),Ji Yeon Kim,13492855,F,8700,Kassem@Kim 10/05/2019 06:45PM ET,Kim,44.25,-176,0,-177,-172,-180,1
F,Brad Riddell (13492869),Brad Riddell,13492869,F,8600,Mullarkey@Riddell 10/05/2019 06:45PM ET,Riddell,0,-161,0,-162,-161,-160,1
F,Dan Hooker (13492863),Dan Hooker,13492863,F,8500,Hooker@Iaquinta 10/05/2019 06:45PM ET,Hooker,79,-165,0,-162,-162,-170,1
F,Dhiego Lima (13492861),Dhiego Lima,13492861,F,8400,Jumeau@Lima 10/05/2019 06:45PM ET,Lima,39.19,-163,0,-150,-178,-160,1
F,Justin Tafa (13492859),Justin Tafa,13492859,F,8300,De Castro@Tafa 10/05/2019 06:45PM ET,Tafa,0,-122,0,-118,-122,-125,0
F,Robert Whittaker (13492854),Robert Whittaker,13492854,F,8200,Adesanya@Whittaker 10/05/2019 06:45PM ET,Whittaker,81.69,94,0,94,-116,-115,0
F,Israel Adesanya (13492853),Israel Adesanya,13492853,F,8000,Adesanya@Whittaker 10/05/2019 06:45PM ET,Adesanya,95.58,-45,110,-115,94,-115,1
F,Yorgan De Castro (13492860),Yorgan De Castro,13492860,F,7900,De Castro@Tafa 10/05/2019 06:45PM ET,De Castro,0,96,0,94,100,95,1
F,Luke Jumeau (13492862),Luke Jumeau,13492862,F,7800,Jumeau@Lima 10/05/2019 06:45PM ET,Jumeau,47,131,0,120,144,130,0
F,Al Iaquinta (13492864),Al Iaquinta,13492864,F,7700,Hooker@Iaquinta 10/05/2019 06:45PM ET,Iaquinta,70.5,134,0,130,132,140,0
F,Jamie Mullarkey (13492870),Jamie Mullarkey,13492870,F,7600,Mullarkey@Riddell 10/05/2019 06:45PM ET,Mullarkey,0,125,0,130,114,130,0
F,Nadia Kassem (13492856),Nadia Kassem,13492856,F,7500,Kassem@Kim 10/05/2019 06:45PM ET,Kassem,35.75,143,0,140,140,150,0
F,Bruno Silva (13492874),Bruno Silva,13492874,F,7300,Silva@Taha 10/05/2019 06:45PM ET,Silva,0,201,0,188,215,200,0
F,Callan Potter (13492868),Callan Potter,13492868,F,7200,Pitolo@Potter 10/05/2019 06:45PM ET,Potter,1.5,212,0,200,192,245,1
F,Rostem Akman (13492866),Rostem Akman,13492866,F,7100,Akman@Matthews 10/05/2019 06:45PM ET,Akman,32.5,218,0,220,215,220,0
F,Serghei Spivac (13492858),Serghei Spivac,13492858,F,6900,Spivac@Tuivasa 10/05/2019 06:45PM ET,Spivac,0.5,290,0,300,270,300,1
F,Zarah Fairn dos Santos (13492872),Zarah Fairn dos Santos,13492872,F,6800,Anderson@Fairn dos Santos 10/05/2019 06:45PM ET,Fairn dos Santos,0,323,0,333,310,325,0
