Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,,,
F,Megan Anderson (13518282),Megan Anderson,13518282,F,9400,Anderson@Fairn 10/05/2019 08:00PM ET,Anderson,37,-445,106,-455,-430,-450
F,Tai Tuivasa (13518283),Tai Tuivasa,13518283,F,9300,Spivac@Tuivasa 10/05/2019 08:00PM ET,Tuivasa,66,-390,10.5,-400,-370,-400
F,Jake Matthews (13518279),Jake Matthews,13518279,F,9100,Akman@Matthews 10/05/2019 08:00PM ET,Matthews,64.54,-285,59.5,-286,-280,-290
F,Maki Pitolo (13518285),Maki Pitolo,13518285,F,9000,Pitolo@Potter 10/05/2019 08:00PM ET,Pitolo,0,-278,38,-265,-245,-325
F,Brad Riddell (13518292),Brad Riddell,13518292,F,8600,Mullarkey@Riddell 10/05/2019 08:00PM ET,Riddell,0,-161,100.5,-162,-161,-160
F,Dan Hooker (13518278),Dan Hooker,13518278,F,8500,Hooker@Iaquinta 10/05/2019 08:00PM ET,Hooker,79,-165,95,-162,-162,-170
F,Dhiego Lima (13518280),Dhiego Lima,13518280,F,8400,Jumeau@Lima 10/05/2019 08:00PM ET,Lima,39.19,-163,56,-150,-178,-160
F,Justin Tafa (13518291),Justin Tafa,13518291,F,8300,De Castro@Tafa 10/05/2019 08:00PM ET,Tafa,0,-122,3,-118,-122,-125
F,Robert Whittaker (13518277),Robert Whittaker,13518277,F,8200,Adesanya@Whittaker 10/05/2019 08:00PM ET,Whittaker,81.69,-46,16,94,-116,-115
F,Israel Adesanya (13518284),Israel Adesanya,13518284,F,8000,Adesanya@Whittaker 10/05/2019 08:00PM ET,Adesanya,95.58,-45,110,-115,94,-115
F,Yorgan De Castro (13518289),Yorgan De Castro,13518289,F,7900,De Castro@Tafa 10/05/2019 08:00PM ET,De Castro,0,96,102,94,100,95
F,Luke Jumeau (13518281),Luke Jumeau,13518281,F,7800,Jumeau@Lima 10/05/2019 08:00PM ET,Jumeau,47,131,12,120,144,130
F,Al Iaquinta (13518276),Al Iaquinta,13518276,F,7700,Hooker@Iaquinta 10/05/2019 08:00PM ET,Iaquinta,70.5,134,18.5,130,132,140
F,Jamie Mullarkey (13518293),Jamie Mullarkey,13518293,F,7600,Mullarkey@Riddell 10/05/2019 08:00PM ET,Mullarkey,0,125,44,130,114,130
F,Callan Potter (13518286),Callan Potter,13518286,F,7200,Pitolo@Potter 10/05/2019 08:00PM ET,Potter,1.5,212,86,200,192,245
F,Rostem Akman (13518290),Rostem Akman,13518290,F,7100,Akman@Matthews 10/05/2019 08:00PM ET,Akman,32.5,218,7.5,220,215,220
F,Serghei Spivac (13518288),Serghei Spivac,13518288,F,6900,Spivac@Tuivasa 10/05/2019 08:00PM ET,Spivac,0.5,290,129.5,300,270,300
F,Zarah Fairn (13518287),Zarah Fairn,13518287,F,6800,Anderson@Fairn 10/05/2019 08:00PM ET,Fairn,0,323,6,333,310,325
