Rostem Akman (13518290),Al Iaquinta (13518276),Yorgan De Castro (13518289),Dhiego Lima (13518280),Tai Tuivasa (13518283),Megan Anderson (13518282),49800,-550,0
Serghei Spivac (13518288),Jamie Mullarkey (13518293),Dhiego Lima (13518280),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),49900,-643,0
Zarah Fairn (13518287),Jamie Mullarkey (13518293),Yorgan De Castro (13518289),Maki Pitolo (13518285),Jake Matthews (13518279),Tai Tuivasa (13518283),49700,-409,0
Rostem Akman (13518290),Callan Potter (13518286),Yorgan De Castro (13518289),Dan Hooker (13518278),Tai Tuivasa (13518283),Megan Anderson (13518282),49400,-474,0
Zarah Fairn (13518287),Rostem Akman (13518290),Callan Potter (13518286),Dhiego Lima (13518280),Dan Hooker (13518278),Tai Tuivasa (13518283),47300,35,0
Zarah Fairn (13518287),Serghei Spivac (13518288),Luke Jumeau (13518281),Dan Hooker (13518278),Maki Pitolo (13518285),Jake Matthews (13518279),48100,16,0
Jamie Mullarkey (13518293),Luke Jumeau (13518281),Israel Adesanya (13518284),Justin Tafa (13518291),Maki Pitolo (13518285),Tai Tuivasa (13518283),50000,-579,0
Serghei Spivac (13518288),Luke Jumeau (13518281),Yorgan De Castro (13518289),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),49600,-378,0
Jamie Mullarkey (13518293),Al Iaquinta (13518276),Luke Jumeau (13518281),Robert Whittaker (13518277),Tai Tuivasa (13518283),Megan Anderson (13518282),50000,-491,0
Serghei Spivac (13518288),Callan Potter (13518286),Jamie Mullarkey (13518293),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),48700,-268,0
Serghei Spivac (13518288),Rostem Akman (13518290),Yorgan De Castro (13518289),Dan Hooker (13518278),Maki Pitolo (13518285),Megan Anderson (13518282),48800,-284,0
Zarah Fairn (13518287),Luke Jumeau (13518281),Yorgan De Castro (13518289),Maki Pitolo (13518285),Jake Matthews (13518279),Tai Tuivasa (13518283),49900,-403,0
Zarah Fairn (13518287),Yorgan De Castro (13518289),Dhiego Lima (13518280),Dan Hooker (13518278),Jake Matthews (13518279),Tai Tuivasa (13518283),50000,-584,0
Serghei Spivac (13518288),Al Iaquinta (13518276),Yorgan De Castro (13518289),Maki Pitolo (13518285),Jake Matthews (13518279),Megan Anderson (13518282),50000,-488,0
Callan Potter (13518286),Jamie Mullarkey (13518293),Israel Adesanya (13518284),Dan Hooker (13518278),Tai Tuivasa (13518283),Megan Anderson (13518282),50000,-708,0
Serghei Spivac (13518288),Yorgan De Castro (13518289),Robert Whittaker (13518277),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),50000,-555,0
Jamie Mullarkey (13518293),Yorgan De Castro (13518289),Robert Whittaker (13518277),Dhiego Lima (13518280),Dan Hooker (13518278),Megan Anderson (13518282),50000,-598,0
Zarah Fairn (13518287),Callan Potter (13518286),Al Iaquinta (13518276),Dhiego Lima (13518280),Jake Matthews (13518279),Tai Tuivasa (13518283),48500,-169,0
Zarah Fairn (13518287),Callan Potter (13518286),Yorgan De Castro (13518289),Dan Hooker (13518278),Jake Matthews (13518279),Tai Tuivasa (13518283),48800,-209,0
Zarah Fairn (13518287),Callan Potter (13518286),Dhiego Lima (13518280),Dan Hooker (13518278),Jake Matthews (13518279),Tai Tuivasa (13518283),49300,-468,0
Rostem Akman (13518290),Luke Jumeau (13518281),Yorgan De Castro (13518289),Dan Hooker (13518278),Tai Tuivasa (13518283),Megan Anderson (13518282),50000,-555,0
Zarah Fairn (13518287),Rostem Akman (13518290),Yorgan De Castro (13518289),Dan Hooker (13518278),Maki Pitolo (13518285),Tai Tuivasa (13518283),48600,-196,0
Zarah Fairn (13518287),Rostem Akman (13518290),Dhiego Lima (13518280),Dan Hooker (13518278),Maki Pitolo (13518285),Tai Tuivasa (13518283),49100,-455,0
Zarah Fairn (13518287),Serghei Spivac (13518288),Yorgan De Castro (13518289),Dan Hooker (13518278),Maki Pitolo (13518285),Jake Matthews (13518279),48200,-19,0
Rostem Akman (13518290),Al Iaquinta (13518276),Luke Jumeau (13518281),Brad Riddell (13518292),Tai Tuivasa (13518283),Megan Anderson (13518282),49900,-513,0
Al Iaquinta (13518276),Luke Jumeau (13518281),Robert Whittaker (13518277),Justin Tafa (13518291),Brad Riddell (13518292),Megan Anderson (13518282),50000,-509,0
Rostem Akman (13518290),Luke Jumeau (13518281),Israel Adesanya (13518284),Justin Tafa (13518291),Tai Tuivasa (13518283),Megan Anderson (13518282),49900,-653,0
Serghei Spivac (13518288),Callan Potter (13518286),Luke Jumeau (13518281),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),48900,-262,0
Rostem Akman (13518290),Al Iaquinta (13518276),Israel Adesanya (13518284),Dhiego Lima (13518280),Tai Tuivasa (13518283),Megan Anderson (13518282),49900,-691,0
Serghei Spivac (13518288),Callan Potter (13518286),Al Iaquinta (13518276),Dhiego Lima (13518280),Jake Matthews (13518279),Megan Anderson (13518282),48700,-257,0
Serghei Spivac (13518288),Al Iaquinta (13518276),Dhiego Lima (13518280),Brad Riddell (13518292),Maki Pitolo (13518285),Megan Anderson (13518282),50000,-623,0
Callan Potter (13518286),Al Iaquinta (13518276),Luke Jumeau (13518281),Brad Riddell (13518292),Tai Tuivasa (13518283),Megan Anderson (13518282),50000,-519,0
Serghei Spivac (13518288),Rostem Akman (13518290),Al Iaquinta (13518276),Dhiego Lima (13518280),Maki Pitolo (13518285),Megan Anderson (13518282),48500,-244,0
Callan Potter (13518286),Luke Jumeau (13518281),Yorgan De Castro (13518289),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),49900,-456,0
Zarah Fairn (13518287),Jamie Mullarkey (13518293),Dhiego Lima (13518280),Dan Hooker (13518278),Jake Matthews (13518279),Tai Tuivasa (13518283),49700,-555,0
Zarah Fairn (13518287),Jamie Mullarkey (13518293),Luke Jumeau (13518281),Maki Pitolo (13518285),Jake Matthews (13518279),Tai Tuivasa (13518283),49600,-374,0
Rostem Akman (13518290),Callan Potter (13518286),Luke Jumeau (13518281),Dan Hooker (13518278),Tai Tuivasa (13518283),Megan Anderson (13518282),49300,-439,0
Serghei Spivac (13518288),Rostem Akman (13518290),Luke Jumeau (13518281),Dan Hooker (13518278),Maki Pitolo (13518285),Megan Anderson (13518282),48700,-249,0
Zarah Fairn (13518287),Rostem Akman (13518290),Jamie Mullarkey (13518293),Dan Hooker (13518278),Maki Pitolo (13518285),Tai Tuivasa (13518283),48300,-167,0
Rostem Akman (13518290),Jamie Mullarkey (13518293),Yorgan De Castro (13518289),Dan Hooker (13518278),Tai Tuivasa (13518283),Megan Anderson (13518282),49800,-561,0
Serghei Spivac (13518288),Rostem Akman (13518290),Callan Potter (13518286),Dhiego Lima (13518280),Dan Hooker (13518278),Megan Anderson (13518282),47500,-53,0
Jamie Mullarkey (13518293),Al Iaquinta (13518276),Israel Adesanya (13518284),Justin Tafa (13518291),Maki Pitolo (13518285),Megan Anderson (13518282),50000,-631,0
Rostem Akman (13518290),Jamie Mullarkey (13518293),Dhiego Lima (13518280),Dan Hooker (13518278),Maki Pitolo (13518285),Megan Anderson (13518282),50000,-708,0
Zarah Fairn (13518287),Callan Potter (13518286),Jamie Mullarkey (13518293),Dan Hooker (13518278),Jake Matthews (13518279),Tai Tuivasa (13518283),48500,-180,0
Callan Potter (13518286),Al Iaquinta (13518276),Israel Adesanya (13518284),Dhiego Lima (13518280),Tai Tuivasa (13518283),Megan Anderson (13518282),50000,-697,0
Serghei Spivac (13518288),Jamie Mullarkey (13518293),Al Iaquinta (13518276),Maki Pitolo (13518285),Jake Matthews (13518279),Megan Anderson (13518282),49700,-459,0
Callan Potter (13518286),Jamie Mullarkey (13518293),Luke Jumeau (13518281),Dan Hooker (13518278),Tai Tuivasa (13518283),Megan Anderson (13518282),49800,-532,0
Zarah Fairn (13518287),Rostem Akman (13518290),Luke Jumeau (13518281),Dan Hooker (13518278),Maki Pitolo (13518285),Tai Tuivasa (13518283),48500,-161,0
Serghei Spivac (13518288),Jamie Mullarkey (13518293),Luke Jumeau (13518281),Maki Pitolo (13518285),Jake Matthews (13518279),Megan Anderson (13518282),49800,-462,0
Zarah Fairn (13518287),Callan Potter (13518286),Luke Jumeau (13518281),Dan Hooker (13518278),Jake Matthews (13518279),Tai Tuivasa (13518283),48700,-174,0
Serghei Spivac (13518288),Callan Potter (13518286),Dhiego Lima (13518280),Dan Hooker (13518278),Jake Matthews (13518279),Megan Anderson (13518282),49500,-556,0
Jamie Mullarkey (13518293),Al Iaquinta (13518276),Yorgan De Castro (13518289),Dhiego Lima (13518280),Maki Pitolo (13518285),Megan Anderson (13518282),50000,-531,0
