Andre Ewell (13543586),Max Griffin (13543573),Niko Price (13543589),Eryk Anders (13543575),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),50000,-990,0
Andre Ewell (13543586),Alex Morono (13543574),Niko Price (13543589),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),50000,-738,0
Andre Ewell (13543586),Amanda Ribas (13543572),Niko Price (13543589),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),49900,-736,0
Andre Ewell (13543586),James Vick (13543590),Eryk Anders (13543575),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),49900,-728,0
Andre Ewell (13543586),Cub Swanson (13543580),Max Griffin (13543573),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),50000,-765,0
Andre Ewell (13543586),Devin Clark (13543568),Max Griffin (13543573),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),50000,-909,0
Andre Ewell (13543586),Lauren Mueller (13543570),Mackenzie Dern (13543571),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),50000,-901,0
Andre Ewell (13543586),Matt Frevola (13543588),Niko Price (13543589),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),50000,-909,0
Tim Elliott (13543578),Andre Ewell (13543586),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),50000,-899,0
Hector Aldana (13543584),Andre Ewell (13543586),Mike Davis (13543581),Kron Gracie (13543579),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49900,-882,0
Andrew Sanchez (13543592),Andre Ewell (13543586),Mike Davis (13543581),JJ Aldrich (13543569),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),49900,-660,0
Andre Ewell (13543586),Amanda Ribas (13543572),Alex Morono (13543574),Mike Davis (13543581),JJ Aldrich (13543569),Joanna Jedrzejczyk (13543565),49700,-463,0
Andre Ewell (13543586),Gerald Meerschaert (13543576),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Miguel Baeza (13543583),50000,-513,0
Andre Ewell (13543586),Cub Swanson (13543580),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49900,-634,0
Andre Ewell (13543586),Devin Clark (13543568),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49800,-643,0
Andre Ewell (13543586),Lauren Mueller (13543570),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49700,-633,0
Andre Ewell (13543586),Matt Frevola (13543588),Alex Morono (13543574),Mike Davis (13543581),Joanna Jedrzejczyk (13543565),Marvin Vettori (13543591),49600,-633,0
