Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,
F,Shane Burgos (13686587),Shane Burgos,13686587,F,9300,Amirkhani@Burgos 11/02/2019 08:00PM ET,Burgos,89.5,0.699940582293524,0,-240,-230,-230,0.705882352941176,0.696969696969697,0.696969696969697
F,Kelvin Gastelum (13686579),Kelvin Gastelum,13686579,F,9200,Gastelum@Till 11/02/2019 08:00PM ET,Gastelum,80.47,0.701448195741435,0,-240,-230,-235,0.705882352941176,0.696969696969697,0.701492537313433
F,Gregor Gillespie (13686586),Gregor Gillespie,13686586,F,9100,Gillespie@Lee 11/02/2019 08:00PM ET,Gillespie,125.25,0.610028498532432,0,-167,-148,-155,0.625468164794007,0.596774193548387,0.607843137254902
F,Johnny Walker (13686590),Johnny Walker,13686590,F,9000,Anderson@Walker 11/02/2019 08:00PM ET,Walker,103.5,0.628242474684422,0,-167,-170,-170,0.625468164794007,0.62962962962963,0.62962962962963
F,Jorge Masvidal (13686576),Jorge Masvidal,13686576,F,8800,Diaz@Masvidal 11/02/2019 08:00PM ET,Masvidal,73.44,0.620616618072089,0,-159,-162,-170,0.613899613899614,0.618320610687023,0.62962962962963
F,Jairzinho Rozenstruik (13686591),Jairzinho Rozenstruik,13686591,F,8700,Arlovski@Rozenstruik 11/02/2019 08:00PM ET,Rozenstruik,98.25,0.616268419125296,0,-155,-162,-165,0.607843137254902,0.618320610687023,0.622641509433962
F,Stephen Thompson (13686578),Stephen Thompson,13686578,F,8500,Luque@Thompson 11/02/2019 08:00PM ET,Thompson,73.07,0.541258662053769,0,-118,-116,-120,0.541284403669725,0.537037037037037,0.545454545454545
F,Edmen Shahbazyan (13686589),Edmen Shahbazyan,13686589,F,8300,Shahbazyan@Tavares 11/02/2019 08:00PM ET,Shahbazyan,101.33,0.609842321745981,0,-155,-154,-160,0.607843137254902,0.606299212598425,0.615384615384615
F,Blagoy Ivanov (13686588),Blagoy Ivanov,13686588,F,8200,Ivanov@Lewis 11/02/2019 08:00PM ET,Ivanov,59.33,0.525306978137167,0,-112,-110,-110,0.528301886792453,0.523809523809524,0.523809523809524
F,Derrick Lewis (13686580),Derrick Lewis,13686580,F,8000,Ivanov@Lewis 11/02/2019 08:00PM ET,Lewis,63.59,0.532521985352174,0,-112,-110,-120,0.528301886792453,0.523809523809524,0.545454545454545
F,Brad Tavares (13686577),Brad Tavares,13686577,F,7900,Shahbazyan@Tavares 11/02/2019 08:00PM ET,Tavares,54.71,0.440568309748764,0,125,126,130,0.444444444444444,0.442477876106195,0.434782608695652
F,Vicente Luque (13686585),Vicente Luque,13686585,F,7700,Luque@Thompson 11/02/2019 08:00PM ET,Luque,94.08,0.516058850724756,0,-104,-106,-110,0.509803921568627,0.514563106796116,0.523809523809524
F,Andrei Arlovski (13686574),Andrei Arlovski,13686574,F,7500,Arlovski@Rozenstruik 11/02/2019 08:00PM ET,Arlovski,59.53,0.433670280698894,0,125,132,135,0.444444444444444,0.431034482758621,0.425531914893617
F,Nate Diaz (13686575),Nate Diaz,13686575,F,7400,Diaz@Masvidal 11/02/2019 08:00PM ET,Diaz,77.04,0.427494586040313,0,130,132,140,0.434782608695652,0.431034482758621,0.416666666666667
F,Corey Anderson (13686582),Corey Anderson,13686582,F,7200,Anderson@Walker 11/02/2019 08:00PM ET,Anderson,82.77,0.420788882929058,0,135,138,140,0.425531914893617,0.420168067226891,0.416666666666667
F,Kevin Lee (13686581),Kevin Lee,13686581,F,7100,Gillespie@Lee 11/02/2019 08:00PM ET,Lee,85.27,0.440142269929504,0,135,122,125,0.425531914893617,0.450450450450451,0.444444444444444
F,Darren Till (13686584),Darren Till,13686584,F,7000,Gastelum@Till 11/02/2019 08:00PM ET,Till,55.19,0.350070697087005,0,188,184,185,0.347222222222222,0.352112676056338,0.350877192982456
F,Makwan Amirkhani (13686583),Makwan Amirkhani,13686583,F,6900,Amirkhani@Burgos 11/02/2019 08:00PM ET,Amirkhani,84.08,0.352159251807139,0,188,184,180,0.347222222222222,0.352112676056338,0.357142857142857
