Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Askar Askarov (14111537),Holly Holm (14111521),48700,0.020764,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Ode Osbourne (14111539),Holly Holm (14111521),48600,0.0208393,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Askar Askarov (14111537),Holly Holm (14111521),48500,0.0211167,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Holly Holm (14111521),48400,0.0211933,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Ode Osbourne (14111539),Askar Askarov (14111537),48400,0.0213796,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Askar Askarov (14111537),48200,0.0217428,0
Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Ode Osbourne (14111539),Aleksa Camur (14111531),Holly Holm (14111521),50000,0.0221816,0
Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Askar Askarov (14111537),Aleksa Camur (14111531),Holly Holm (14111521),49900,0.0224769,0
Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Aleksa Camur (14111531),Holly Holm (14111521),49800,0.0225584,0
Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Ode Osbourne (14111539),Askar Askarov (14111537),Aleksa Camur (14111531),49800,0.0227568,0
Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Askar Askarov (14111537),Aleksa Camur (14111531),49600,0.0231433,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Ode Osbourne (14111539),Askar Askarov (14111537),Holly Holm (14111521),49100,0.0237566,0
Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Ode Osbourne (14111539),Askar Askarov (14111537),Holly Holm (14111521),49900,0.0243737,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Holly Holm (14111521),Diego Ferreira (14111517),49000,0.024706,0
Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Askar Askarov (14111537),Holly Holm (14111521),49700,0.0247877,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Holly Holm (14111521),Diego Ferreira (14111517),48800,0.0251256,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Askar Askarov (14111537),Diego Ferreira (14111517),48800,0.0253466,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Ode Osbourne (14111539),Diego Ferreira (14111517),48700,0.0254385,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Askar Askarov (14111537),Diego Ferreira (14111517),48600,0.0257771,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Diego Ferreira (14111517),48500,0.0258706,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Holly Holm (14111521),Conor McGregor (14111515),49400,0.0264523,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Holly Holm (14111521),Conor McGregor (14111515),49200,0.0269016,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Holly Holm (14111521),Nasrat Haqparast (14111527),49300,0.026985,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Askar Askarov (14111537),Conor McGregor (14111515),49200,0.0271381,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Ode Osbourne (14111539),Conor McGregor (14111515),49100,0.0272365,0
Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Askar Askarov (14111537),Aleksa Camur (14111531),Diego Ferreira (14111517),50000,0.0274375,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Holly Holm (14111521),Nasrat Haqparast (14111527),49100,0.0274434,0
Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Aleksa Camur (14111531),Diego Ferreira (14111517),49900,0.027537,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Askar Askarov (14111537),Conor McGregor (14111515),49000,0.0275991,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Askar Askarov (14111537),Nasrat Haqparast (14111527),49100,0.0276847,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Conor McGregor (14111515),48900,0.0276992,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Ode Osbourne (14111539),Nasrat Haqparast (14111527),49000,0.0277851,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Askar Askarov (14111537),Nasrat Haqparast (14111527),48900,0.0281549,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Askar Askarov (14111537),Holly Holm (14111521),Diego Ferreira (14111517),49500,0.0281646,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Nasrat Haqparast (14111527),48800,0.028257,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Ode Osbourne (14111539),Holly Holm (14111521),Diego Ferreira (14111517),49400,0.0282667,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Ode Osbourne (14111539),Askar Askarov (14111537),Diego Ferreira (14111517),49200,0.0289996,0
Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Holly Holm (14111521),Diego Ferreira (14111517),50000,0.0294936,0
Andre Fili (14111524),Aleksei Oleinik (14111530),JJ Aldrich (14111536),Ode Osbourne (14111539),Askar Askarov (14111537),Diego Ferreira (14111517),50000,0.029753,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Askar Askarov (14111537),Holly Holm (14111521),Conor McGregor (14111515),49900,0.0301553,0
Andre Fili (14111524),Aleksei Oleinik (14111530),Sabina Mazo (14111535),Ode Osbourne (14111539),Askar Askarov (14111537),Diego Ferreira (14111517),49800,0.0302583,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Ode Osbourne (14111539),Holly Holm (14111521),Conor McGregor (14111515),49800,0.0302647,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Askar Askarov (14111537),Holly Holm (14111521),Nasrat Haqparast (14111527),49800,0.0307626,0
Justin Ledet (14111532),Andre Fili (14111524),Aleksei Oleinik (14111530),Ode Osbourne (14111539),Holly Holm (14111521),Nasrat Haqparast (14111527),49700,0.0308742,0
