Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,,,,Win/Loss
F,Kai Kara-France (14308910),Kai Kara-France,14308910,F,9300,Kara-France@Nam 02/22/2020 04:00PM ET,Kara-France,75.88,0.718392398277041,0,-265,-225,-280,0.726027397260274,0.692307692307692,0.736842105263158,0
F,Xiaonan Yan (14308904),Xiaonan Yan,14308904,F,9200,Kowalkiewicz@Yan 02/22/2020 04:00PM ET,Yan,83.38,0.719433719433719,0,-250,-250,-270,0.714285714285714,0.714285714285714,0.72972972972973,0
F,Jake Matthews (14308896),Jake Matthews,14308896,F,9100,Matthews@Meek 02/22/2020 04:00PM ET,Matthews,64.12,0.693766743207042,0,-225,-235,-220,0.692307692307692,0.701492537313433,0.6875,0
F,Kenan Song (14308906),Kenan Song,14308906,F,9000,Potter@Song 02/22/2020 04:00PM ET,Song,74.38,0.657626512805329,0,-190,-178,-210,0.655172413793103,0.640287769784173,0.67741935483871,0
F,Angela Hill (14308916),Angela Hill,14308916,F,8900,Hill@Lookboonmee 02/22/2020 04:00PM ET,Hill,60.15,0.650210865790127,0,-190,-178,-190,0.655172413793103,0.640287769784173,0.655172413793103,0
F,Jalin Turner (14308914),Jalin Turner,14308914,F,8800,Culibao@Turner 02/22/2020 04:00PM ET,Turner,48.5,0.68215811965812,0,-200,-225,-220,0.666666666666667,0.692307692307692,0.6875,0
F,Dan Hooker (14308894),Dan Hooker,14308894,F,8700,Felder@Hooker 02/22/2020 04:00PM ET,Hooker,80.23,0.604730781201369,0,-152,-152,-155,0.603174603174603,0.603174603174603,0.607843137254902,0
F,Shana Dobson (14308908),Shana Dobson,14308908,F,8600,Cachoeira@Dobson 02/22/2020 04:00PM ET,Dobson,50.83,0.663991115149679,0,-200,-184,-210,0.666666666666667,0.647887323943662,0.67741935483871,0
F,Marcos Rogerio de Lima (14308898),Marcos Rogerio de Lima,14308898,F,8500,Rogerio de Lima@Sosoli 02/22/2020 04:00PM ET,Rogerio de Lima,61.61,0.59672131147541,0,-150,-144,-150,0.6,0.590163934426229,0.6,0
F,Magomed Mustafaev (14308900),Magomed Mustafaev,14308900,F,8400,Mustafaev@Riddell 02/22/2020 04:00PM ET,Mustafaev,75.75,0.586744102897037,0,-141,-140,-145,0.5850622406639,0.583333333333333,0.591836734693878,0
F,Michal Oleksiejczuk (14308902),Michal Oleksiejczuk,14308902,F,8200,Crute@Oleksiejczuk 02/22/2020 04:00PM ET,Oleksiejczuk,82.62,0.561996779388084,0,-125,-130,-130,0.555555555555556,0.565217391304348,0.565217391304348,0
F,Zubaira Tukhugov (14308912),Zubaira Tukhugov,14308912,F,8100,Aguilar@Tukhugov 02/22/2020 04:00PM ET,Tukhugov,61.9,0.52641614049381,0,-106,-108,-120,0.514563106796116,0.519230769230769,0.545454545454545,0
F,Kevin Aguilar (14308913),Kevin Aguilar,14308913,F,8100,Aguilar@Tukhugov 02/22/2020 04:00PM ET,Aguilar,58.17,0.528108232236673,0,-118,-108,-110,0.541284403669725,0.519230769230769,0.523809523809524,0
F,Jimmy Crute (14308903),Jimmy Crute,14308903,F,8000,Crute@Oleksiejczuk 02/22/2020 04:00PM ET,Crute,72.67,0.490566037735849,0,100,112,100,0.5,0.471698113207547,0.5,0
F,Brad Riddell (14308901),Brad Riddell,14308901,F,7800,Mustafaev@Riddell 02/22/2020 04:00PM ET,Riddell,100.5,0.464438481158387,0,113,118,115,0.469483568075117,0.458715596330275,0.465116279069767,0
F,Ben Sosoli (14308899),Ben Sosoli,14308899,F,7700,Rogerio de Lima@Sosoli 02/22/2020 04:00PM ET,Sosoli,13,0.453180453180453,0,120,122,120,0.454545454545455,0.450450450450451,0.454545454545455,0
F,Priscila Cachoeira (14308909),Priscila Cachoeira,14308909,F,7600,Cachoeira@Dobson 02/22/2020 04:00PM ET,Cachoeira,27.67,0.384199625060474,0,160,156,165,0.384615384615385,0.390625,0.377358490566038,0
F,Paul Felder (14308895),Paul Felder,14308895,F,7500,Felder@Hooker 02/22/2020 04:00PM ET,Felder,63.27,0.44122383252818,0,125,130,125,0.444444444444444,0.434782608695652,0.444444444444444,0
F,Josh Culibao (14308915),Josh Culibao,14308915,F,7400,Culibao@Turner 02/22/2020 04:00PM ET,Culibao,0,0.366462366462367,0,159,186,175,0.386100386100386,0.34965034965035,0.363636363636364,0
F,Loma Lookboonmee (14308917),Loma Lookboonmee,14308917,F,7300,Hill@Lookboonmee 02/22/2020 04:00PM ET,Lookboonmee,84.5,0.397385620915033,0,150,150,155,0.4,0.4,0.392156862745098,0
F,Callan Potter (14308907),Callan Potter,14308907,F,7200,Potter@Song 02/22/2020 04:00PM ET,Potter,43.75,0.392452830188679,0,150,150,165,0.4,0.4,0.377358490566038,0
F,Emil Meek (14308897),Emil Meek,14308897,F,7100,Matthews@Meek 02/22/2020 04:00PM ET,Meek,31.5,0.355036855036855,0,175,196,175,0.363636363636364,0.337837837837838,0.363636363636364,0
F,Karolina Kowalkiewicz (14308905),Karolina Kowalkiewicz,14308905,F,7000,Kowalkiewicz@Yan 02/22/2020 04:00PM ET,Kowalkiewicz,55.7,0.329810849489255,0,195,205,210,0.338983050847458,0.327868852459016,0.32258064516129,0
F,Tyson Nam (14308911),Tyson Nam,14308911,F,6900,Kara-France@Nam 02/22/2020 04:00PM ET,Nam,20,0.333366615756885,0,205,186,210,0.327868852459016,0.34965034965035,0.32258064516129,0
