Brad Riddell (14308901),Kevin Aguilar (14308913),Michal Oleksiejczuk (14308902),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),50000,0.0372566,0
Ben Sosoli (14308899),Kevin Aguilar (14308913),Michal Oleksiejczuk (14308902),Magomed Mustafaev (14308900),Shana Dobson (14308908),Jalin Turner (14308914),49800,0.0357457,0
Priscila Cachoeira (14308909),Kevin Aguilar (14308913),Michal Oleksiejczuk (14308902),Magomed Mustafaev (14308900),Jalin Turner (14308914),Angela Hill (14308916),50000,0.0296757,0
Paul Felder (14308895),Michal Oleksiejczuk (14308902),Magomed Mustafaev (14308900),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),50000,0.0393242,0
Josh Culibao (14308915),Michal Oleksiejczuk (14308902),Magomed Mustafaev (14308900),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Angela Hill (14308916),50000,0.0311315,0
Loma Lookboonmee (14308917),Michal Oleksiejczuk (14308902),Magomed Mustafaev (14308900),Shana Dobson (14308908),Dan Hooker (14308894),Jalin Turner (14308914),50000,0.0358925,0
Callan Potter (14308907),Kevin Aguilar (14308913),Michal Oleksiejczuk (14308902),Shana Dobson (14308908),Jalin Turner (14308914),Jake Matthews (14308896),50000,0.036602,0
Emil Meek (14308897),Michal Oleksiejczuk (14308902),Magomed Mustafaev (14308900),Shana Dobson (14308908),Jalin Turner (14308914),Angela Hill (14308916),50000,0.0344792,0
Karolina Kowalkiewicz (14308905),Michal Oleksiejczuk (14308902),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),Angela Hill (14308916),50000,0.0325741,0
Tyson Nam (14308911),Michal Oleksiejczuk (14308902),Magomed Mustafaev (14308900),Shana Dobson (14308908),Jalin Turner (14308914),Jake Matthews (14308896),50000,0.0345434,0
Brad Riddell (14308901),Jimmy Crute (14308903),Kevin Aguilar (14308913),Shana Dobson (14308908),Dan Hooker (14308894),Jalin Turner (14308914),50000,0.0329578,0
Ben Sosoli (14308899),Jimmy Crute (14308903),Kevin Aguilar (14308913),Magomed Mustafaev (14308900),Shana Dobson (14308908),Xiaonan Yan (14308904),50000,0.0329074,0
Priscila Cachoeira (14308909),Jimmy Crute (14308903),Kevin Aguilar (14308913),Magomed Mustafaev (14308900),Jalin Turner (14308914),Jake Matthews (14308896),50000,0.0276391,0
Paul Felder (14308895),Jimmy Crute (14308903),Magomed Mustafaev (14308900),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),49800,0.0343261,0
Josh Culibao (14308915),Jimmy Crute (14308903),Magomed Mustafaev (14308900),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jake Matthews (14308896),50000,0.028995,0
Loma Lookboonmee (14308917),Jimmy Crute (14308903),Kevin Aguilar (14308913),Shana Dobson (14308908),Jalin Turner (14308914),Xiaonan Yan (14308904),50000,0.0335483,0
Callan Potter (14308907),Jimmy Crute (14308903),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),Angela Hill (14308916),50000,0.0338344,0
Emil Meek (14308897),Jimmy Crute (14308903),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),Kenan Song (14308906),50000,0.0309577,0
Karolina Kowalkiewicz (14308905),Jimmy Crute (14308903),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),Jake Matthews (14308896),50000,0.0303385,0
Tyson Nam (14308911),Jimmy Crute (14308903),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),Xiaonan Yan (14308904),50000,0.0318002,0
Ben Sosoli (14308899),Brad Riddell (14308901),Michal Oleksiejczuk (14308902),Shana Dobson (14308908),Jalin Turner (14308914),Angela Hill (14308916),50000,0.0348365,0
Priscila Cachoeira (14308909),Brad Riddell (14308901),Michal Oleksiejczuk (14308902),Marcos Rogerio de Lima (14308898),Jalin Turner (14308914),Jake Matthews (14308896),50000,0.0283197,0
Paul Felder (14308895),Brad Riddell (14308901),Michal Oleksiejczuk (14308902),Shana Dobson (14308908),Jalin Turner (14308914),Jake Matthews (14308896),50000,0.0361894,0
Josh Culibao (14308915),Brad Riddell (14308901),Michal Oleksiejczuk (14308902),Shana Dobson (14308908),Angela Hill (14308916),Jake Matthews (14308896),50000,0.0286498,0
Loma Lookboonmee (14308917),Brad Riddell (14308901),Michal Oleksiejczuk (14308902),Shana Dobson (14308908),Jalin Turner (14308914),Xiaonan Yan (14308904),49900,0.0337997,0
Callan Potter (14308907),Brad Riddell (14308901),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),Jake Matthews (14308896),50000,0.0341781,0
Emil Meek (14308897),Brad Riddell (14308901),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),Xiaonan Yan (14308904),50000,0.0320635,0
Karolina Kowalkiewicz (14308905),Brad Riddell (14308901),Marcos Rogerio de Lima (14308898),Shana Dobson (14308908),Jalin Turner (14308914),Kai Kara-France (14308910),50000,0.0297422,0
