Id,Position,First Name,Nickname,Last Name,FPPG,Raced,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,,,Qualified,Finished,,,,,,
38821-82903,D,Martin,Martin Truex Jr.,Truex Jr.,60.9806459488407,31,14500,,,,,,,385,0,370,400,8,7,1,7,53,,1,46
38821-82863,D,Kyle,Kyle Busch,Busch,64.3419346963206,31,13500,,,,,,,580,0,560,600,17,37,2,15,57,,2,42
38821-82888,D,Kyle,Kyle Larson,Larson,52.0562515258789,32,12000,,,,,,,625,0,800,450,7,13,3,4,45,,3,41
38821-82872,D,Chase,Chase Elliott,Elliott,54.6677403603831,31,13000,,,,,,,850,0,1000,700,19,1,4,15,55,,4,40
38821-82886,D,Brad,Brad Keselowski,Keselowski,56.4516129032258,31,12500,,,,,,,850,0,1000,700,11,5,5,6,45,,5,39
38821-82889,D,Joey,Joey Logano,Logano,60.5677411479335,31,11000,,,,,,,925,0,750,1100,3,10,6,-3,35,,6,38
38821-82879,D,Kevin,Kevin Harvick,Harvick,56.5709661668347,31,14000,,,,,,,980,0,860,1100,6,3,7,-1,36,,7,37
38821-82878,D,Denny,Denny Hamlin,Hamlin,58.6548402847782,31,11500,,,,,,,1300,0,1600,1000,28,19,8,20,56,,8,36
38821-82860,D,Clint,Clint Bowyer,Bowyer,48.4870959866432,31,8200,,,,,,,1700,0,1400,2000,5,4,9,-4,31,,9,35
38821-82858,D,Ryan,Ryan Blaney,Blaney,53.4709669543851,31,10500,,,,,,,1950,0,1400,2500,9,8,10,-1,33,,10,34
38821-82864,D,William,William Byron,Byron,51.8096766318044,31,7700,,,,,,,2100,0,2200,2000,1,6,11,-10,23,,11,33
38821-82882,D,Jimmie,Jimmie Johnson,Johnson,49.9161298198085,31,9500,,,,,,,2150,0,1800,2500,4,9,12,-8,24,,12,32
38821-82883,D,Erik,Erik Jones,Jones,51.0548371345766,31,9000,,,,,,,2500,0,3000,2000,15,40,13,2,33,,13,31
38821-82862,D,Kurt,Kurt Busch,Busch,54.8000015751008,31,11200,,,,,,,2750,0,3000,2500,23,20,14,9,39,,14,30
38821-82859,D,Alex,Alex Bowman,Bowman,53.4249992370606,32,10000,,,,,,,2750,0,3000,2500,2,2,15,-13,16,,15,29
38821-82868,D,Matt,Matt DiBenedetto,DiBenedetto,49.8866658528646,30,8000,,,,,,,5000,0,5000,5000,18,11,16,2,30,,16,28
38821-82901,D,Daniel,Daniel Suarez,Suarez,52.4516129032258,31,7000,,,,,,,5500,0,6000,5000,13,34,17,-4,23,,17,27
38821-82895,D,Ryan,Ryan Newman,Newman,56.5322580645161,31,8500,,,,,,,9000,0,10000,8000,24,32,18,6,32,,18,26
38821-82861,D,Chris,Chris Buescher,Buescher,51.8533325195313,30,6700,,,,,,,9000,0,10000,8000,12,18,19,-7,18,,19,25
38821-82855,D,Aric,Aric Almirola,Almirola,50.2806435861895,31,7500,,,,,,,10000,0,10000,10000,16,14,20,-4,20,,20,24
38821-82891,D,Michael,Michael McDowell,McDowell,38.4166666666667,30,4500,,,,,,,11000,0,14000,8000,22,12,21,1,24,,21,23
38821-82894,D,Paul,Paul Menard,Menard,50.7258064516129,31,6000,,,,,,,11250,0,10000,12500,10,16,22,-12,10,,22,22
