CSV was read! There are 17 players.
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),45200,45550,57600
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),45700,43050,47600
Austin Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),45200,39050,42600
Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),48200,20550,22600
Ty Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),45200,47600,59000
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),45700,45100,49000
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),46200,45100,57000
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),46700,42600,47000
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),45700,26100,31000
Ty Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),45700,41100,52000
Austin Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),46200,38600,42000
Michael McDowell (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),45200,22100,26000
Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),49200,20100,22000
Ty Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Brad Keselowski (D),45500,46150,57600
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Brad Keselowski (D),46000,43650,47600
Michael McDowell (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Brad Keselowski (D),45000,27150,31600
Ty Dillon (D),Austin Dillon (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),45700,62400,75600
Austin Dillon (D),Michael McDowell (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),45200,43400,49600
Joe Nemechek (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),45700,151400,90600
Parker Kligerman (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),46200,151400,90600
Ross Chastain (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),46700,118900,75600
Matt Tifft (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),46700,83900,55600
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),48700,43900,55600
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),49200,41400,45600
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),48200,24900,29600
Joe Nemechek (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),45200,147400,85600
Parker Kligerman (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),45700,147400,85600
Ross Chastain (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),46200,114900,70600
Matt Tifft (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),46200,79900,50600
Ty Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),48200,39900,50600
Austin Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),48700,37400,40600
Michael McDowell (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Brad Keselowski (D),47700,20900,24600
Ty Dillon (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),46500,43650,55600
Austin Dillon (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),47000,41150,45600
Michael McDowell (D),Ryan Newman (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),46000,24650,29600
Ty Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),46000,39650,50600
Austin Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),46500,37150,40600
Michael McDowell (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),45500,20650,24600
Ryan Newman (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),49500,18650,20600
Joe Nemechek (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),46200,144900,83600
Parker Kligerman (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),46700,144900,83600
Ross Chastain (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),47200,112400,68600
Matt Tifft (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),47200,77400,48600
Ty Dillon (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),49200,37400,48600
Austin Dillon (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),49700,34900,38600
Michael McDowell (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Brad Keselowski (D),48700,18400,22600
Ty Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Chase Elliott (D),45700,47600,59000
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Chase Elliott (D),46200,45100,49000
Michael McDowell (D),Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Chase Elliott (D),45200,28600,33000
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),46700,45100,57000
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),47200,42600,47000
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),46200,26100,31000
Ty Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),46200,41100,52000
Austin Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),46700,38600,42000
Michael McDowell (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),45700,22100,26000
Ryan Newman (D),Matt DiBenedetto (D),Kurt Busch (D),Erik Jones (D),Chase Elliott (D),49700,20100,22000
Ty Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Chase Elliott (D),46000,46150,57600
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Chase Elliott (D),46500,43650,47600
Michael McDowell (D),Ryan Newman (D),Matt DiBenedetto (D),Denny Hamlin (D),Chase Elliott (D),45500,27150,31600
Ty Dillon (D),Austin Dillon (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46200,62400,75600
Ty Dillon (D),Michael McDowell (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),45200,45900,59600
Austin Dillon (D),Michael McDowell (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),45700,43400,49600
Joe Nemechek (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46200,151400,90600
Parker Kligerman (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46700,151400,90600
Ross Chastain (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),47200,118900,75600
Matt Tifft (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),47200,83900,55600
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),49200,43900,55600
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),49700,41400,45600
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),48700,24900,29600
Joe Nemechek (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),45700,147400,85600
Parker Kligerman (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46200,147400,85600
Ross Chastain (D),Matt DiBenedetto (D),Kurt Busch (D),Denny Hamlin (D),Chase Elliott (D),46700,114900,70600
