Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,,,DK,FanDuel,BetUS,Qualified,,,,,,
D,Kyle Busch (13498966),Kyle Busch,13498966,D,12000,Drydene 400,Nasca,61.59,750,0,750,,,18,6,-12,50,,1,46
D,Martin Truex Jr (13498967),Martin Truex Jr,13498967,D,11600,Drydene 400,Nasca,52.67,400,0,400,,,3,2,-1,43,,2,42
D,Kevin Harvick (13498968),Kevin Harvick,13498968,D,11100,Drydene 400,Nasca,48.61,401,0,400,,,4,3,-1,42,,3,41
D,Denny Hamlin (13498969),Denny Hamlin,13498969,D,10700,Drydene 400,Nasca,43.42,500,0,500,,,1,4,3,37,,4,40
D,Chase Elliott (13498970),Chase Elliott,13498970,D,10300,Drydene 400,Nasca,42.2,600,0,600,,,5,5,0,39,,5,39
D,Brad Keselowski (13498971),Brad Keselowski,13498971,D,10000,Drydene 400,Nasca,45.41,1400,0,1400,,,16,8,-8,44,,6,38
D,Kyle Larson (13498972),Kyle Larson,13498972,D,9700,Drydene 400,Nasca,38.3,399,0,400,,,2,1,-1,47,,7,37
D,Joey Logano (13498973),Joey Logano,13498973,D,9500,Drydene 400,Nasca,47.15,1399,0,1400,,,14,7,-7,44,,8,36
D,Ryan Blaney (13498974),Ryan Blaney,13498974,D,9200,Drydene 400,Nasca,37.3,2500,0,2500,,,10,14,4,26,,9,35
D,Kurt Busch (13498975),Kurt Busch,13498975,D,9000,Drydene 400,Nasca,36.47,2499,0,2500,,,9,13,4,27,,10,34
D,Erik Jones (13498976),Erik Jones,13498976,D,8800,Drydene 400,Nasca,32.19,2200,0,2200,,,8,12,4,28,,11,33
D,Clint Bowyer (13498977),Clint Bowyer,13498977,D,8600,Drydene 400,Nasca,28.25,3300,0,3300,,,17,15,-2,31,,12,32
D,William Byron (13498978),William Byron,13498978,D,8400,Drydene 400,Nasca,31.44,1999,0,2000,,,6,10,4,30,,13,31
D,Ryan Newman (13498979),Ryan Newman,13498979,D,8200,Drydene 400,Nasca,36.09,14999,0,15000,,,24,20,-4,28,,14,30
