Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Odds,,,,,,
RB,Saquon Barkley (13564938),Saquon Barkley,13564938,RB/FLEX,8900,ARI@NYG 10/20/2019 01:00PM ET,NYG,18.03,-250,,,Dalvin Cook,475,475,-167
RB,Dalvin Cook (13564940),Dalvin Cook,13564940,RB/FLEX,8000,MIN@DET 10/20/2019 01:00PM ET,MIN,24.93,-167,,,Kerryon Johnson,750,750,115
WR,Julio Jones (13565138),Julio Jones,13565138,WR/FLEX,8000,LAR@ATL 10/20/2019 01:00PM ET,ATL,18.97,100,,,Kenny Golladay,900,900,145
WR,Michael Thomas (13565140),Michael Thomas,13565140,WR/FLEX,7900,NO@CHI 10/20/2019 04:25PM ET,NO,23.37,175,,,Adam Thielen,900,900,150
RB,David Johnson (13564942),David Johnson,13564942,RB/FLEX,7800,ARI@NYG 10/20/2019 01:00PM ET,ARI,20.22,-162,,,Stefon Diggs,1100,1100,175
WR,DeAndre Hopkins (13565142),DeAndre Hopkins,13565142,WR/FLEX,7800,HOU@IND 10/20/2019 01:00PM ET,HOU,16.03,110,,,T.J. Hockenson,1300,1300,225
WR,Davante Adams (13565144),Davante Adams,13565144,WR/FLEX,7600,OAK@GB 10/20/2019 01:00PM ET,GB,17.2,#N/A,,,Marvin Jones Jr.,1400,1400,240
RB,Alvin Kamara (13564944),Alvin Kamara,13564944,RB/FLEX,7500,NO@CHI 10/20/2019 04:25PM ET,NO,18.4,110,,,Kyle Rudolph,1800,1800,350
WR,Cooper Kupp (13565146),Cooper Kupp,13565146,WR/FLEX,7400,LAR@ATL 10/20/2019 01:00PM ET,LAR,22.27,-115,,,Alexander Mattison,1800,1800,300
RB,Aaron Jones (13564946),Aaron Jones,13564946,RB/FLEX,7100,OAK@GB 10/20/2019 01:00PM ET,GB,21.2,-155,,,Danny Amendola,2200,2200,425
QB,Deshaun Watson (13564881),Deshaun Watson,13564881,QB,7000,HOU@IND 10/20/2019 01:00PM ET,HOU,27.19,250,,,Any Other Detroit Lions Player,2500,2500,500
RB,Leonard Fournette (13564948),Leonard Fournette,13564948,RB/FLEX,7000,JAX@CIN 10/20/2019 01:00PM ET,JAX,19.05,-225,,,Any Other Minnesota Vikings Player,2500,2500,450
WR,Adam Thielen (13565148),Adam Thielen,13565148,WR/FLEX,6900,MIN@DET 10/20/2019 01:00PM ET,MIN,16.95,150,,,J.D. McKissic,3000,3000,600
QB,Lamar Jackson (13564882),Lamar Jackson,13564882,QB,6800,BAL@SEA 10/20/2019 04:25PM ET,BAL,27.71,190,,,Jesse James,4000,4000,850
WR,Keenan Allen (13565150),Keenan Allen,13565150,WR/FLEX,6700,LAC@TEN 10/20/2019 04:05PM ET,LAC,19.1,180,,,Kirk Cousins,4000,4000,750
TE,George Kittle (13565404),George Kittle,13565404,TE/FLEX,6700,SF@WAS 10/20/2019 01:00PM ET,SF,15.12,-112,,,Olabisi Johnson,4000,4000,800
QB,Kyler Murray (13564883),Kyler Murray,13564883,QB,6700,ARI@NYG 10/20/2019 01:00PM ET,ARI,23.23,225,,,Irv Smith Jr.,4000,4000,800
QB,Russell Wilson (13564884),Russell Wilson,13564884,QB,6600,BAL@SEA 10/20/2019 04:25PM ET,SEA,27.04,300,,,Marvin Hall,4500,4500,900
RB,Mark Ingram II (13564950),Mark Ingram II,13564950,RB/FLEX,6600,BAL@SEA 10/20/2019 04:25PM ET,BAL,18.55,-106,,,Logan Thomas,6000,6000,1100
WR,Tyler Lockett (13565152),Tyler Lockett,13565152,WR/FLEX,6600,BAL@SEA 10/20/2019 04:25PM ET,SEA,16.82,108,,,Ty Johnson,6600,6600,1200
RB,Chris Carson (13564952),Chris Carson,13564952,RB/FLEX,6500,BAL@SEA 10/20/2019 04:25PM ET,SEA,18.9,-155,,,Laquon Treadwell,6600,6600,1200
TE,Evan Engram (13565406),Evan Engram,13565406,TE/FLEX,6500,ARI@NYG 10/20/2019 01:00PM ET,NYG,17.76,115,,,Ameer Abdullah,7000,7000,1400
QB,Josh Allen (13564885),Josh Allen,13564885,QB,6500,MIA@BUF 10/20/2019 01:00PM ET,BUF,18.34,-121,,,Matthew Stafford,8000,8000,1600
QB,Aaron Rodgers (13564886),Aaron Rodgers,13564886,QB,6400,OAK@GB 10/20/2019 01:00PM ET,GB,16.8,600,,,Nick Bawden,10000,10000,2200
WR,A.J. Green (13565154),A.J. Green,13565154,WR/FLEX,6400,JAX@CIN 10/20/2019 01:00PM ET,CIN,0,180,,,C.J. Ham,10000,10000,2200
RB,Todd Gurley II (13564954),Todd Gurley II,13564954,RB/FLEX,6400,LAR@ATL 10/20/2019 01:00PM ET,LAR,15.36,-167,,,Tyler Conklin,10000,10000,2200
WR,Stefon Diggs (13565156),Stefon Diggs,13565156,WR/FLEX,6300,MIN@DET 10/20/2019 01:00PM ET,MIN,15.8,175,,,Mike Boone,10000,10000,2200
QB,Matt Ryan (13564887),Matt Ryan,13564887,QB,6300,LAR@ATL 10/20/2019 01:00PM ET,ATL,27.44,850,,,Tra Carson,10000,10000,2200
RB,Austin Ekeler (13564956),Austin Ekeler,13564956,RB/FLEX,6200,LAC@TEN 10/20/2019 04:05PM ET,LAC,22.85,190,,,Todd Gurley II,600,600,-167
WR,Will Fuller V (13565158),Will Fuller V,13565158,WR/FLEX,6200,HOU@IND 10/20/2019 01:00PM ET,HOU,16.4,140,,,Cooper Kupp,750,750,-115
QB,Jared Goff (13564888),Jared Goff,13564888,QB,6200,LAR@ATL 10/20/2019 01:00PM ET,LAR,16.56,600,,,Devonta Freeman,850,850,-106
WR,Terry McLaurin (13565162),Terry McLaurin,13565162,WR/FLEX,6100,SF@WAS 10/20/2019 01:00PM ET,WAS,19.96,210,,,Julio Jones,900,900,100
QB,Daniel Jones (13564889),Daniel Jones,13564889,QB,6100,ARI@NYG 10/20/2019 01:00PM ET,NYG,14.69,325,,,Calvin Ridley,1000,1000,120
WR,Larry Fitzgerald (13565160),Larry Fitzgerald,13565160,WR/FLEX,6100,ARI@NYG 10/20/2019 01:00PM ET,ARI,15.95,160,,,Austin Hooper,1100,1100,130
QB,Jimmy Garoppolo (13564890),Jimmy Garoppolo,13564890,QB,6000,SF@WAS 10/20/2019 01:00PM ET,SF,15.3,750,,,Malcolm Brown,1200,1200,150
RB,Marlon Mack (13564958),Marlon Mack,13564958,RB/FLEX,6000,HOU@IND 10/20/2019 01:00PM ET,IND,15.64,120,,,Robert Woods,1200,1200,150
