Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
1754253225,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Ted Ginn Jr. (13837147),Jared Cook (13837189),Frank Gore (13837093),Saints  (13837235),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1754262838,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Cole Beasley (13837139),Jared Cook (13837189),Tre'Quan Smith (13837149),Cowboys  (13837236),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1754262839,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Cole Beasley (13837139),Jared Cook (13837189),Ted Ginn Jr. (13837147),Lions  (13837237),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1754262840,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Cole Beasley (13837139),Jared Cook (13837189),Anthony Miller (13837145),Bears  (13837238),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1754262841,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Drew Brees (13837057),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Michael Thomas (13837117),Amari Cooper (13837129),Marvin Jones Jr. (13837133),Jared Cook (13837189),Tre'Quan Smith (13837149),Bills  (13837240),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1754262842,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Matt Ryan (13837058),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Julio Jones (13837119),Calvin Ridley (13837123),Amari Cooper (13837129),Jared Cook (13837189),Ted Ginn Jr. (13837147),Cowboys  (13837236),,,,,,,,,,
1754262843,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Matt Ryan (13837058),Ezekiel Elliott (13837073),Bo Scarbrough (13837087),Julio Jones (13837119),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Anthony Miller (13837145),Lions  (13837237),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1754262844,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Julio Jones (13837119),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Tre'Quan Smith (13837149),Bears  (13837238),,WR,Michael Thomas (13837117),Michael Thomas,13837117,WR/FLEX,9100,NO@ATL 11/28/2019 08:20PM ET,NO,25.84
1754262845,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Calvin Ridley (13837123),Allen Robinson II (13837121),Amari Cooper (13837129),Jared Cook (13837189),Tre'Quan Smith (13837149),Cowboys  (13837236),,RB,Alvin Kamara (13837071),Alvin Kamara,13837071,RB/FLEX,8100,NO@ATL 11/28/2019 08:20PM ET,NO,18.58
1754262846,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Matt Ryan (13837058),Ezekiel Elliott (13837073),David Montgomery (13837079),Julio Jones (13837119),Calvin Ridley (13837123),Amari Cooper (13837129),Jared Cook (13837189),Ted Ginn Jr. (13837147),Falcons  (13837239),,RB,Ezekiel Elliott (13837073),Ezekiel Elliott,13837073,RB/FLEX,7400,BUF@DAL 11/28/2019 04:30PM ET,DAL,19.17
1754262847,NFL $30K mini-MAX [150 Entry Max] (Thu),81644142,$0.50,Josh Allen (13837059),Ezekiel Elliott (13837073),David Montgomery (13837079),John Brown (13837125),Calvin Ridley (13837123),Amari Cooper (13837129),Jared Cook (13837189),Ted Ginn Jr. (13837147),Saints  (13837235),,WR,Julio Jones (13837119),Julio Jones,13837119,WR/FLEX,7300,NO@ATL 11/28/2019 08:20PM ET,ATL,17.7
