Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Davante Adams (14095679),Davante Adams,14095679,WR/FLEX,7800,SEA@GB 01/12/2020 06:40PM ET,GB,19.06
WR,Tyreek Hill (14095714),Tyreek Hill,14095714,WR/FLEX,7600,HOU@KC 01/12/2020 03:05PM ET,KC,16.19
QB,Patrick Mahomes (14095727),Patrick Mahomes,14095727,QB,7500,HOU@KC 01/12/2020 03:05PM ET,KC,22.50
WR,DeAndre Hopkins (14095671),DeAndre Hopkins,14095671,WR/FLEX,7400,HOU@KC 01/12/2020 03:05PM ET,HOU,18.78
RB,Aaron Jones (14095701),Aaron Jones,14095701,RB/FLEX,7400,SEA@GB 01/12/2020 06:40PM ET,GB,20.92
WR,DK Metcalf (14095744),DK Metcalf,14095744,WR/FLEX,6800,SEA@GB 01/12/2020 06:40PM ET,SEA,13.24
QB,Deshaun Watson (14095716),Deshaun Watson,14095716,QB,6700,HOU@KC 01/12/2020 03:05PM ET,HOU,23.40
QB,Russell Wilson (14095646),Russell Wilson,14095646,QB,6600,SEA@GB 01/12/2020 06:40PM ET,SEA,21.71
WR,Tyler Lockett (14095677),Tyler Lockett,14095677,WR/FLEX,6600,SEA@GB 01/12/2020 06:40PM ET,SEA,15.14
QB,Aaron Rodgers (14095627),Aaron Rodgers,14095627,QB,6500,SEA@GB 01/12/2020 06:40PM ET,GB,18.65
TE,Travis Kelce (14095649),Travis Kelce,14095649,TE/FLEX,6400,HOU@KC 01/12/2020 03:05PM ET,KC,16.33
RB,Damien Williams (14095685),Damien Williams,14095685,RB/FLEX,6000,HOU@KC 01/12/2020 03:05PM ET,KC,13.46
RB,Travis Homer (14095742),Travis Homer,14095742,RB/FLEX,5100,SEA@GB 01/12/2020 06:40PM ET,SEA,1.81
QB,AJ McCarron (14095659),AJ McCarron,14095659,QB,5000,HOU@KC 01/12/2020 03:05PM ET,HOU,8.95
RB,Carlos Hyde (14095665),Carlos Hyde,14095665,RB/FLEX,5000,HOU@KC 01/12/2020 03:05PM ET,HOU,10.38
WR,Will Fuller V (14095706),Will Fuller V,14095706,WR/FLEX,5000,HOU@KC 01/12/2020 03:05PM ET,HOU,12.73
QB,Matt Moore (14095630),Matt Moore,14095630,QB,4800,HOU@KC 01/12/2020 03:05PM ET,KC,7.04
WR,Kenny Stills (14095663),Kenny Stills,14095663,WR/FLEX,4800,HOU@KC 01/12/2020 03:05PM ET,HOU,9.41
RB,Marshawn Lynch (14095634),Marshawn Lynch,14095634,RB/FLEX,4800,SEA@GB 01/12/2020 06:40PM ET,SEA,10.3
RB,Duke Johnson (14095687),Duke Johnson,14095687,RB/FLEX,4700,HOU@KC 01/12/2020 03:05PM ET,HOU,9.69
QB,Tim Boyle (14095703),Tim Boyle,14095703,QB,4700,SEA@GB 01/12/2020 06:40PM ET,GB,-0.03
RB,Jamaal Williams (14095691),Jamaal Williams,14095691,RB/FLEX,4600,SEA@GB 01/12/2020 06:40PM ET,GB,10.66
WR,Allen Lazard (14095723),Allen Lazard,14095723,WR/FLEX,4500,SEA@GB 01/12/2020 06:40PM ET,GB,6.61
RB,LeSean McCoy (14095642),LeSean McCoy,14095642,RB/FLEX,4400,HOU@KC 01/12/2020 03:05PM ET,KC,9.28
QB,Geno Smith (14095660),Geno Smith,14095660,QB,4400,SEA@GB 01/12/2020 06:40PM ET,SEA,0
WR,Sammy Watkins (14095673),Sammy Watkins,14095673,WR/FLEX,4300,HOU@KC 01/12/2020 03:05PM ET,KC,10.18
