Damien Williams,+550,+550,-155
Derrick Henry,+550,+550,-200
Travis Kelce,+650,+650,-125
Tyreek Hill,+650,+650,-125
A.J. Brown,+1400,+1400,+180
Sammy Watkins,+1800,+1800,+275
Jonnu Smith,+1800,+1800,+250
Mecole Hardman,+2000,+2000,+325
Any Other Kansas City Chiefs Player,+2200,+2200,+325
Darwin Thompson,+2500,+2500,+400
LeSean McCoy,+2800,+2800,+450
Adam Humphries,+2800,+2800,+400
Dion Lewis,+2800,+2800,+400
Corey Davis,+2800,+2800,+400
Patrick Mahomes,+3000,+3000,+500
Ryan Tannehill,+3000,+3000,+450
Demarcus Robinson,+3500,+3500,+550
Blake Bell,+3500,+3500,+550
Kalif Raymond,+3500,+3500,+550
Tajae Sharpe,+3500,+3500,+550
Any Other Tennessee Titans Player,+3500,+3500,+500
MyCole Pruitt,+7000,+7000,+1100
Anthony Firkser,+7000,+7000,+1100
Byron Pringle,+8000,+8000,+1600
Anthony Sherman,+10000,+10000,+2200
Deon Yelder,+10000,+10000,+2200
Darius Jennings,+10000,+10000,+2200
Khari Blasingame,+10000,+10000,+2200
Cody Hollister,+10000,+10000,+2200
Rashard Davis,+10000,+10000,+2200
Aaron Jones,+650,+650,-106
Raheem Mostert,+850,+850,+110
George Kittle,+850,+850,+130
Tevin Coleman,+850,+850,+130
Deebo Samuel,+900,+900,+140
Davante Adams,+1000,+1000,+165
Emmanuel Sanders,+1500,+1500,+250
Kendrick Bourne,+1800,+1800,+300
Matt Breida,+2200,+2200,+400
Jamaal Williams,+2200,+2200,+400
Jimmy Graham,+2200,+2200,+425
Any Other San Francisco 49ers Player,+2200,+2200,+400
Allen Lazard,+2800,+2800,+500
Jimmy Garoppolo,+3500,+3500,+700
Geronimo Allison,+3500,+3500,+600
Any Other Green Bay Packers Player,+3500,+3500,+600
Kyle Juszczyk,+4000,+4000,+800
Jake Kumerow,+4000,+4000,+800
Marquez Valdes-Scantling,+4500,+4500,+900
Ross Dwelley,+5000,+5000,+1200
Aaron Rodgers,+5000,+5000,+1000
Tyler Ervin,+9000,+9000,+1800
Jeff Wilson,+10000,+10000,+2200
Dante Pettis,+10000,+10000,+2200
Jordan Matthews,+10000,+10000,+2200
Levine Toilolo,+10000,+10000,+2200
Richie James,+10000,+10000,+2200
Daniel Helm,+10000,+10000,+2200
Dexter Williams,+10000,+10000,+2200
Dan Vitale,+10000,+10000,+2200
Ryan Grant,+10000,+10000,+2200
Marcedes Lewis,+10000,+10000,+2200
Jace Sternberger,+10000,+10000,+2200
Robert Tonyan,+10000,+10000,+2200
