Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Frederik Andersen (13605070),Frederik Andersen,13605070,G,8400,CLS@TOR 10/21/2019 07:00PM ET,TOR,13.61
C,Auston Matthews (13604552),Auston Matthews,13604552,C/UTIL,8200,CLS@TOR 10/21/2019 07:00PM ET,TOR,15.76
G,Michael Hutchinson (13605078),Michael Hutchinson,13605078,G,8200,CLS@TOR 10/21/2019 07:00PM ET,TOR,7.5
G,Ben Bishop (13605071),Ben Bishop,13605071,G,8200,OTT@DAL 10/21/2019 08:30PM ET,DAL,12.33
G,Jordan Binnington (13605072),Jordan Binnington,13605072,G,8000,COL@STL 10/21/2019 08:00PM ET,STL,14.33
G,Anton Khudobin (13605079),Anton Khudobin,13605079,G,8000,OTT@DAL 10/21/2019 08:30PM ET,DAL,8.43
C,Nathan MacKinnon (13604554),Nathan MacKinnon,13604554,C/UTIL,7900,COL@STL 10/21/2019 08:00PM ET,COL,16.24
G,Marc-Andre Fleury (13605073),Marc-Andre Fleury,13605073,G,7800,VGK@PHI 10/21/2019 07:00PM ET,VGK,18.73
G,Jake Allen (13605080),Jake Allen,13605080,G,7800,COL@STL 10/21/2019 08:00PM ET,STL,4.75
G,Malcolm Subban (13605081),Malcolm Subban,13605081,G,7600,VGK@PHI 10/21/2019 07:00PM ET,VGK,1.4
RW,Mark Stone (13604672),Mark Stone,13604672,W/UTIL,7500,VGK@PHI 10/21/2019 07:00PM ET,VGK,15.44
G,Philipp Grubauer (13605074),Philipp Grubauer,13605074,G,7500,COL@STL 10/21/2019 08:00PM ET,COL,18.93
G,Carter Hart (13605075),Carter Hart,13605075,G,7400,VGK@PHI 10/21/2019 07:00PM ET,PHI,8.78
G,Oscar Dansk (13605082),Oscar Dansk,13605082,G,7400,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
RW,Mitchell Marner (13604674),Mitchell Marner,13604674,W/UTIL,7300,CLS@TOR 10/21/2019 07:00PM ET,TOR,14.48
G,Pavel Francouz (13605083),Pavel Francouz,13605083,G,7300,COL@STL 10/21/2019 08:00PM ET,COL,27.8
G,Brian Elliott (13605084),Brian Elliott,13605084,G,7200,VGK@PHI 10/21/2019 07:00PM ET,PHI,8.85
C,Tyler Seguin (13604556),Tyler Seguin,13604556,C/UTIL,7200,OTT@DAL 10/21/2019 08:30PM ET,DAL,8.41
G,Craig Anderson (13605076),Craig Anderson,13605076,G,7200,OTT@DAL 10/21/2019 08:30PM ET,OTT,10.78
LW,Max Pacioretty (13604676),Max Pacioretty,13604676,W/UTIL,7000,VGK@PHI 10/21/2019 07:00PM ET,VGK,14.56
G,Anders Nilsson (13605085),Anders Nilsson,13605085,G,7000,OTT@DAL 10/21/2019 08:30PM ET,OTT,19.3
G,Joonas Korpisalo (13605077),Joonas Korpisalo,13605077,G,6900,CLS@TOR 10/21/2019 07:00PM ET,CLS,11.73
RW,Mikko Rantanen (13604678),Mikko Rantanen,13604678,W/UTIL,6800,COL@STL 10/21/2019 08:00PM ET,COL,14.94
C,John Tavares (13604558),John Tavares,13604558,C/UTIL,6700,CLS@TOR 10/21/2019 07:00PM ET,TOR,8.31
D,Morgan Rielly (13604888),Morgan Rielly,13604888,D/UTIL,6700,CLS@TOR 10/21/2019 07:00PM ET,TOR,14.81
G,Elvis Merzlikins (13605086),Elvis Merzlikins,13605086,G,6700,CLS@TOR 10/21/2019 07:00PM ET,CLS,5.55
RW,Vladimir Tarasenko (13604680),Vladimir Tarasenko,13604680,W/UTIL,6600,COL@STL 10/21/2019 08:00PM ET,STL,11.45
G,Veini Vehvilainen (13605088),Veini Vehvilainen,13605088,G,6500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
G,Matiss Kivlenieks (13605089),Matiss Kivlenieks,13605089,G,6500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
G,Kasimir Kaskisuo (13605096),Kasimir Kaskisuo,13605096,G,6500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
G,Alex Lyon (13605090),Alex Lyon,13605090,G,6500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
G,J-F Berube (13605091),J-F Berube,13605091,G,6500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
G,Garret Sparks (13605092),Garret Sparks,13605092,G,6500,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
G,Ville Husso (13605093),Ville Husso,13605093,G,6500,COL@STL 10/21/2019 08:00PM ET,STL,0
G,Antoine Bibeau (13605097),Antoine Bibeau,13605097,G,6500,COL@STL 10/21/2019 08:00PM ET,COL,0
G,Adam Werner (13605098),Adam Werner,13605098,G,6500,COL@STL 10/21/2019 08:00PM ET,COL,0
G,Landon Bow (13605087),Landon Bow,13605087,G,6500,OTT@DAL 10/21/2019 08:30PM ET,DAL,0
G,Filip Gustavsson (13605094),Filip Gustavsson,13605094,G,6500,OTT@DAL 10/21/2019 08:30PM ET,OTT,0
G,Marcus Hogberg (13605095),Marcus Hogberg,13605095,G,6500,OTT@DAL 10/21/2019 08:30PM ET,OTT,0
RW,Cam Atkinson (13604682),Cam Atkinson,13604682,W/UTIL,6400,CLS@TOR 10/21/2019 07:00PM ET,CLS,11.81
LW,Gabriel Landeskog (13604684),Gabriel Landeskog,13604684,W/UTIL,6300,COL@STL 10/21/2019 08:00PM ET,COL,11.19
D,Alex Pietrangelo (13604890),Alex Pietrangelo,13604890,D/UTIL,6300,COL@STL 10/21/2019 08:00PM ET,STL,13.14
RW,Alexander Radulov (13604686),Alexander Radulov,13604686,W/UTIL,6200,OTT@DAL 10/21/2019 08:30PM ET,DAL,6.43
LW,Jonathan Marchessault (13604688),Jonathan Marchessault,13604688,W/UTIL,6100,VGK@PHI 10/21/2019 07:00PM ET,VGK,9.31
C,Brayden Schenn (13604560),Brayden Schenn,13604560,C/UTIL,6100,COL@STL 10/21/2019 08:00PM ET,STL,11.78
D,Thomas Chabot (13604892),Thomas Chabot,13604892,D/UTIL,6100,OTT@DAL 10/21/2019 08:30PM ET,OTT,11.37
RW,Reilly Smith (13604690),Reilly Smith,13604690,W/UTIL,6000,VGK@PHI 10/21/2019 07:00PM ET,VGK,11.6
D,Seth Jones (13604894),Seth Jones,13604894,D/UTIL,5900,CLS@TOR 10/21/2019 07:00PM ET,CLS,11.02
LW,Jamie Benn (13604692),Jamie Benn,13604692,W/UTIL,5900,OTT@DAL 10/21/2019 08:30PM ET,DAL,7.01
C,Sean Couturier (13604562),Sean Couturier,13604562,C/UTIL,5800,VGK@PHI 10/21/2019 07:00PM ET,PHI,11.4
RW,Travis Konecny (13604694),Travis Konecny,13604694,W/UTIL,5800,VGK@PHI 10/21/2019 07:00PM ET,PHI,11.85
C,William Karlsson (13604564),William Karlsson,13604564,C/UTIL,5600,VGK@PHI 10/21/2019 07:00PM ET,VGK,10.27
LW,Brady Tkachuk (13604696),Brady Tkachuk,13604696,W/UTIL,5600,OTT@DAL 10/21/2019 08:30PM ET,OTT,10.4
D,John Klingberg (13604896),John Klingberg,13604896,D/UTIL,5600,OTT@DAL 10/21/2019 08:30PM ET,DAL,8.15
LW,Claude Giroux (13604698),Claude Giroux,13604698,W/UTIL,5400,VGK@PHI 10/21/2019 07:00PM ET,PHI,9.3
D,Miro Heiskanen (13604898),Miro Heiskanen,13604898,D/UTIL,5400,OTT@DAL 10/21/2019 08:30PM ET,DAL,8.95
C,Ryan O'Reilly (13604566),Ryan O'Reilly,13604566,C/UTIL,5300,COL@STL 10/21/2019 08:00PM ET,STL,7.9
RW,William Nylander (13604700),William Nylander,13604700,W/UTIL,5200,CLS@TOR 10/21/2019 07:00PM ET,TOR,7.68
D,Shea Theodore (13604900),Shea Theodore,13604900,D/UTIL,5200,VGK@PHI 10/21/2019 07:00PM ET,VGK,8.3
C,Paul Stastny (13604568),Paul Stastny,13604568,C/UTIL,5100,VGK@PHI 10/21/2019 07:00PM ET,VGK,8.71
RW,Jakub Voracek (13604702),Jakub Voracek,13604702,W/UTIL,5100,VGK@PHI 10/21/2019 07:00PM ET,PHI,9.07
LW,James van Riemsdyk (13604704),James van Riemsdyk,13604704,W/UTIL,5000,VGK@PHI 10/21/2019 07:00PM ET,PHI,9.72
