Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,
G,Jordan Binnington (13628107),Jordan Binnington,13628107,G,8400,LA@STL 10/24/2019 08:00PM ET,STL,14.34,0
G,Pekka Rinne (13627928),Pekka Rinne,13627928,G,8300,MIN@NSH 10/24/2019 08:00PM ET,NSH,17.02,0
G,Jake Allen (13627981),Jake Allen,13627981,G,8200,LA@STL 10/24/2019 08:00PM ET,STL,4.75,0
G,Ben Bishop (13627966),Ben Bishop,13627966,G,8200,ANH@DAL 10/24/2019 08:30PM ET,DAL,12.33,0
G,Juuse Saros (13628203),Juuse Saros,13628203,G,8100,MIN@NSH 10/24/2019 08:00PM ET,NSH,2.57,0
G,Anton Khudobin (13627965),Anton Khudobin,13627965,G,8000,ANH@DAL 10/24/2019 08:30PM ET,DAL,10.28,0
G,Corey Crawford (13627924),Corey Crawford,13627924,G,7900,PHI@CHI 10/24/2019 08:30PM ET,CHI,9.38,0
G,Robin Lehner (13627999),Robin Lehner,13627999,G,7900,PHI@CHI 10/24/2019 08:30PM ET,CHI,20.67,0
RW,Patrick Kane (13627955),Patrick Kane,13627955,W/UTIL,7800,PHI@CHI 10/24/2019 08:30PM ET,CHI,13.21,0
RW,Vladimir Tarasenko (13628040),Vladimir Tarasenko,13628040,W/UTIL,7600,LA@STL 10/24/2019 08:00PM ET,STL,12.73,0
G,Carter Hart (13628334),Carter Hart,13628334,G,7400,PHI@CHI 10/24/2019 08:30PM ET,PHI,8.78,0
LW,Filip Forsberg (13628136),Filip Forsberg,13628136,W/UTIL,7300,MIN@NSH 10/24/2019 08:00PM ET,NSH,17.33,0
G,Brian Elliott (13627953),Brian Elliott,13627953,G,7200,PHI@CHI 10/24/2019 08:30PM ET,PHI,13.27,0
G,John Gibson (13628096),John Gibson,13628096,G,7200,ANH@DAL 10/24/2019 08:30PM ET,ANH,14.84,0
C,Brayden Schenn (13627991),Brayden Schenn,13627991,C/UTIL,7000,LA@STL 10/24/2019 08:00PM ET,STL,11.74,0
G,Devan Dubnyk (13627925),Devan Dubnyk,13627925,G,7000,MIN@NSH 10/24/2019 08:00PM ET,MIN,7.11,0
G,Ryan Miller (13627897),Ryan Miller,13627897,G,7000,ANH@DAL 10/24/2019 08:30PM ET,ANH,11.47,0
G,Jonathan Quick (13627954),Jonathan Quick,13627954,G,6900,LA@STL 10/24/2019 08:00PM ET,LA,5.08,0
