Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
1682671300,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,Frederik Andersen (13633094),Victor Olofsson (13632608),Anders Lee (13632612),Andreas Athanasiou (13632654),Auston Matthews (13632434),Elias Pettersson (13632452),Morgan Rielly (13632872),Tyson Barrie (13632896),Michael Dal Colle (13632702),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1682671301,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,Frederik Andersen (13633094),Victor Olofsson (13632608),Anders Lee (13632612),Timo Meier (13632622),Elias Pettersson (13632452),Evgeny Kuznetsov (13632454),Morgan Rielly (13632872),Tyson Barrie (13632896),Andreas Athanasiou (13632654),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1682671302,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,Antti Raanta (13633109),Alex Ovechkin (13632582),Victor Olofsson (13632608),Timo Meier (13632622),Auston Matthews (13632434),Elias Pettersson (13632452),Tyson Barrie (13632896),Damon Severson (13632946),Michael Dal Colle (13632702),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1682671303,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,Antti Raanta (13633109),Alex Ovechkin (13632582),Victor Olofsson (13632608),Anders Lee (13632612),Elias Pettersson (13632452),Marcus Johansson (13632472),Morgan Rielly (13632872),Tyson Barrie (13632896),Michael Dal Colle (13632702),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1682671304,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,MacKenzie Blackwood (13633106),Victor Olofsson (13632608),Anders Lee (13632612),Andreas Athanasiou (13632654),Auston Matthews (13632434),Elias Pettersson (13632452),Morgan Rielly (13632872),Tyson Barrie (13632896),Michael Dal Colle (13632702),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1682671305,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,MacKenzie Blackwood (13633106),Alex Ovechkin (13632582),Victor Olofsson (13632608),Andreas Athanasiou (13632654),Elias Pettersson (13632452),Evgeny Kuznetsov (13632454),Morgan Rielly (13632872),Tyson Barrie (13632896),Michael Dal Colle (13632702),,,,,,,,,,
1682671306,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,Thomas Greiss (13633104),Victor Olofsson (13632608),Anders Lee (13632612),Andreas Athanasiou (13632654),Auston Matthews (13632434),Elias Pettersson (13632452),Morgan Rielly (13632872),Tyson Barrie (13632896),Michael Dal Colle (13632702),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1682671307,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,Thomas Greiss (13633104),Victor Olofsson (13632608),Anders Lee (13632612),Timo Meier (13632622),Elias Pettersson (13632452),Evgeny Kuznetsov (13632454),Morgan Rielly (13632872),Tyson Barrie (13632896),Andreas Athanasiou (13632654),,G,Frederik Andersen (13633094),Frederik Andersen,13633094,G,8200,SJ@TOR 10/25/2019 07:00PM ET,TOR,13.39
1682671308,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,Linus Ullmark (13633107),Victor Olofsson (13632608),Anders Lee (13632612),Andreas Athanasiou (13632654),Auston Matthews (13632434),Elias Pettersson (13632452),Morgan Rielly (13632872),Tyson Barrie (13632896),Michael Dal Colle (13632702),,LW,Alex Ovechkin (13632582),Alex Ovechkin,13632582,W/UTIL,8200,WAS@VAN 10/25/2019 10:00PM ET,WAS,18.52
1682671309,NHL $20K Forecheck [$5K to 1st 20 Max Entry],79148870,$4,Linus Ullmark (13633107),Victor Olofsson (13632608),Anders Lee (13632612),Timo Meier (13632622),Auston Matthews (13632434),Nico Hischier (13632462),Morgan Rielly (13632872),Tyson Barrie (13632896),Michael Dal Colle (13632702),,G,Semyon Varlamov (13633095),Semyon Varlamov,13633095,G,8100,NYI@OTT 10/25/2019 07:30PM ET,NYI,14.56
