Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Pekka Rinne (13684505),Pekka Rinne,13684505,G,8100,NYR@NSH 11/02/2019 02:00PM ET,NSH,16.67
G,Matt Murray (13684506),Matt Murray,13684506,G,7900,EDM@PIT 11/02/2019 01:00PM ET,PIT,16.18
G,Mike Smith (13684507),Mike Smith,13684507,G,7400,EDM@PIT 11/02/2019 01:00PM ET,EDM,13.2
C,Sidney Crosby (13684241),Sidney Crosby,13684241,C/UTIL,7200,EDM@PIT 11/02/2019 01:00PM ET,PIT,13.12
LW,Filip Forsberg (13684305),Filip Forsberg,13684305,W/UTIL,6900,NYR@NSH 11/02/2019 02:00PM ET,NSH,16.36
G,Alexandar Georgiev (13684512),Alexandar Georgiev,13684512,G,6900,NYR@NSH 11/02/2019 02:00PM ET,NYR,13.86
D,Roman Josi (13684417),Roman Josi,13684417,D/UTIL,6700,NYR@NSH 11/02/2019 02:00PM ET,NSH,15.37
LW,Jake Guentzel (13684307),Jake Guentzel,13684307,W/UTIL,6500,EDM@PIT 11/02/2019 01:00PM ET,PIT,13.27
C,Evgeni Malkin (13684243),Evgeni Malkin,13684243,C/UTIL,6400,EDM@PIT 11/02/2019 01:00PM ET,PIT,7.25
D,Kris Letang (13684419),Kris Letang,13684419,D/UTIL,5900,EDM@PIT 11/02/2019 01:00PM ET,PIT,12.71
C,Mika Zibanejad (13684245),Mika Zibanejad,13684245,C/UTIL,5900,NYR@NSH 11/02/2019 02:00PM ET,NYR,15.14
RW,Viktor Arvidsson (13684315),Viktor Arvidsson,13684315,W/UTIL,5400,NYR@NSH 11/02/2019 02:00PM ET,NSH,9.12
D,Oscar Klefbom (13684423),Oscar Klefbom,13684423,D/UTIL,5300,EDM@PIT 11/02/2019 01:00PM ET,EDM,12.3
C,Matt Duchene (13684247),Matt Duchene,13684247,C/UTIL,5100,NYR@NSH 11/02/2019 02:00PM ET,NSH,9.33
