Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,David Pastrnak (13687260),David Pastrnak,13687260,W/UTIL,8200,OTT@BOS 11/02/2019 07:00PM ET,BOS,21.18
C,Auston Matthews (13686898),Auston Matthews,13686898,C/UTIL,7700,TOR@PHI 11/02/2019 07:00PM ET,TOR,17.03
C,John Tavares (13686904),John Tavares,13686904,C/UTIL,7100,TOR@PHI 11/02/2019 07:00PM ET,TOR,8.31
RW,Mikko Rantanen (13687272),Mikko Rantanen,13687272,W/UTIL,7100,COL@ARI 11/02/2019 09:00PM ET,COL,14
LW,Gabriel Landeskog (13687274),Gabriel Landeskog,13687274,W/UTIL,7000,COL@ARI 11/02/2019 09:00PM ET,COL,8.94
D,Dougie Hamilton (13687930),Dougie Hamilton,13687930,D/UTIL,6600,NJ@CAR 11/02/2019 07:00PM ET,CAR,15.72
D,Thomas Chabot (13687938),Thomas Chabot,13687938,D/UTIL,6200,OTT@BOS 11/02/2019 07:00PM ET,OTT,12.18
RW,Vladimir Tarasenko (13687302),Vladimir Tarasenko,13687302,W/UTIL,6200,STL@MIN 11/02/2019 08:00PM ET,STL,11.76
C,Aleksander Barkov (13686928),Aleksander Barkov,13686928,C/UTIL,6000,DET@FLA 11/02/2019 07:00PM ET,FLA,9.44
RW,Sam Reinhart (13687320),Sam Reinhart,13687320,W/UTIL,5900,NYI@BUF 11/02/2019 07:00PM ET,BUF,8.95
LW,Mike Hoffman (13687324),Mike Hoffman,13687324,W/UTIL,5900,DET@FLA 11/02/2019 07:00PM ET,FLA,10.95
LW,Tyler Bertuzzi (13687326),Tyler Bertuzzi,13687326,W/UTIL,5800,DET@FLA 11/02/2019 07:00PM ET,DET,10.19
LW,Jonathan Drouin (13687338),Jonathan Drouin,13687338,W/UTIL,5600,MON@DAL 11/02/2019 07:00PM ET,MON,10.64
D,Johnny Boychuk (13687950),Johnny Boychuk,13687950,D/UTIL,5500,NYI@BUF 11/02/2019 07:00PM ET,NYI,10.33
RW,Joel Armia (13687340),Joel Armia,13687340,W/UTIL,5500,MON@DAL 11/02/2019 07:00PM ET,MON,10.78
D,Aaron Ekblad (13687956),Aaron Ekblad,13687956,D/UTIL,5400,DET@FLA 11/02/2019 07:00PM ET,FLA,9.11
RW,Blake Wheeler (13687344),Blake Wheeler,13687344,W/UTIL,5400,WPG@VGK 11/02/2019 10:00PM ET,WPG,10.91
D,Devon Toews (13687966),Devon Toews,13687966,D/UTIL,5200,NYI@BUF 11/02/2019 07:00PM ET,NYI,8.49
D,Filip Hronek (13687954),Filip Hronek,13687954,D/UTIL,5100,DET@FLA 11/02/2019 07:00PM ET,DET,9.21
RW,Conor Garland (13687358),Conor Garland,13687358,W/UTIL,5100,COL@ARI 11/02/2019 09:00PM ET,ARI,9.95
D,Dustin Byfuglien (13687968),Dustin Byfuglien,13687968,D/UTIL,5100,WPG@VGK 11/02/2019 10:00PM ET,WPG,0
D,Rasmus Dahlin (13687972),Rasmus Dahlin,13687972,D/UTIL,5000,NYI@BUF 11/02/2019 07:00PM ET,BUF,8.03
D,Cale Makar (13687970),Cale Makar,13687970,D/UTIL,5000,COL@ARI 11/02/2019 09:00PM ET,COL,8.77
D,Danny DeKeyser (13687976),Danny DeKeyser,13687976,D/UTIL,4900,DET@FLA 11/02/2019 07:00PM ET,DET,9.18
C,Jack Hughes (13686952),Jack Hughes,13686952,C/UTIL,4900,NJ@CAR 11/02/2019 07:00PM ET,NJ,6.86
D,Jaccob Slavin (13687978),Jaccob Slavin,13687978,D/UTIL,4800,NJ@CAR 11/02/2019 07:00PM ET,CAR,11.04
D,Jakob Chychrun (13687980),Jakob Chychrun,13687980,D/UTIL,4800,COL@ARI 11/02/2019 09:00PM ET,ARI,8.28
RW,Josh Bailey (13687376),Josh Bailey,13687376,W/UTIL,4700,NYI@BUF 11/02/2019 07:00PM ET,NYI,8.42
D,Nick Leddy (13687982),Nick Leddy,13687982,D/UTIL,4700,NYI@BUF 11/02/2019 07:00PM ET,NYI,8.27
LW,Jaden Schwartz (13687374),Jaden Schwartz,13687374,W/UTIL,4700,STL@MIN 11/02/2019 08:00PM ET,STL,8.06
D,Quinn Hughes (13687990),Quinn Hughes,13687990,D/UTIL,4700,VAN@SJ 11/02/2019 10:00PM ET,VAN,6.62
D,Rasmus Ristolainen (13687996),Rasmus Ristolainen,13687996,D/UTIL,4600,NYI@BUF 11/02/2019 07:00PM ET,BUF,7.59
C,Jean-Gabriel Pageau (13686960),Jean-Gabriel Pageau,13686960,C/UTIL,4500,OTT@BOS 11/02/2019 07:00PM ET,OTT,9.39
LW,Vladislav Namestnikov (13687384),Vladislav Namestnikov,13687384,W/UTIL,4500,OTT@BOS 11/02/2019 07:00PM ET,OTT,9.24
LW,Jake DeBrusk (13687386),Jake DeBrusk,13687386,W/UTIL,4500,OTT@BOS 11/02/2019 07:00PM ET,BOS,6.03
D,Jake Muzzin (13688008),Jake Muzzin,13688008,D/UTIL,4500,TOR@PHI 11/02/2019 07:00PM ET,TOR,9.3
D,Sami Vatanen (13688002),Sami Vatanen,13688002,D/UTIL,4500,NJ@CAR 11/02/2019 07:00PM ET,NJ,9.44
