"entry_id","contest_id","contest_name","C","C","W","W","W","W","D","D","G","","Instructions"
"1863636897","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"1863637848","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"1863637853","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"1863637857","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","4) You can not use this form to create new entries"
"1863637858","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193",""
"1863637862","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"1863637865","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-59218:David Pastrnak","40144-59218","W","David","David Pastrnak","Pastrnak","27.057141985212052","14","9200","BOS@MON","BOS","MON","","","","",""
"1863637867","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-8193:Tuukka Rask","40144-8193","G","Tuukka","Tuukka Rask","Rask","28.799999237060547","8","9100","BOS@MON","BOS","MON","","","","",""
"1863637870","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-8612:Marc-Andre Fleury","40144-8612","G","Marc-Andre","Marc-Andre Fleury","Fleury","20.49230722280649","13","8900","VGK@CBJ","VGK","CBJ","","","","",""
"1863637875","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-41391:Nathan MacKinnon","40144-41391","C","Nathan","Nathan MacKinnon","MacKinnon","20.514286586216517","14","8800","COL@DAL","COL","DAL","","","","",""
"1863637877","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-8763:Brad Marchand","40144-8763","W","Brad","Brad Marchand","Marchand","24.207142421177455","14","8700","BOS@MON","BOS","MON","","","","",""
"1863637879","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-70635:David Rittich","40144-70635","G","David","David Rittich","Rittich","20.49230722280649","13","8600","ARI@CGY","CGY","ARI","","","","",""
"1863637881","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-70899:Auston Matthews","40144-70899","C","Auston","Auston Matthews","Matthews","18.64000040690104","15","8600","LA@TOR","TOR","LA","","","","",""
"1863637884","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-8452:Carey Price","40144-8452","G","Carey","Carey Price","Price","19.418182373046875","11","8500","BOS@MON","MON","BOS","","","","",""
"1863637887","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-14466:Darcy Kuemper","40144-14466","G","Darcy","Darcy Kuemper","Kuemper","23.839999389648437","10","8400","ARI@CGY","ARI","CGY","","","","",""
"1863637891","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-8883:Ben Bishop","40144-8883","G","Ben","Ben Bishop","Bishop","16.363636363636363","11","8400","COL@DAL","DAL","COL","","","","",""
"1863637894","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-15339:Jordan Binnington","40144-15339","G","Jordan","Jordan Binnington","Binnington","19.46666717529297","12","8400","STL@VAN","STL","VAN","","","","",""
"1863637896","40144-231099466","$250 Tue NHL Deflection (Only $0.25 to Enter!)","40144-8741","40144-111493","40144-15269","40144-13982","40144-8797","40144-12253","40144-8651","40144-41394","40144-8193","","40144-8453:Jaroslav Halak","40144-8453","G","Jaroslav","Jaroslav Halak","Halak","22.933334350585938","6","8300","BOS@MON","BOS","MON","","","","",""
