entry_id,contest_id,contest_name,C,C,W,W,W,W,D,D,G,,Instructions,,,,,,,,,,,,,,
1864925030,40204-231095276,$1500 Wed NHL Deflection ($0.25 to Enter),40204-62788:DYLAN LARKIN,40204-82087:FILIP CHYTIL,40204-62493:ARTEMI PANARIN,40204-21927:CHRIS KREIDER,40204-111471:KAAPO KAKKO,40204-43139:ANDREAS ATHANASIOU,40204-39245:JACOB TROUBA,40204-58928:TONY DEANGELO,40204-8353:JIMMY HOWARD,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,
1864925507,40204-231095276,$1500 Wed NHL Deflection ($0.25 to Enter),40204-62788:DYLAN LARKIN,40204-82087:FILIP CHYTIL,40204-62493:ARTEMI PANARIN,40204-21927:CHRIS KREIDER,40204-111471:KAAPO KAKKO,40204-43139:ANDREAS ATHANASIOU,40204-39245:JACOB TROUBA,40204-58928:TONY DEANGELO,40204-9112:JAKE ALLEN,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,
1864925510,40204-231095276,$1500 Wed NHL Deflection ($0.25 to Enter),40204-62788:DYLAN LARKIN,40204-82087:FILIP CHYTIL,40204-62493:ARTEMI PANARIN,40204-21927:CHRIS KREIDER,40204-111471:KAAPO KAKKO,40204-8356:SAM GAGNER,40204-39245:JACOB TROUBA,40204-58928:TONY DEANGELO,40204-8532:HENRIK LUNDQVIST,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,
1864925511,40204-231095276,$1500 Wed NHL Deflection ($0.25 to Enter),40204-62788:DYLAN LARKIN,40204-82087:FILIP CHYTIL,40204-62493:ARTEMI PANARIN,40204-21927:CHRIS KREIDER,40204-111471:KAAPO KAKKO,40204-8356:SAM GAGNER,40204-39245:JACOB TROUBA,40204-58928:TONY DEANGELO,40204-8672:MIKE SMITH,,4) You can not use this form to create new entries,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
,,,,,,,,,,,,,40204-64102:Connor McDavid,40204-64102,C,Connor,Connor McDavid,McDavid,19.4624996185303,16,8900,STL@EDM,EDM,STL,,,
,,,,,,,,,,,,,40204-58331:Leon Draisaitl,40204-58331,W,Leon,Leon Draisaitl,Draisaitl,22.5687503814697,16,8800,STL@EDM,EDM,STL,,,
,,,,,,,,,,,,,40204-15339:Jordan Binnington,40204-15339,G,Jordan,Jordan Binnington,Binnington,20.6153846153846,13,8400,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-8672:Mike Smith,40204-8672,G,Mike,Mike Smith,Smith,21.2444441053602,9,8100,STL@EDM,EDM,STL,,,
,,,,,,,,,,,,,40204-9039:Mikko Koskinen,40204-9039,G,Mikko,Mikko Koskinen,Koskinen,19.1000003814697,8,7800,STL@EDM,EDM,STL,,,
,,,,,,,,,,,,,40204-8532:Henrik Lundqvist,40204-8532,G,Henrik,Henrik Lundqvist,Lundqvist,16.4000002543132,6,7800,DET@NYR,NYR,DET,,,
,,,,,,,,,,,,,40204-62493:Artemi Panarin,40204-62493,W,Artemi,Artemi Panarin,Panarin,15.0999997456869,12,7700,DET@NYR,NYR,DET,,,
,,,,,,,,,,,,,40204-82094:Alexandar Georgiev,40204-82094,G,Alexandar,Alexandar Georgiev,Georgiev,16.5714285714286,7,7700,DET@NYR,NYR,DET,,,
,,,,,,,,,,,,,40204-9112:Jake Allen,40204-9112,G,Jake,Jake Allen,Allen,10.6666666666667,3,7400,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-14565:Mika Zibanejad,40204-14565,C,Mika,Mika Zibanejad,Zibanejad,18.0888892279731,9,7100,DET@NYR,NYR,DET,O,Upper body,
,,,,,,,,,,,,,40204-8780:Jonathan Bernier,40204-8780,G,Jonathan,Jonathan Bernier,Bernier,9.68888854980469,9,7000,DET@NYR,DET,NYR,,,
,,,,,,,,,,,,,40204-12654:Calvin Pickard,40204-12654,G,Calvin,Calvin Pickard,Pickard,7.81176488539752,17,7000,DET@NYR,DET,NYR,,,
,,,,,,,,,,,,,40204-8353:Jimmy Howard,40204-8353,G,Jimmy,Jimmy Howard,Howard,11.022221883138,9,7000,DET@NYR,DET,NYR,,,
,,,,,,,,,,,,,40204-9124:Ryan O'Reilly,40204-9124,C,Ryan,Ryan O'Reilly,O'Reilly,12.6875,16,6800,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-62788:Dylan Larkin,40204-62788,C,Dylan,Dylan Larkin,Larkin,13.1312503814697,16,6600,DET@NYR,DET,NYR,,,
,,,,,,,,,,,,,40204-43134:Anthony Mantha,40204-43134,W,Anthony,Anthony Mantha,Mantha,16.0750007629395,16,6600,DET@NYR,DET,NYR,,,
,,,,,,,,,,,,,40204-9266:Brayden Schenn,40204-9266,C,Brayden,Brayden Schenn,Schenn,13.8874998092651,16,6500,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-8640:David Perron,40204-8640,W,David,David Perron,Perron,13.8374996185303,16,6200,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-8651:Alex Pietrangelo,40204-8651,D,Alex,Alex Pietrangelo,Pietrangelo,13.4750003814697,16,6100,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-14563:Ryan Nugent-Hopkins,40204-14563,C,Ryan,Ryan Nugent-Hopkins,Nugent-Hopkins,10.3062496185303,16,6000,STL@EDM,EDM,STL,,,
,,,,,,,,,,,,,40204-21122:Jaden Schwartz,40204-21122,W,Jaden,Jaden Schwartz,Schwartz,10.9250001907349,16,5700,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-70513:Pavel Buchnevich,40204-70513,W,Pavel,Pavel Buchnevich,Buchnevich,9.54999987284342,12,5600,DET@NYR,NYR,DET,,,
,,,,,,,,,,,,,40204-8319:James Neal,40204-8319,W,James,James Neal,Neal,14.3000001907349,16,5500,STL@EDM,EDM,STL,,,
,,,,,,,,,,,,,40204-15386:Ryan Strome,40204-15386,C,Ryan,Ryan Strome,Strome,12.125,12,5400,DET@NYR,NYR,DET,,,
,,,,,,,,,,,,,40204-39245:Jacob Trouba,40204-39245,D,Jacob,Jacob Trouba,Trouba,12.9916661580404,12,5300,DET@NYR,NYR,DET,,,
,,,,,,,,,,,,,40204-21927:Chris Kreider,40204-21927,W,Chris,Chris Kreider,Kreider,8.88333320617676,12,5300,DET@NYR,NYR,DET,,,
,,,,,,,,,,,,,40204-43135:Tyler Bertuzzi,40204-43135,W,Tyler,Tyler Bertuzzi,Bertuzzi,12.1625003814697,16,5100,DET@NYR,DET,NYR,,,
,,,,,,,,,,,,,40204-42912:Oscar Klefbom,40204-42912,D,Oscar,Oscar Klefbom,Klefbom,13.2749996185303,16,5000,STL@EDM,EDM,STL,,,
,,,,,,,,,,,,,40204-61246:Colton Parayko,40204-61246,D,Colton,Colton Parayko,Parayko,9.26249980926514,16,4800,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-111471:Kaapo Kakko,40204-111471,W,Kaapo,Kaapo Kakko,Kakko,7.25833320617676,12,4800,DET@NYR,NYR,DET,,,
,,,,,,,,,,,,,40204-58928:Tony DeAngelo,40204-58928,D,Tony,Tony DeAngelo,DeAngelo,11.7249997456869,12,4600,DET@NYR,NYR,DET,,,
,,,,,,,,,,,,,40204-14178:Justin Faulk,40204-14178,D,Justin,Justin Faulk,Faulk,6.63124990463257,16,4500,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-43139:Andreas Athanasiou,40204-43139,W,Andreas,Andreas Athanasiou,Athanasiou,8.01428549630301,14,4500,DET@NYR,DET,NYR,,,
,,,,,,,,,,,,,40204-58881:Sammy Blais,40204-58881,W,Sammy,Sammy Blais,Blais,9.08571406773159,14,4400,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-8972:Tyler Bozak,40204-8972,C,Tyler,Tyler Bozak,Bozak,6.55000019073486,16,4400,STL@EDM,STL,EDM,,,
,,,,,,,,,,,,,40204-39145:Danny DeKeyser,40204-39145,D,Danny,Danny DeKeyser,DeKeyser,10,8,4400,DET@NYR,DET,NYR,IR,Undisclosed,
,,,,,,,,,,,,,40204-74016:Filip Hronek,40204-74016,D,Filip,Filip Hronek,Hronek,10.4125003814697,16,4300,DET@NYR,DET,NYR,,,
