Jimmy Howard
Henrik Lundqvist
Jake Allen
Mike Smith
Anthony Mantha
Tyler Bertuzzi
Dylan Larkin
Andreas Athanasiou
Adam Erne
Valtteri Filppula
Frans Nielsen
Taro Hirose
Brendan Perlini
Darren Helm
Jacob De La Rose
Justin Abdelkader
Patrick Nemeth
Filip Hronek
Alex Biega
Dennis Cholowski
Madison Bowey
Joe Hicketts
Jesper Fast
Ryan Strome
Artemi Panarin
Chris Kreider
Pavel Buchnevich
Filip Chytil
Brett Howden
Kaapo Kakko
Brendan Lemieux
Micheal Haley
Greg McKegg
Libor Hajek
Jacob Trouba
Marc Staal
Adam Fox
Brady Skjei
Anthony Deangelo
Brayden Schenn
Jaden Schwartz
Robert Thomas
Zach Sanford
Ryan O'Reilly
David Perron
Samuel Blais
Alexander Steen
Tyler Bozak
Mackenzie MacEachern
Oskar Sundqvist
Ivan Barbashev
Carl Gunnarsson
Alex Pietrangelo
Jay Bouwmeester
Colton Parayko
Vince Dunn
Justin Faulk
Connor McDavid
Leon Draisaitl
Sam Gagner
Ryan Nugent-Hopkins
James Neal
Zack Kassian
Gaetan Haas
Tomas Jurco
Alex Chiasson
Patrick Russell
Colby Cave
Jujhar Khaira
Darnell Nurse
Ethan Bear
Joel Persson
Oscar Klefbom
Kris Russell
Matt Benning
