Anders Nilsson
Petr Mrazek
Antti Raanta
Ilya Samsonov
Chris Tierney
Brady Tkachuk
Anthony Duclair
Connor Brown
Nick Paul
Jean-Gabriel Pageau
Tyler Ennis
Tyler Ennis
Vladislav Namestnikov
Jonathan Davidsson
J.C. Beaudin
Filip Chlapik
Nikita Zaitsev
Thomas Chabot
Ron Hainsey
Erik Brannstrom
Mark Borowiecki
Dylan Demelo
Warren Foegele
Ryan Dzingel
Jordan Staal
Sebastian Aho
Andrei Svechnikov
Teuvo Teravainen
Lucas Wallmark
Nino Niederreiter
Martin Necas
Erik Haula
Brock McGinn
Brian Gibbons
Jaccob Slavin
Dougie Hamilton
Joel Edmundson
Brett Pesce
Haydn Fleury
Jake Gardiner
Nick Schmaltz
Phil Kessel
Christian Dvorak
Vincent Hinostroza
Derek Stepan
Clayton Keller
Lawson Crouse
Carl Soderberg
Conor Garland
Christian Fischer
Michael Grabner
Brad Richardson
Jason Demers
Oliver Ekman-Larsson
Jakob Chychrun
Alex Goligoski
Jordan Oesterle
Aaron Ness
Nicklas Backstrom
Alex Ovechkin
T.J. Oshie
Evgeny Kuznetsov
Jakub Vrana
Tom Wilson
Chandler Stephenson
Richard Panik
Lars Eller
Garnet Hathaway
Brendan Leipsic
Nic Dowd
Michal Kempny
John Carlson
Radko Gudas
Dmitry Orlov
Jonas Siegenthaler
Nick Jensen
