Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40490-8718,W,Alex,Alex Ovechkin,Ovechkin,21.363157573499176,19,9000,WSH@PHI,WSH,PHI,,,,,
40490-70899,C,Auston,Auston Matthews,Matthews,21.026315789473685,19,8900,TOR@NYI,TOR,NYI,,,,,
40490-8262,W,Patrick,Patrick Kane,Kane,16.741176829618567,17,8100,CHI@VGK,CHI,VGK,,,,,
40490-66683,W,Mitchell,Mitchell Marner,Marner,14.527777777777779,18,7700,TOR@NYI,TOR,NYI,IR,Ankle,,,
40490-12417,C,Tyler,Tyler Seguin,Seguin,11.033333672417534,18,7700,DAL@CGY,DAL,CGY,,,,,
40490-52475,C,Evgeny,Evgeny Kuznetsov,Kuznetsov,16.056249618530273,16,7700,WSH@PHI,WSH,PHI,,,,,
40490-12410,W,Taylor,Taylor Hall,Hall,14.587499618530273,16,7600,OTT@NJ,NJ,OTT,,,,,
40490-12628,W,Mark,Mark Stone,Stone,14.521052310341283,19,7500,CHI@VGK,VGK,CHI,,,,,
40490-8494,C,John,John Tavares,Tavares,13.074999491373697,12,7400,TOR@NYI,TOR,NYI,,,,,
40490-8556,C,Claude,Claude Giroux,Giroux,12.947059182559743,17,7400,WSH@PHI,PHI,WSH,,,,,
40490-54514,W,Johnny,Johnny Gaudreau,Gaudreau,12.484999847412109,20,7300,DAL@CGY,CGY,DAL,,,,,
40490-9015,D,John,John Carlson,Carlson,21.710526315789473,19,7200,WSH@PHI,WSH,PHI,,,,,
40490-8441,W,Max,Max Pacioretty,Pacioretty,15.678947047183389,19,7100,CHI@VGK,VGK,CHI,,,,,
40490-41389,C,Sean,Sean Monahan,Monahan,11.669999694824218,20,7100,DAL@CGY,CGY,DAL,,,,,
40490-15308,C,Sean,Sean Couturier,Couturier,12.088235294117647,17,7000,WSH@PHI,PHI,WSH,,,,,
40490-70904,W,Matthew,Matthew Tkachuk,Tkachuk,14.819999694824219,20,6900,DAL@CGY,CGY,DAL,,,,,
40490-21546,W,Alexander,Alexander Radulov,Radulov,10.855555216471354,18,6800,DAL@CGY,DAL,CGY,,,,,
40490-39238,W,Anders,Anders Lee,Lee,10.550000190734863,16,6700,TOR@NYI,NYI,TOR,,,,,
40490-8303,W,Jakub,Jakub Voracek,Voracek,10.782353120691637,17,6600,WSH@PHI,PHI,WSH,,,,,
40490-41390,W,Elias,Elias Lindholm,Lindholm,14.230000305175782,20,6600,DAL@CGY,CGY,DAL,,,,,
40490-37881,D,Morgan,Morgan Rielly,Rielly,14.06842041015625,19,6600,TOR@NYI,TOR,NYI,,,,,
40490-37968,W,Jonathan,Jonathan Marchessault,Marchessault,11.415789152446546,19,6500,CHI@VGK,VGK,CHI,,,,,
40490-66685,C,Mathew,Mathew Barzal,Barzal,14.081250190734863,16,6500,TOR@NYI,NYI,TOR,,,,,
40490-39990,C,William,William Karlsson,Karlsson,12.542105423776727,19,6400,CHI@VGK,VGK,CHI,,,,,
40490-8254,C,Jonathan,Jonathan Toews,Toews,8.735294117647058,17,6400,CHI@VGK,CHI,VGK,,,,,
40490-73885,W,Alex,Alex DeBrincat,DeBrincat,12.870588414809284,17,6400,CHI@VGK,CHI,VGK,,,,,
40490-66508,W,Travis,Travis Konecny,Konecny,15.45294189453125,17,6400,WSH@PHI,PHI,WSH,,,,,
40490-12644,W,Kyle,Kyle Palmieri,Palmieri,11.956250190734863,16,6300,OTT@NJ,NJ,OTT,,,,,
40490-8986,W,Jamie,Jamie Benn,Benn,7.744444105360243,18,6200,DAL@CGY,DAL,CGY,,,,,
40490-8230,D,Mark,Mark Giordano,Giordano,13.7,20,6100,DAL@CGY,CGY,DAL,,,,,
40490-59276,W,William,William Nylander,Nylander,11.9947365208676,19,6000,TOR@NYI,TOR,NYI,,,,,
40490-8615,W,Joe,Joe Pavelski,Pavelski,8.038888719346788,18,6000,DAL@CGY,DAL,CGY,,,,,
40490-8714,C,Nicklas,Nicklas Backstrom,Backstrom,12.226315950092516,19,5900,WSH@PHI,WSH,PHI,,,,,
40490-58985,W,Jakub,Jakub Vrana,Vrana,14.015788831208882,19,5800,WSH@PHI,WSH,PHI,,,,,
40490-80286,C,Roope,Roope Hintz,Hintz,11.768750190734863,16,5800,DAL@CGY,DAL,CGY,O,Lower body,,,
40490-21689,W,Reilly,Reilly Smith,Smith,13.589474326685854,19,5700,CHI@VGK,VGK,CHI,,,,,
40490-8495,W,Josh,Josh Bailey,Bailey,10.793749809265137,16,5700,TOR@NYI,NYI,TOR,,,,,
40490-9025,W,Jordan,Jordan Eberle,Eberle,8.966666539510092,6,5500,TOR@NYI,NYI,TOR,,,,,
40490-66759,D,Thomas,Thomas Chabot,Chabot,12.341176650103401,17,5400,OTT@NJ,OTT,NJ,,,,,
